bank,date
ECB,1999-03-04
ECB,1999-03-18
ECB,1999-04-08
ECB,1999-04-22
ECB,1999-05-06
ECB,1999-05-20
ECB,1999-06-02
ECB,1999-06-17
ECB,1999-07-01
ECB,1999-07-15
ECB,1999-07-29
ECB,1999-08-26
ECB,1999-09-09
ECB,1999-09-23
ECB,1999-10-07
ECB,1999-10-21
ECB,1999-11-04
ECB,1999-11-18
ECB,1999-12-02
ECB,1999-12-15
ECB,2000-01-05
ECB,2000-01-20
ECB,2000-02-03
ECB,2000-02-17
ECB,2000-03-02
ECB,2000-03-16
ECB,2000-03-30
ECB,2000-04-13
ECB,2000-04-27
ECB,2000-05-11
ECB,2000-05-25
ECB,2000-06-08
ECB,2000-06-21
ECB,2000-07-06
ECB,2000-07-20
ECB,2000-08-03
ECB,2000-08-31
ECB,2000-09-14
ECB,2000-10-05
ECB,2000-10-19
ECB,2000-11-02
ECB,2000-11-16
ECB,2000-11-30
ECB,2001-01-04
ECB,2001-01-18
ECB,2001-02-01
ECB,2001-02-15
ECB,2001-03-01
ECB,2001-03-15
ECB,2001-03-29
ECB,2001-04-11
ECB,2001-04-26
ECB,2001-05-10
ECB,2001-05-23
ECB,2001-06-07
ECB,2001-06-21
ECB,2001-07-05
ECB,2001-07-19
ECB,2001-08-02
ECB,2001-08-30
ECB,2001-09-13
ECB,2001-09-17
ECB,2001-10-11
ECB,2001-10-25
ECB,2001-11-08
ECB,2001-12-06
ECB,2002-01-03
ECB,2002-02-07
ECB,2002-03-07
ECB,2002-04-04
ECB,2002-05-02
ECB,2002-06-06
ECB,2002-07-04
ECB,2002-08-01
ECB,2002-09-12
ECB,2002-10-10
ECB,2002-11-07
ECB,2002-12-05
ECB,2003-01-09
ECB,2003-02-06
ECB,2003-03-06
ECB,2003-04-03
ECB,2003-05-08
ECB,2003-06-05
ECB,2003-07-10
ECB,2003-07-31
ECB,2003-09-04
ECB,2003-10-02
ECB,2003-11-06
ECB,2003-12-04
ECB,2004-01-08
ECB,2004-02-05
ECB,2004-03-04
ECB,2004-04-01
ECB,2004-05-06
ECB,2004-06-03
ECB,2004-07-01
ECB,2004-08-05
ECB,2004-09-02
ECB,2004-10-07
ECB,2004-11-04
ECB,2004-12-02
ECB,2005-01-13
ECB,2005-02-03
ECB,2005-03-03
ECB,2005-04-07
ECB,2005-05-04
ECB,2005-06-02
ECB,2005-07-07
ECB,2005-08-04
ECB,2005-09-01
ECB,2005-10-06
ECB,2005-11-03
ECB,2005-12-01
ECB,2006-01-12
ECB,2006-02-02
ECB,2006-03-02
ECB,2006-04-06
ECB,2006-05-04
ECB,2006-06-08
ECB,2006-07-06
ECB,2006-08-03
ECB,2006-08-31
ECB,2006-10-05
ECB,2006-11-02
ECB,2006-12-07
ECB,2007-01-11
ECB,2007-02-08
ECB,2007-03-08
ECB,2007-04-12
ECB,2007-05-10
ECB,2007-06-06
ECB,2007-07-05
ECB,2007-08-02
ECB,2007-09-06
ECB,2007-10-04
ECB,2007-11-08
ECB,2007-12-06
ECB,2008-01-10
ECB,2008-02-07
ECB,2008-03-06
ECB,2008-04-10
ECB,2008-05-08
ECB,2008-06-05
ECB,2008-07-03
ECB,2008-08-07
ECB,2008-09-04
ECB,2008-10-02
ECB,2008-10-08
ECB,2008-11-06
ECB,2008-12-04
ECB,2009-01-15
ECB,2009-02-05
ECB,2009-03-05
ECB,2009-04-02
ECB,2009-05-07
ECB,2009-06-04
ECB,2009-07-02
ECB,2009-08-06
ECB,2009-09-03
ECB,2009-10-08
ECB,2009-11-05
ECB,2009-12-03
ECB,2010-01-14
ECB,2010-02-04
ECB,2010-03-04
ECB,2010-04-08
ECB,2010-05-06
ECB,2010-06-10
ECB,2010-07-08
ECB,2010-08-05
ECB,2010-09-02
ECB,2010-10-07
ECB,2010-11-04
ECB,2010-12-02
ECB,2011-01-13
ECB,2011-02-03
ECB,2011-03-03
ECB,2011-04-07
ECB,2011-05-05
ECB,2011-06-09
ECB,2011-07-07
ECB,2011-08-04
ECB,2011-09-08
ECB,2011-10-06
ECB,2011-11-03
ECB,2011-12-08
ECB,2012-01-12
ECB,2012-02-09
ECB,2012-03-08
ECB,2012-04-04
ECB,2012-05-03
ECB,2012-06-06
ECB,2012-07-05
ECB,2012-08-02
ECB,2012-09-06
ECB,2012-10-04
ECB,2012-11-08
ECB,2012-12-06
ECB,2013-01-10
ECB,2013-02-07
ECB,2013-03-07
ECB,2013-04-04
ECB,2013-05-02
ECB,2013-06-06
ECB,2013-07-04
ECB,2013-08-01
ECB,2013-09-05
ECB,2013-10-02
ECB,2013-11-07
ECB,2013-12-05
ECB,2014-01-09
ECB,2014-02-06
ECB,2014-03-06
ECB,2014-04-03
ECB,2014-05-08
ECB,2014-06-05
ECB,2014-07-03
ECB,2014-08-07
