label,n,win_rate,avg_r,profit_factor,total_pnl,n_is,avg_r_is,n_oos,avg_r_oos,lag_days,z_threshold,filter_mode
Baseline (use_rates_filter=False),203,39.90147783251231,0.36235924988658286,1.5695108501332324,36779.463863488156,84,0.23578934412634722,119,0.4517027127761609,,,
2Y lag=1d z>=0.0 mode=and,89,37.07865168539326,0.13725592661999872,1.2056408518895367,6107.888734589941,41,0.01856463152246286,48,0.23863807451581057,1.0,0.0,and
2Y lag=1d z>=0.0 mode=majority,368,38.04347826086957,0.19490329709840298,1.2986702277686082,35862.20666610615,146,0.140599974302679,222,0.2306162931712665,1.0,0.0,majority
2Y lag=1d z>=0.25 mode=and,64,42.1875,0.30069917024849757,1.490313347186812,9622.373447951923,30,0.0432424092591038,34,0.5278669005332568,1.0,0.25,and
2Y lag=1d z>=0.25 mode=majority,327,38.837920489296636,0.21534940304579683,1.3340736964281303,35209.627397987766,130,0.18766958701979428,197,0.23361527148935182,1.0,0.25,majority
2Y lag=1d z>=0.5 mode=and,45,46.666666666666664,0.44697704355508033,1.791621969533702,10056.983479989303,19,0.24971898946921098,26,0.5911271600024463,1.0,0.5,and
2Y lag=1d z>=0.5 mode=majority,291,39.86254295532646,0.27250456450564636,1.429177217109061,39649.41413557153,123,0.20451682585410422,168,0.3222813017326682,1.0,0.5,majority
2Y lag=2d z>=0.0 mode=and,87,39.08045977011494,0.2732793034049715,1.4222990651206262,11887.649698116264,39,0.08366078281645081,48,0.4273443513831446,2.0,0.0,and
2Y lag=2d z>=0.0 mode=majority,371,36.118598382749326,0.13004999543949566,1.1935808797422003,24124.27415402644,154,0.12596681111515065,217,0.13294773915354693,2.0,0.0,majority
2Y lag=2d z>=0.25 mode=and,67,37.3134328358209,0.26391807849086313,1.3951170984655024,8841.255629443913,32,0.08516857836743516,35,0.4273461928894258,2.0,0.25,and
2Y lag=2d z>=0.25 mode=majority,329,36.474164133738604,0.15061129735275794,1.224993876555843,24775.558414528678,139,0.14546769655259426,190,0.15437424741182512,2.0,0.25,majority
2Y lag=2d z>=0.5 mode=and,49,40.816326530612244,0.40996238050662465,1.6524648333983138,10044.078322412304,25,0.2678940795009558,24,0.5579501940541964,2.0,0.5,and
2Y lag=2d z>=0.5 mode=majority,288,36.45833333333333,0.19330919567919472,1.2884155900590708,27836.524177804036,119,0.1294287769719366,169,0.23829008222454215,2.0,0.5,majority
2Y lag=3d z>=0.0 mode=and,97,34.02061855670103,0.2602132497840461,1.372866772961369,12620.342614526231,40,0.021618929181680003,57,0.42764786073307487,3.0,0.0,and
2Y lag=3d z>=0.0 mode=majority,366,36.6120218579235,0.15375219015317187,1.2305216052255932,28136.650798030438,146,0.13765625499406567,220,0.16443403803148782,3.0,0.0,majority
2Y lag=3d z>=0.25 mode=and,79,32.91139240506329,0.2512282455475245,1.3531901808546138,9923.51569912722,32,0.1234600818089236,47,0.3382193357525295,3.0,0.25,and
2Y lag=3d z>=0.25 mode=majority,330,36.96969696969697,0.18378086482508554,1.2768169650831627,30323.842696139116,134,0.2128043791492707,196,0.16393825809324467,3.0,0.25,majority
2Y lag=3d z>=0.5 mode=and,58,31.03448275862069,0.08654117945704985,1.1179842087526943,2509.694204254445,23,-0.05190180601648514,35,0.1775179984825157,3.0,0.5,and
2Y lag=3d z>=0.5 mode=majority,288,37.84722222222222,0.24353372194900258,1.3711702793657352,35068.85596065637,121,0.2383579152805817,167,0.24728385731953517,3.0,0.5,majority
