label,n,gesamt_total_pnl,gesamt_cagr_pct,gesamt_max_drawdown_pct,gesamt_sharpe,gesamt_calmar,is_total_pnl,is_cagr_pct,is_max_drawdown_pct,is_sharpe,is_calmar,oos_total_pnl,oos_cagr_pct,oos_max_drawdown_pct,oos_sharpe,oos_calmar,lag_days,z_threshold,mult
Flach 1% (keine Skalierung),203,73558.92772697631,5.066894523017851,-13.371207124514218,0.7501954398163688,0.37894069516942985,19806.30490661317,3.624575879773584,-13.371207124514218,0.5232184900167174,0.27107319825511017,53752.62282036314,7.327386319427709,-11.034542914836553,0.9592360271679699,0.6640407650756093,,,
2Y lag=1d z>=0.0 1.25x (21% gruen),203,80631.43621585923,5.4437786251179565,-15.604266734210903,0.7513305227782867,0.34886475076608237,20612.205535915473,3.761545686310064,-15.604266734210903,0.5026465630050286,0.2410587918279572,60019.23067994376,8.034520780710185,-9.754264638583743,0.9892146709746014,0.8236931309951364,1.0,0.0,1.25
2Y lag=1d z>=0.0 1.5x (21% gruen),203,87703.94470474213,5.807460747816884,-17.805309021093095,0.7453180335612344,0.3261645580504704,21418.10616521778,3.8977825755594386,-17.805309021093095,0.4822306937920402,0.21891125680222243,66285.83853952437,8.718881328101391,-8.673990469129267,1.0055201184171876,1.0051753410534505,1.0,0.0,1.5
2Y lag=1d z>=0.0 1.75x (21% gruen),203,94776.45319362506,6.158875501851946,-19.9254729248301,0.7355240339293954,0.30909557454855047,22224.006794520086,4.03329529517058,-19.9254729248301,0.4633408361178378,0.20241904974533853,72552.44639910497,9.382019571268296,-8.250870882174599,1.0129016982777364,1.1370944601178357,1.0,0.0,1.75
2Y lag=1d z>=0.25 1.25x (17% gruen),203,82654.44395320411,5.549110785847766,-15.031567245323817,0.7769303799340368,0.3691638200650064,21331.86918193155,3.8832390314511134,-15.031567245323817,0.5249412989307491,0.2583389322001106,61322.574771272564,8.178677457479555,-9.475853823780046,1.0175795131986505,0.8631071784744956,1.0,0.25,1.25
2Y lag=1d z>=0.25 1.5x (17% gruen),203,91749.96017943192,6.009942632919607,-16.696927888222678,0.7920669189369748,0.3599430190483587,22857.43345724993,4.1393037261053145,-16.696927888222678,0.5226691586987484,0.24790810344368847,68892.526722182,8.997218079925528,-8.599343609776932,1.057756923216201,1.0462680046528479,1.0,0.25,1.5
2Y lag=1d z>=0.25 1.75x (17% gruen),203,100845.47640565973,6.451288016426804,-18.315746516587584,0.7991043793132374,0.35222632124681463,24382.997732568307,4.392827852245973,-18.315746516587584,0.5181381239863929,0.23983886478597122,76462.47867309143,9.785654654187192,-8.146449274706868,1.0844595271450455,1.201217159059682,1.0,0.25,1.75
2Y lag=1d z>=0.5 1.25x (12% gruen),203,81888.1034045408,5.509335194281206,-14.105123279176768,0.7865020518052043,0.39059107001316146,22530.81604838726,4.084696942636001,-14.105123279176768,0.5588999963933368,0.28958959533988565,59357.28735615353,7.960930337159233,-10.357429565050037,1.0044965738345428,0.7686202727385648,1.0,0.5,1.25
2Y lag=1d z>=0.5 1.5x (12% gruen),203,90217.27908210529,5.933701719549589,-14.903923300198452,0.8122328529118137,0.3981301835786138,25255.327190161355,4.536674830897258,-14.903923300198452,0.5865183649042599,0.3043946710888435,64961.95189194393,8.576120787035935,-9.69946681465027,1.0366795378468951,0.8841847650926944,1.0,0.5,1.5
2Y lag=1d z>=0.5 1.75x (12% gruen),203,98546.45475966977,6.341477208879565,-15.679100888020292,0.8296144206418348,0.4044541363800272,27979.838331935447,4.9808261776280505,-15.679100888020292,0.6076111744865305,0.31767294650381894,70566.61642773432,9.174086646314583,-9.059853546295793,1.0584222918804955,1.0126087137540425,1.0,0.5,1.75
