Kosten (Pips),Trades,Ø R,Ø R (OOS),PnL $
0.0,206,0.4134208412935973,0.49647414072570867,21291.17332662026
0.25,206,0.37491815330067135,0.4607264079321136,19308.284894984576
0.5,206,0.3364154653077852,0.42497867513862386,17325.39646335094
0.75,206,0.297912777314844,0.3892309423450341,15342.508031714464
1.0,206,0.25941008932188475,0.35348320955143353,13359.619600077063
1.3,206,0.21320686373043068,0.31058593019924197,10980.153482117177
1.6,206,0.1670036381389448,0.26768865084695453,8600.687364155652
2.05,206,0.09769879975165835,0.20334273181852278,5031.488187210405
2.5,206,0.02839396136442634,0.13899681279013504,1462.2890102679614
3.0,206,-0.04861141462142911,0.06750134720297213,-2503.4878530035994
4.0,206,-0.20262216659311524,-0.07548958397124365,-10435.041579545434
