n,avg_r,avg_r_is,avg_r_oos,total_pnl,label,pair,variant,n_is,n_oos
286,0.031871,0.075153,-0.004709,4557.58,EURJPY ALT,EURJPY,alt,,
153,0.015861801405450227,0.1286864423968839,-0.0818278267700594,1213.4278075169414,"EURJPY CROSS-FILTER (0.3bp, Mehrheitsvotum seit Tagesbeginn)",EURJPY,cross,71.0,82.0
171,0.03545138993058114,0.16865972534576568,-0.07111527840156652,3031.093839064688,"EURJPY INDEX-FILTER (0.3bp, liquiditaetsgewichtet seit Tagesbeginn)",EURJPY,index,76.0,95.0
167,-0.132205,-0.376617,0.027511,-11039.09,USDCAD ALT,USDCAD,alt,,
164,-0.07270569872714001,-0.327356925391037,0.09879410698528036,-5961.867295625484,"USDCAD CROSS-FILTER (0.3bp, Mehrheitsvotum seit Tagesbeginn)",USDCAD,cross,66.0,98.0
188,-0.14732132860558034,-0.3319651564986538,-0.01349690288491237,-13848.204888924554,"USDCAD INDEX-FILTER (0.3bp, liquiditaetsgewichtet seit Tagesbeginn)",USDCAD,index,79.0,109.0
124,0.052239,0.228278,-0.092735,3238.79,AUDUSD ALT,AUDUSD,alt,,
130,-0.23173545440594762,0.0002977164687135248,-0.44329511020343276,-15062.804536386595,"AUDUSD CROSS-FILTER (0.3bp, Mehrheitsvotum seit Tagesbeginn)",AUDUSD,cross,62.0,68.0
138,-0.20860434823060267,-0.026867706400149526,-0.35686318761860397,-14393.70002791159,"AUDUSD INDEX-FILTER (0.3bp, liquiditaetsgewichtet seit Tagesbeginn)",AUDUSD,index,62.0,76.0
313,0.019103,-0.009549,0.040834,2989.62,GOLD ALT,GOLD,alt,,
153,-0.042365407852690086,0.010765539979176996,-0.07955707133499702,-3240.953700730793,"GOLD CROSS-FILTER (0.3bp, Mehrheitsvotum seit Tagesbeginn)",GOLD,cross,63.0,90.0
158,-0.10419131202806874,-0.06933155142577348,-0.1305297978164696,-8231.113650217429,"GOLD INDEX-FILTER (0.3bp, liquiditaetsgewichtet seit Tagesbeginn)",GOLD,index,68.0,90.0
