label,n,gesamt_total_pnl,gesamt_cagr_pct,gesamt_max_drawdown_pct,gesamt_sharpe,gesamt_calmar,is_total_pnl,is_cagr_pct,is_max_drawdown_pct,is_sharpe,is_calmar,oos_total_pnl,oos_cagr_pct,oos_max_drawdown_pct,oos_sharpe,oos_calmar,family,threshold,mult
Flach 1% (keine Skalierung),203,73558.92772697631,5.066894523017851,-13.371207124514218,0.7501954398163688,0.37894069516942985,19806.30490661317,3.624575879773584,-13.371207124514218,0.5232184900167174,0.27107319825511017,53752.62282036314,7.327386319427709,-11.034542914836553,0.9592360271679699,0.6640407650756093,,,
cross thr=0.4 1.25x (82% d. Tage),203,92089.4346416108,6.026754207849705,-15.964652485111086,0.7481672763627828,0.37750613196687877,24898.65611615689,4.477957347162564,-15.964652485111086,0.5343585879055791,0.2804920026501539,67190.77852545392,8.815919489431145,-13.398632544190125,0.9530696226937644,0.6579715848132486,cross,0.4,1.25
cross thr=0.4 1.5x (82% d. Tage),203,110619.94155624532,6.905739331910987,-18.335527350736037,0.7459218448151583,0.37663161794109906,29991.007325700622,5.303842152461669,-18.335527350736037,0.5438543187131716,0.2892658635339855,80628.9342305447,10.20761759347668,-15.631236349186228,0.947077086221011,0.6530268857465069,cross,0.4,1.5
cross thr=0.4 1.75x (82% d. Tage),203,129150.44847087984,7.716946532128821,-20.511304489888037,0.7436406038009095,0.3762289490623687,35083.35853524435,6.104143157910613,-20.511304489888037,0.552234217450581,0.29759897333296975,94067.08993563551,11.515325878718908,-17.743026992474363,0.9413135637327734,0.6490057127007183,cross,0.4,1.75
cross thr=0.5 1.25x (77% d. Tage),203,88997.39477436623,5.872619668832879,-16.05567041155368,0.7281740330740801,0.36576608253037723,24172.08255273586,4.357926412461688,-16.05567041155368,0.5206688810903147,0.27142600095513414,64825.31222163036,8.561331880155777,-13.478975203009902,0.926381150514583,0.6351619282038593,cross,0.5,1.25
cross thr=0.5 1.5x (77% d. Tage),203,104435.86182175615,6.620511801468476,-18.536674088079717,0.7127284029406387,0.35715747981596624,28537.860198858558,5.070856893512854,-18.536674088079717,0.5207829914498079,0.27355807570537927,75898.0016228976,9.727847833673176,-15.814521373188695,0.9024091939509796,0.615121229667145,cross,0.5,1.5
cross thr=0.5 1.75x (77% d. Tage),203,119874.32886914606,7.318649215224782,-20.836504376765465,0.7012735964410286,0.3512416998018977,32903.637844981255,5.76460137831365,-20.836504376765465,0.5223548979324761,0.276658755906374,86970.69102416481,10.834534433083842,-18.048298339010906,0.8839359589752099,0.6003078090561752,cross,0.5,1.75
cross thr=0.6 1.25x (55% d. Tage),203,85473.90536827591,5.694154155993214,-15.977275829845826,0.7154189897895237,0.35639080257702227,20574.369213185837,3.7551315409792396,-15.977275829845826,0.46378385317255644,0.2350295244928168,64899.53615509007,8.569366621698293,-12.371767249051846,0.9517841496981473,0.6926550143719392,cross,0.6,1.25
cross thr=0.6 1.5x (55% d. Tage),203,97388.88300957551,6.285747926744789,-18.486859650077626,0.6872546993835171,0.3400116648107076,21342.433519758517,3.8850211134766166,-18.486859650077626,0.4214514653893824,0.2101504088316213,76046.44948981701,9.743065050198707,-13.643983305398299,0.9428281099332366,0.7140924195021422,cross,0.6,1.5
cross thr=0.6 1.75x (55% d. Tage),203,109303.86065087511,6.845682528312613,-20.90521946036743,0.6643390925640594,0.3274628396650323,22110.49782633118,4.014252179693978,-20.90521946036743,0.39076871868911994,0.19202152779616996,87193.36282454393,10.856221917456988,-14.855819091843514,0.9340957622483037,0.7307723559596604,cross,0.6,1.75
index 1.25x (70% d. Tage),203,86803.53424012758,5.761859864484209,-16.47907594508232,0.7114699438590286,0.3496470241223483,22396.714181532872,4.062242758044454,-16.47907594508232,0.48820025581002485,0.24650913507420946,64406.820058594705,8.515973435919566,-13.459338694256362,0.9226844820118885,0.6327185628781058,index,,1.25
index 1.5x (70% d. Tage),203,100048.14075327886,6.413334170209861,-19.41702846344906,0.6839036990084982,0.33029431780884644,24987.123456452588,4.4925339528598895,-19.41702846344906,0.46576693810264436,0.2313708279985638,75061.01729682629,9.641848172879142,-15.769532274391306,0.8960394103290771,0.6114225840760588,index,,1.5
index 1.75x (70% d. Tage),203,113292.74726643012,7.026663455122528,-22.19862862310865,0.6632754047050773,0.3165359254583776,27577.532731372292,4.915722832196723,-22.19862862310865,0.45091807217651875,0.22144263574370004,85715.21453505785,10.711849772322601,-17.97306069278718,0.8756290603031514,0.5959947476626173,index,,1.75
