label,n,win_rate,avg_r,profit_factor,total_pnl,n_is,avg_r_is,n_oos,avg_r_oos,lag_days,z_threshold,filter_mode
Baseline (use_rates_filter=False),203,39.90147783251231,0.36235924988658286,1.5695108501332324,36779.463863488156,84,0.23578934412634722,119,0.4517027127761609,,,
lag=1d z>=0.0 mode=and,88,38.63636363636363,0.22498769359555046,1.3473000255657952,9899.458518204217,39,-0.08757312211858316,49,0.4737605877353711,1.0,0.0,and
lag=1d z>=0.0 mode=majority,361,37.67313019390582,0.19934113994845268,1.3041522023024037,35981.07576069571,142,0.18524667497328157,219,0.20848001678166864,1.0,0.0,majority
lag=1d z>=0.25 mode=and,69,37.68115942028986,0.11532898627575619,1.1749413063352596,3978.85002651359,30,-0.06700428610749688,39,0.2555853496474894,1.0,0.25,and
lag=1d z>=0.25 mode=majority,325,37.53846153846154,0.20783706675878927,1.316131169843083,33773.52334830325,123,0.2001776669823205,202,0.2125009587018866,1.0,0.25,majority
lag=1d z>=0.5 mode=and,49,42.857142857142854,0.23238139833955632,1.3826860366637412,5693.3442593191285,21,-0.25441691319522103,28,0.5974801319906394,1.0,0.5,and
lag=1d z>=0.5 mode=majority,293,40.27303754266212,0.2971112750743531,1.4722761053984097,43526.80179839271,113,0.2685026523024646,180,0.315071132703372,1.0,0.5,majority
lag=2d z>=0.0 mode=and,105,43.80952380952381,0.5918018964002341,1.9927869489591552,31069.599561012285,46,0.4449984386167163,59,0.7062588295873836,2.0,0.0,and
lag=2d z>=0.0 mode=majority,347,34.87031700288185,0.08776212505754541,1.1282129816756132,15226.728697484124,143,0.07486286955947821,204,0.09680425023511212,2.0,0.0,majority
lag=2d z>=0.25 mode=and,84,46.42857142857143,0.7164224069503522,2.2639613154806937,30089.74109191479,36,0.5839252332999583,48,0.8157952871881479,2.0,0.25,and
lag=2d z>=0.25 mode=majority,311,35.048231511254016,0.10600635150654292,1.1551397861056512,16483.987659267426,126,0.08356800235720974,185,0.12128868660284557,2.0,0.25,majority
lag=2d z>=0.5 mode=and,62,50.0,0.9147523629688403,2.7340802938935616,28357.323252034046,23,0.9161336334302473,39,0.9139377675685233,2.0,0.5,and
lag=2d z>=0.5 mode=majority,281,34.87544483985765,0.14104671399876623,1.2056624393316635,19817.06331682665,116,0.10712024626496627,165,0.16489804889040732,2.0,0.5,majority
lag=3d z>=0.0 mode=and,105,40.0,0.37411828421318866,1.590185628855925,19641.209921192407,40,0.17888072330998983,65,0.4942644755382341,3.0,0.0,and
lag=3d z>=0.0 mode=majority,368,38.315217391304344,0.21378655408475342,1.329545959757853,39336.72595159463,150,0.30129507774309133,218,0.15357426716387879,3.0,0.0,majority
lag=3d z>=0.25 mode=and,87,41.37931034482759,0.5061223174038957,1.81924861740702,22016.320807069453,30,0.3135589526652568,57,0.6074714567400212,3.0,0.25,and
lag=3d z>=0.25 mode=majority,329,38.60182370820669,0.2484213547704297,1.3844765508821506,40865.312859735684,137,0.3660600814463103,192,0.1644812216735774,3.0,0.25,majority
lag=3d z>=0.5 mode=and,65,44.61538461538462,0.6680069202282033,2.152280285258731,21710.224907416603,21,0.6614572193374233,44,0.671132913835166,3.0,0.5,and
lag=3d z>=0.5 mode=majority,295,39.66101694915255,0.30131326583561185,1.4736596741079053,44443.70671075274,121,0.38314836074418707,174,0.24440495270953366,3.0,0.5,majority
