label,test_hour,test_window_end,mode,n,avg_r,total_pnl,n_is,avg_r_is,n_oos,avg_r_oos
point_08:30,8.5,,point,182,0.21359392512201994,19437.047186103813,77,0.04574351004581422,105,0.33668422951123755
point_08:45,8.75,,point,194,0.21113044308468806,20479.65297921474,83,0.019267248051336686,111,0.3545957150465635
point_09:00,9.0,,point,203,0.36235924988658286,36779.463863488156,84,0.23578934412634722,119,0.4517027127761609
point_09:15 (Baseline),9.25,,point,204,0.2960468120769387,30196.774831847746,85,0.1549631422282606,119,0.3968208619688517
point_09:30,9.5,,point,185,0.08464079341896424,7829.273391254189,73,-0.159402483355315,112,0.24370471488791412
point_09:45,9.75,,point,166,0.19865879116773588,16488.67966692208,59,0.10121314527423456,107,0.2523905024548067
point_10:00,10.0,,point,147,0.10935586750485565,8037.65626160689,57,-0.07160553345789958,90,0.22396475478126732
point_10:15,10.25,,point,144,0.05934287002956678,4272.68664212881,59,0.0661736417776655,85,0.054601510816180615
point_10:30,10.5,,point,140,-0.13366113706805055,-9356.27959476354,58,-0.15992998336940756,82,-0.11508073358660291
range_08:30-09:00,8.5,9.0,range,155,0.33233376989003577,25755.86716647777,62,0.3045159470392987,93,0.3508789851238605
range_08:30-09:30,8.5,9.5,range,145,0.39056415855571075,28315.90149528903,54,0.4573351227678107,91,0.350941828144135
range_08:30-10:00,8.5,10.0,range,108,0.2447096368436442,13214.320389556784,33,0.21674646397406358,75,0.25701343290625966
range_08:30-10:30,8.5,10.5,range,93,-0.010805717868713073,-502.4658808951564,36,0.1184198756611341,57,-0.09242188220335336
range_09:00-09:30,9.0,9.5,range,172,0.2884778704897965,24809.096862122493,67,0.3242203932306681,105,0.2656707369313356
range_09:00-10:00,9.0,10.0,range,130,0.13795657025602848,8967.177066641852,45,0.139059176305608,85,0.13737283764154518
range_09:00-10:30,9.0,10.5,range,107,-0.023074450657753133,-1234.4831101897917,41,0.10519500907783957,66,-0.10275699382683337
range_09:30-10:00,9.5,10.0,range,147,0.21482554590212044,15789.677623805856,53,0.15112963047404374,94,0.2507392003456106
range_09:30-10:30,9.5,10.5,range,126,-0.015445887641309563,-973.0909214025058,51,-0.019189672053759786,75,-0.012900114240843448
range_10:00-10:30,10.0,10.5,range,136,0.006300608524540416,428.44137966874723,55,-0.02786016137006986,81,0.029496193020880662
