label,n_trades,trades_per_year,win_rate,avg_r,avg_win_r,avg_loss_r,total_r,total_pnl_usd
Voll / filter_mode=and,121,15.727846975088967,0.371900826446281,0.21911593508903754,2.375479212308894,-1.0576781106332458,26.513028145773543,13256.514072886772
Voll / filter_mode=majority,428,55.63238434163701,0.3364485981308411,0.046196943529753495,2.213633697681347,-1.052785072659787,19.772291830734495,9886.145915367244
Reversal-Only / filter_mode=and,47,6.109163701067615,0.5957446808510638,0.3977867105449694,1.3607894362776405,-1.0213752010610722,18.695975395613562,9347.987697806782
Reversal-Only / filter_mode=majority,182,23.656761565836298,0.4725274725274725,0.031223471585832552,1.20912098765107,-1.0239763865559428,5.682671828621524,2841.335914310759
"Baseline (alle 3 Filter aktiv, ohne ADX-Gate)",121,15.727846975088967,0.371900826446281,0.21911593508903754,2.375479212308894,-1.0576781106332458,26.513028145773543,13256.514072886772
ohne Trend-Filter,233,30.28585409252669,0.3090128755364807,0.013110904596132705,2.409300627731906,-1.0584770461229709,3.0548407708989203,1527.4203854494544
ohne Rates-Filter,234,30.415836298932383,0.3717948717948718,0.25591250598999576,2.474824911699724,-1.0573213667769863,59.883526401659005,29941.7632008295
ohne Cross-Filter,203,26.38638790035587,0.3694581280788177,0.048571334727702704,1.9170262541245495,-1.046226469606387,9.85998094972365,4929.990474861823
"majority, sma_window=50",441,57.32215302491103,0.3333333333333333,0.03686025241738463,2.216509939616881,-1.0529645911823633,16.255371316066622,8127.68565803331
"majority, sma_window=100",428,55.63238434163701,0.3364485981308411,0.046196943529753495,2.213633697681347,-1.052785072659787,19.772291830734495,9886.145915367244
"majority, sma_window=150",428,55.63238434163701,0.3411214953271028,0.048243384149720535,2.17651581398597,-1.0536281575385509,20.648168416080388,10324.08420804019
"majority, sma_window=200",417,54.202580071174374,0.3405275779376499,0.051490790086476175,2.1905965067805266,-1.0530656163519065,21.471659466060565,10735.82973303028
"majority, rates_z_window=30",428,55.63238434163701,0.3364485981308411,0.046196943529753495,2.213633697681347,-1.052785072659787,19.772291830734495,9886.145915367244
"majority, rates_z_window=60",428,55.63238434163701,0.3364485981308411,0.046196943529753495,2.213633697681347,-1.052785072659787,19.772291830734495,9886.145915367244
"majority, rates_z_window=90",426,55.37241992882562,0.3380281690140845,0.05127282955286589,2.213633697681347,-1.0529114435340183,21.84222538952087,10921.112694760432
"majority, rates_z_window=120",422,54.852491103202844,0.3341232227488152,0.04530743572417484,2.233716729066301,-1.0527911776610201,19.119737875601782,9559.868937800878
