label,n_trades,win_rate,avg_r,total_r,group
adr_mult=0.2,85,0.5294117647058824,0.41595425417435167,35.356111604819894,adr_mult
adr_mult=0.25,85,0.4588235294117647,0.38161131727826475,32.436961968652504,adr_mult
adr_mult=0.3,85,0.38823529411764707,0.33344140431800606,28.342519367030516,adr_mult
adr_mult=0.35,85,0.32941176470588235,0.1549631422282606,13.17186708940215,adr_mult
adr_mult=0.4,85,0.29411764705882354,0.08039524607027222,6.833595915973139,adr_mult
adr_mult=0.5,85,0.23529411764705882,0.09568552025646719,8.133269221799711,adr_mult
adr_mult=0.6,85,0.23529411764705882,0.2787557920164363,23.694242321397084,adr_mult
adr_period=7,69,0.34782608695652173,0.13449600522297567,9.28022436038532,adr_period
adr_period=14,85,0.32941176470588235,0.1549631422282606,13.17186708940215,adr_period
adr_period=21,95,0.30526315789473685,0.11951586436263817,11.354007114450626,adr_period
adr_period=28,103,0.3106796116504854,0.1942369187706902,20.00640263338109,adr_period
"fixed_r, rr=1.0",85,0.6588235294117647,0.2626871026331103,22.328403723814375,tp_mode_fixed_r
"fixed_r, rr=1.5",85,0.5529411764705883,0.32739298498605074,27.82840372381431,tp_mode_fixed_r
"fixed_r, rr=2.0",85,0.4470588235294118,0.2862165143978162,24.328403723814375,tp_mode_fixed_r
"fixed_r, rr=2.5",85,0.36470588235294116,0.2215106320448857,18.828403723815285,tp_mode_fixed_r
"fixed_r, rr=3.0",85,0.3176470588235294,0.21562827910369844,18.328403723814368,tp_mode_fixed_r
min_adx=0,99,0.3333333333333333,0.1328990116914076,13.157002157449353,min_adx
min_adx=5,99,0.3333333333333333,0.1328990116914076,13.157002157449353,min_adx
min_adx=10,98,0.336734693877551,0.14549394594799564,14.258406702903573,min_adx
min_adx=15,85,0.32941176470588235,0.1549631422282606,13.17186708940215,min_adx
min_adx=20,51,0.27450980392156865,-0.08364118567502976,-4.265700469426518,min_adx
min_adx=25,38,0.18421052631578946,-0.4891121855279387,-18.58626305006167,min_adx
min_adx=30,22,0.22727272727272727,-0.45313646997260654,-9.969002339397344,min_adx
adx_period=7,98,0.32653061224489793,0.09285098800118667,9.099396824116294,adx_period
adx_period=14,85,0.32941176470588235,0.1549631422282606,13.17186708940215,adx_period
adx_period=21,65,0.3076923076923077,-0.02115201728706628,-1.3748811236593081,adx_period
adx_period=28,53,0.2830188679245283,-0.15667951881753192,-8.304014497329192,adx_period
entry_cutoff=10:00,42,0.38095238095238093,0.382162148509862,16.050810237414204,entry_cutoff
entry_cutoff=11:00,79,0.34177215189873417,0.1842173281464128,14.553168923566611,entry_cutoff
entry_cutoff=12:00,85,0.32941176470588235,0.1549631422282606,13.17186708940215,entry_cutoff
entry_cutoff=13:00,89,0.33707865168539325,0.2626573900666386,23.376507715930835,entry_cutoff
entry_cutoff=14:00,91,0.32967032967032966,0.23279672564959417,21.18450203411307,entry_cutoff
min_sl_atr_mult=0.5,124,0.28225806451612906,0.12407392915835333,15.385167215635812,min_sl_atr_mult
min_sl_atr_mult=0.75,113,0.3008849557522124,0.1562766200488659,17.659258065521847,min_sl_atr_mult
min_sl_atr_mult=1.0,85,0.32941176470588235,0.1549631422282606,13.17186708940215,min_sl_atr_mult
min_sl_atr_mult=1.25,46,0.391304347826087,0.1274456436021221,5.862499605697617,min_sl_atr_mult
min_sl_atr_mult=1.5,32,0.5,0.3368686741384428,10.77979757243017,min_sl_atr_mult
min_sl_atr_mult=2.0,22,0.5454545454545454,0.38392353185935857,8.446317700905889,min_sl_atr_mult
min_sl_atr_mult=2.5,17,0.6470588235294118,0.5101144345349495,8.671945387094143,min_sl_atr_mult
min_sl_atr_mult=3.0,14,0.5714285714285714,0.24514226234621425,3.4319916728469995,min_sl_atr_mult
timeframe=M3,85,0.35294117647058826,0.4038812374460782,34.32990518291665,timeframe
timeframe=M5,85,0.32941176470588235,0.1549631422282606,13.17186708940215,timeframe
timeframe=M15,57,0.38596491228070173,0.09585225397493229,5.46357847657114,timeframe
spread_bps=0.3,85,0.32941176470588235,0.1549631422282606,13.17186708940215,spread_bps
spread_bps=0.6,85,0.32941176470588235,0.10000318603780524,8.500270813213445,spread_bps
spread_bps=1.0,85,0.32941176470588235,0.026723244450540605,2.2714757782959514,spread_bps
spread_bps=1.5,85,0.32941176470588235,-0.06487668253349699,-5.514518015347244,spread_bps
spread_bps=2.0,85,0.32941176470588235,-0.15647660951757594,-13.300511808993955,spread_bps
slippage_bps=0.0,85,0.32941176470588235,0.1549631422282606,13.17186708940215,slippage_bps
slippage_bps=0.5,85,0.32941176470588235,0.08610728215548084,7.319118983215872,slippage_bps
slippage_bps=1.0,85,0.32941176470588235,0.01725142208271735,1.4663708770309747,slippage_bps
slippage_bps=2.0,85,0.32941176470588235,-0.12046029806284028,-10.239125335341424,slippage_bps
