pair,config,n,win_rate,avg_r,profit_factor,total_pnl,n_is,avg_r_is,n_oos,avg_r_oos
EURUSD,ALT (Haltetest 09:15),204,38.23529411764706,0.2960468120769387,1.4536776268348484,30196.774831847746,85,0.1549631422282606,119,0.3968208619688517
EURUSD,NEU (Haltetest 09:00),203,39.90147783251231,0.36235924988658286,1.5695108501332324,36779.463863488156,84,0.23578934412634722,119,0.4517027127761609
GBPUSD,ALT (Haltetest 09:15),213,27.230046948356808,-0.11060531953240842,0.8546606325227749,-11779.466530201496,83,-0.32725984339478953,130,0.027720261087419536
GBPUSD,NEU (Haltetest 09:00),205,27.80487804878049,-0.05788709016459035,0.9233881214924279,-5933.426741870511,80,-0.30087184728007094,125,0.09762315438931721
USDJPY,ALT (Haltetest 09:15),155,35.483870967741936,-0.182105053543251,0.7285476737017087,-14113.141649601952,59,-0.05868442160974412,96,-0.25795731691905205
USDJPY,NEU (Haltetest 09:00),150,37.333333333333336,-0.13232261054224878,0.7969052404566368,-9924.19579066866,62,0.004955423088154407,88,-0.2290412251454873
USDCHF,ALT (Haltetest 09:15),175,38.857142857142854,-0.023767143873105,0.962399899628099,-2079.625088896687,78,-0.03313234905287433,97,-0.01623636032648635
USDCHF,NEU (Haltetest 09:00),165,37.57575757575757,-0.1256152427926291,0.8053941787744542,-10363.2575303919,78,-0.04743284378911908,87,-0.19570980741646565
AUDUSD,ALT (Haltetest 09:15),124,33.064516129032256,0.052238544420598984,1.075148111289558,3238.7897540771382,56,0.22827798560119567,68,-0.0927351130222453
AUDUSD,NEU (Haltetest 09:00),119,30.252100840336134,-0.020757579335766347,0.971298874926379,-1235.0759704780962,57,0.20710826696550208,62,-0.23024714770951316
USDCAD,ALT (Haltetest 09:15),167,37.72455089820359,-0.1322046254041549,0.7965864063911561,-11039.086221246927,66,-0.37661718429946256,101,0.027510512091788817
USDCAD,NEU (Haltetest 09:00),157,36.30573248407643,-0.13403491592296138,0.7987136194866533,-10521.740899952469,66,-0.3514722663700262,91,0.023666898686997725
