label,n,avg_r,total_pnl,n_is,avg_r_is,n_oos,avg_r_oos,lag_days,z_threshold,filter_mode
baseline,205,-0.05788709016459035,-5933.426741870511,80,-0.30087184728007094,125,0.09762315438931721,,,
lag=1d z>=0.0 mode=and,98,0.11221788349025028,5498.676291022266,39,-0.1032074430980432,59,0.254617675641834,1.0,0.0,and
lag=1d z>=0.0 mode=majority,355,-0.025424678537860738,-4512.8804404702805,141,-0.13722100024334052,214,0.04823551473537599,1.0,0.0,majority
lag=1d z>=0.25 mode=and,73,0.0541166452375265,1975.2575511697178,29,-0.3584093621762382,44,0.32600878648750786,1.0,0.25,and
lag=1d z>=0.25 mode=majority,329,-0.01668955045145535,-2745.4310492644054,127,-0.17200403782071252,202,0.08095866685495884,1.0,0.25,majority
lag=1d z>=0.5 mode=and,47,0.058059111148303484,1364.3891119851323,19,-0.5155201149234595,28,0.44727358598271405,1.0,0.5,and
lag=1d z>=0.5 mode=majority,299,-0.007769316030747865,-1161.5127465968035,112,-0.14749417382679694,187,0.07591616029629761,1.0,0.5,majority
lag=2d z>=0.0 mode=and,110,0.11108471553673295,6109.659354520313,38,-0.15828313040280154,72,0.2532510786714873,2.0,0.0,and
lag=2d z>=0.0 mode=majority,342,-0.06607891115994034,-11299.493808349795,140,-0.284971212830377,202,0.08562862465125343,2.0,0.0,majority
lag=2d z>=0.25 mode=and,91,0.29222438782572596,13296.209646070529,30,0.013578858317238877,61,0.42926317282989984,2.0,0.25,and
lag=2d z>=0.25 mode=majority,313,-0.021332020328096963,-3338.461181347174,124,-0.2335019511997333,189,0.11786941579932587,2.0,0.25,majority
lag=2d z>=0.5 mode=and,57,0.3819001256725999,10884.1535816691,19,0.6221118958610203,38,0.26179424057838974,2.0,0.5,and
lag=2d z>=0.5 mode=majority,284,-0.02254562262454381,-3201.4784126852164,114,-0.24502366704910736,170,0.1266455365778106,2.0,0.5,majority
lag=3d z>=0.0 mode=and,103,0.0585264297131399,3014.1111302267013,30,-0.1822128586081486,73,0.1574603838177789,3.0,0.0,and
lag=3d z>=0.0 mode=majority,347,-0.04293762365742035,-7449.677704562429,137,-0.25209806288385195,210,0.09351466288553738,3.0,0.0,majority
lag=3d z>=0.25 mode=and,88,0.10697441989357609,4706.87447531735,25,-0.0064600292264493046,63,0.15198809017930043,3.0,0.25,and
lag=3d z>=0.25 mode=majority,327,-0.05222179939559182,-8538.264201179267,129,-0.22963791446468362,198,0.06336748769487704,3.0,0.25,majority
lag=3d z>=0.5 mode=and,64,0.05657669945976676,1810.4543827125374,21,-0.21076470132250624,43,0.18713877891157454,3.0,0.5,and
lag=3d z>=0.5 mode=majority,295,-0.007293382543901379,-1075.7739252254541,120,-0.20695145496800432,175,0.12961500997548353,3.0,0.5,majority
