label,n,win_rate,avg_r,total_r,n_is,avg_r_is,n_oos,avg_r_oos,total_pnl,pair,variant
"EURJPY ALT (0.3bp, alte/keine Confirmation)",286,0.3916083916083916,0.0318711999359693,9.115163181687219,131,0.0751530195058103,155,-0.004708918539186673,4557.581590843612,EURJPY,alt
EURJPY NEU (paper-spread + paar-spezifisch + Risiko-Skalierung),155,0.2967741935483871,-0.08781687735856797,-13.611615990578034,72,-0.0025596826110299504,83,-0.1617749258142636,-13434.424682731003,EURJPY,neu
EURJPY NEU ohne Risiko-Skalierung (nur Confirmation+Spread),155,0.2967741935483871,-0.08781687735856795,-13.611615990578033,72,-0.0025596826110299256,83,-0.1617749258142636,-6805.8079952890175,EURJPY,neu_flat
"USDCAD ALT (0.3bp, alte/keine Confirmation)",167,0.3772455089820359,-0.1322046254041549,-22.078172442493866,66,-0.37661718429946256,101,0.027510512091788817,-11039.086221246927,USDCAD,alt
USDCAD NEU (paper-spread + paar-spezifisch + Risiko-Skalierung),166,0.23493975903614459,-0.16117576912679163,-26.75517767504741,72,-0.430248156241815,94,0.04492222951450295,-24569.16671921687,USDCAD,neu
USDCAD NEU ohne Risiko-Skalierung (nur Confirmation+Spread),166,0.23493975903614459,-0.1611757691267916,-26.755177675047406,72,-0.430248156241815,94,0.04492222951450296,-13377.588837523703,USDCAD,neu_flat
"AUDUSD ALT (0.3bp, alte/keine Confirmation)",124,0.33064516129032256,0.052238544420598984,6.477579508154274,56,0.22827798560119567,68,-0.0927351130222453,3238.7897540771382,AUDUSD,alt
AUDUSD NEU (paper-spread + paar-spezifisch + Risiko-Skalierung),159,0.25157232704402516,-0.2873756497932867,-45.69272831713259,72,-0.09740606030239417,87,-0.4445918617857496,-40602.08539319856,AUDUSD,neu
AUDUSD NEU ohne Risiko-Skalierung (nur Confirmation+Spread),159,0.25157232704402516,-0.2873756497932867,-45.69272831713259,72,-0.09740606030239417,87,-0.4445918617857496,-22846.3641585663,AUDUSD,neu_flat
"GOLD ALT (0.3bp, kein Cross-Filter)",313,0.329073482428115,0.01910300210790317,5.979239659773692,135,-0.00954932285170971,178,0.040833698004238805,2989.61982988685,GOLD,alt
GOLD NEU (10bp Spread + USD-Staerke-Confirmation),179,0.3016759776536313,-0.7065411040634653,-126.47085762736029,79,-0.7165230402016312,100,-0.6986553745143144,-63235.42881368015,GOLD,neu
