Variante,Setup,Trades,Treffer%,PF,Ø R,Ø R (IS),Ø R (OOS),PnL $,MaxDD %,SL med (Pips),SL p10,Hebel med,Hebel p90,Hebel max
Baseline,"min_sl_atr_mult=1.0, drop",207,39.61352657004831,1.108919137438364,0.08953715878677239,-0.055729729776583324,0.18874381439101526,4633.547967215469,-7.3369654804148805,6.999999999999229,3.5599999999997856,3.571428571428964,7.023809523809906,9.99999999999666
A Pip-Boden (drop),min_sl_pips=4,173,43.93063583815029,1.3111656302813792,0.22456797338538328,0.08542628925216617,0.3261414028026319,9712.56484891783,-5.272072294936503,7.500000000000284,4.919999999998925,3.333333333333207,5.08163265306234,6.097560975609437
A Pip-Boden (drop),min_sl_pips=5,152,48.026315789473685,1.5198718052704343,0.33662654483884624,0.2794165989076224,0.3760378409248005,12791.808703876159,-3.0983578689858904,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
A Pip-Boden (drop),min_sl_pips=6,122,51.63934426229508,1.6511571839228971,0.37772917804138406,0.45174260309227204,0.34026559252179894,11520.739930262218,-1.79907677334743,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
A Pip-Boden (drop),min_sl_pips=7,102,52.94117647058823,1.6069692467932912,0.33507517160927,0.6775805994637072,0.16382245768205123,8544.416876036381,-1.9251404254845728,12.349999999999861,7.410000000001471,2.0243246787306797,3.3738738738732,3.5714285714278318
A Pip-Boden (drop),min_sl_pips=8,82,52.4390243902439,1.4223005409032583,0.23090188556424898,0.46549998379860996,0.12800798282988018,4733.488654067103,-1.7620975877658651,16.449999999998965,9.19999999999832,1.520107932283675,2.7173913043483218,3.1249999999994773
A Pip-Boden (drop),min_sl_pips=10,63,57.142857142857146,1.4095160607274544,0.19612870337303753,0.49163412735437306,0.09553111223045524,3089.027078125342,-1.803263757497131,19.599999999999618,10.799999999999699,1.2755102040816575,2.3148148148148793,2.4999999999997202
B Pip-Boden (widen),min_sl_pips=4,307,34.20195439739414,0.97392386995745,-0.02351932488754918,-0.06542152581701456,0.003003876764612405,-1805.1081851194022,-13.635891337692808,5.656246892542821,4.0,4.419891930983409,6.25,6.25
B Pip-Boden (widen),min_sl_pips=5,307,35.17915309446254,0.9852205222770907,-0.012762927194817846,0.004823315605993206,-0.0238946447123525,-979.554662202273,-11.680797314179536,5.656246892542821,5.0,4.419891930983409,5.0,5.0
B Pip-Boden (widen),min_sl_pips=6,307,36.807817589576544,1.019755829541949,0.016153303523485932,0.018944834483731417,0.014386323819926269,1239.7660454275447,-8.795924181377979,6.0,6.0,4.166666666666667,4.166666666666667,4.166666666666667
B Pip-Boden (widen),min_sl_pips=7,307,38.11074918566775,1.0252355116472918,0.0196947259629359,0.06982925471704918,-0.012039364046316649,1511.5702176553286,-6.842341744914615,7.0,7.0,3.5714285714285716,3.5714285714285716,3.5714285714285716
B Pip-Boden (widen),min_sl_pips=8,307,40.39087947882736,1.072201031691387,0.053064282718493706,0.068762999663519,0.04312732890754681,4072.6836986443914,-5.421035589435952,8.0,8.0,3.125,3.125,3.125
B Pip-Boden (widen),min_sl_pips=10,307,43.97394136807818,1.0864534206195422,0.05771125676877274,0.07872677245485522,0.044408882478114156,4429.338957003306,-3.4765717840240185,10.0,10.0,2.5,2.5,2.5
C ATR-Mult (drop),min_sl_atr_mult=1.5,92,53.26086956521739,1.364113384814474,0.2020466693961987,0.18336407999644475,0.21064659150084736,4647.07339611257,-2.918219267625899,14.300000000000423,6.699999999999484,1.7568430881123835,3.731343283582377,6.410256410254561
