Variante,Setup,Trades,Treffer%,PF,Ø R,Ø R (IS),Ø R (OOS),PnL $,MaxDD %,SL med (Pips),SL p10,Hebel med,Hebel p90,Hebel max
TP adr 0.75 | Boden 5p,ohne BE,152,29.605263157894736,1.6357162070229445,0.5527473568741347,0.6435709203072753,0.49018001317574894,21004.399561217113,-3.064591185652654,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP adr 0.75 | Boden 5p,BE bei 1R,152,17.105263157894736,1.2620880881509804,0.13312939265335952,0.12627961714461647,0.1378481268927158,5058.91692082766,-3.2280048394713767,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP adr 0.75 | Boden 5p,BE bei 1.5R,152,21.710526315789473,1.5621612146494406,0.3517680610703432,0.4909717624005388,0.2558721779317639,13367.186320673041,-3.309908041077636,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP adr 0.75 | Boden 6p,ohne BE,122,31.9672131147541,1.7531269395254823,0.6109088617657268,0.9028828118934051,0.46311957836776624,18632.720283854673,-3.3454836605107174,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
TP adr 0.75 | Boden 6p,BE bei 1R,122,17.21311475409836,1.0517143225425816,0.024639134468997247,0.04805015240472631,0.012789113044739342,751.493601304416,-3.59650953884052,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
TP adr 0.75 | Boden 6p,BE bei 1.5R,122,22.131147540983605,1.481648733152409,0.2821625583012486,0.525985974026743,0.15874576762538112,8605.95802818808,-5.226206495347285,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
TP 3R fix | Boden 5p,ohne BE,152,39.473684210526315,1.4748938177440711,0.35012965978770605,0.2095351643901449,0.44698364550602565,13304.927071932827,-3.430279990321261,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP 3R fix | Boden 5p,BE bei 1R,152,24.342105263157894,1.3570212525317331,0.1763737650274483,0.13353602670660328,0.2058842069818081,6702.203071043034,-2.7849859425277512,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP 3R fix | Boden 5p,BE bei 1.5R,152,30.92105263157895,1.3650897715062742,0.22747504083656853,0.17873014256891306,0.2610548596431756,8644.051551789606,-3.553108755460388,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP adr 0.35 (Ist) | Boden 5p,ohne BE,152,48.026315789473685,1.5198718052704343,0.33662654483884624,0.2794165989076224,0.3760378409248005,12791.808703876159,-3.0983578689858904,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP adr 0.35 (Ist) | Boden 5p,BE bei 1R,152,33.55263157894737,1.1938160085460268,0.09275127322066733,0.08687338978705919,0.09680048180826402,3524.548382385359,-2.624829816648233,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP adr 0.35 (Ist) | Boden 5p,BE bei 1.5R,152,40.78947368421053,1.379148193906319,0.21210556633809854,0.29026457507154196,0.15826269365505968,8060.0115208477455,-2.8282245425212182,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP 2R fix | Boden 5p,ohne BE,152,44.078947368421055,1.1378264244996634,0.09355071241928492,0.12889000309982235,0.06920586772824795,3554.927071932826,-4.4310594982629015,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP 2R fix | Boden 5p,BE bei 1R,152,28.289473684210527,1.0143275673702454,0.007007937102425261,-0.018944519036169408,0.02488629577567937,266.3016098921594,-3.189931144942326,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP 2R fix | Boden 5p,BE bei 1.5R,152,38.1578947368421,1.089342524862449,0.054946667562589945,0.10101370246697691,0.023211599072901143,2087.973367378418,-4.240456437176842,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
