Variante,Setup,Trades,Treffer%,PF,Ø R,Ø R (IS),Ø R (OOS),PnL $,MaxDD %,SL med (Pips),SL p10,Hebel med,Hebel p90,Hebel max
TP adr 0.35 (Ist) | kein Boden,Referenz,207,39.61352657004831,1.108919137438364,0.08953715878677239,-0.055729729776583324,0.18874381439101526,4633.547967215469,-7.3369654804148805,6.999999999999229,3.5599999999997856,3.571428571428964,7.023809523809906,9.99999999999666
TP adr 0.35 (Ist) | Boden 4p,Referenz,173,43.93063583815029,1.3111656302813792,0.22456797338538328,0.08542628925216617,0.3261414028026319,9712.56484891783,-5.272072294936503,7.500000000000284,4.919999999998925,3.333333333333207,5.08163265306234,6.097560975609437
TP adr 0.35 (Ist) | Boden 5p,Referenz,152,48.026315789473685,1.5198718052704343,0.33662654483884624,0.2794165989076224,0.3760378409248005,12791.808703876159,-3.0983578689858904,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP adr 0.35 (Ist) | Boden 6p,Referenz,122,51.63934426229508,1.6511571839228971,0.37772917804138406,0.45174260309227204,0.34026559252179894,11520.739930262218,-1.79907677334743,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
TP 1R fix | kein Boden,fixed_r=1,207,62.31884057971015,0.8579892871915318,-0.07067875090637361,-0.039001731418780855,-0.09231183738570527,-3657.6253594048335,-5.445478745004284,6.999999999999229,3.5599999999997856,3.571428571428964,7.023809523809906,9.99999999999666
TP 1.5R fix | kein Boden,fixed_r=1.5,207,52.17391304347826,0.9797173393249506,-0.012707736413622226,0.08004588762884232,-0.07605167478408581,-657.6253594049508,-5.339581149818395,6.999999999999229,3.5599999999997856,3.571428571428964,7.023809523809906,9.99999999999666
TP 2R fix | kein Boden,fixed_r=2,207,43.47826086956522,0.9827979305046737,-0.012707736413619209,0.008617316200266768,-0.027271186979199852,-657.6253594047924,-7.932940720624792,6.999999999999229,3.5599999999997856,3.571428571428964,7.023809523809906,9.99999999999666
TP 2.5R fix | kein Boden,fixed_r=2.5,207,38.16425120772947,1.0229182168707007,0.01869322976995879,-0.05685887427591967,0.07028978863055874,967.3746405953693,-7.615334818039942,6.999999999999229,3.5599999999997856,3.571428571428964,7.023809523809906,9.99999999999666
TP 3R fix | kein Boden,fixed_r=3,207,35.265700483091784,1.1092174628386833,0.09357245682309581,-0.06281125522830466,0.20037108944356433,4842.374640595207,-7.268201111930606,6.999999999999229,3.5599999999997856,3.571428571428964,7.023809523809906,9.99999999999666
TP 4R fix | kein Boden,fixed_r=4,207,26.570048309178745,1.0118002453529753,0.011446852958361458,-0.039001731418780876,0.04589954472811729,592.3746405952071,-12.581799040006558,6.999999999999229,3.5599999999997856,3.571428571428964,7.023809523809906,9.99999999999666
TP 1R fix | Boden 4p,fixed_r=1,173,64.16184971098266,1.0576624432975728,0.025787319734629447,0.0626020198363234,-0.0010874113396071295,1115.3015785227235,-3.01525962097251,7.500000000000284,4.919999999998925,3.333333333333207,5.08163265306234,6.097560975609437
TP 1.5R fix | Boden 4p,fixed_r=1.5,173,53.179190751445084,1.1237632963066464,0.07203009430110964,0.19958832120619785,-0.021087411339604737,3115.301578522991,-4.255471827414503,7.500000000000284,4.919999999998925,3.333333333333207,5.08163265306234,6.097560975609437
TP 2R fix | Boden 4p,fixed_r=2,173,43.35260115606936,1.061014815917804,0.043128360197058145,0.08999928011029598,0.008912588660394538,1865.301578522766,-6.875562412463432,7.500000000000284,4.919999999998925,3.333333333333207,5.08163265306234,6.097560975609437
TP 2.5R fix | Boden 4p,fixed_r=2.5,173,39.884393063583815,1.1841945898924424,0.13850408274040557,0.03520475956234464,0.21391258866039006,5990.301578522543,-6.272372740191868,7.500000000000284,4.919999999998925,3.333333333333207,5.08163265306234,6.097560975609437
TP 3R fix | Boden 4p,fixed_r=3,173,36.994219653179194,1.2805772241538773,0.22231911164214477,0.007807499288378098,0.3789125886603945,9615.301578522767,-5.777141486468662,7.500000000000284,4.919999999998925,3.333333333333207,5.08163265306234,6.097560975609437
TP 4R fix | Boden 4p,fixed_r=4,173,27.745664739884393,1.1428538544387103,0.12983356250919686,0.06260201983632335,0.17891258866039458,5615.301578522765,-9.44462775137781,7.500000000000284,4.919999999998925,3.333333333333207,5.08163265306234,6.097560975609437
TP 1R fix | Boden 5p,fixed_r=1,152,64.47368421052632,1.1402205493352793,0.06065597557717857,0.015986777293370787,0.09142808995046836,2304.927071932785,-2.3658422347571983,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP 1.5R fix | Boden 5p,fixed_r=1.5,152,53.28947368421053,1.1826267131859474,0.10341913347191778,0.17727709987402138,0.05253920106157969,3929.9270719328747,-2.5684259486139505,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP 2R fix | Boden 5p,fixed_r=2,152,44.078947368421055,1.1378264244996634,0.09355071241928492,0.12889000309982235,0.06920586772824795,3554.927071932826,-4.4310594982629015,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP 2.5R fix | Boden 5p,fixed_r=2.5,152,40.78947368421053,1.2759201328821452,0.19881387031401915,0.08050290632562612,0.2803169788393566,7554.927071932728,-4.16365156483316,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP 3R fix | Boden 5p,fixed_r=3,152,39.473684210526315,1.4748938177440711,0.35012965978770605,0.2095351643901449,0.44698364550602565,13304.927071932827,-3.430279990321261,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP 4R fix | Boden 5p,fixed_r=4,152,29.605263157894736,1.2921975903842178,0.25144544926139023,0.25792226116433853,0.2469836455060257,9554.927071932827,-5.8470790272384,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP 1R fix | Boden 6p,fixed_r=1,122,64.75409836065573,1.250723307324394,0.10399142131116862,0.1011047618117774,0.10545256994666294,3171.7383499906427,-1.297335086529594,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
TP 1.5R fix | Boden 6p,fixed_r=1.5,122,53.278688524590166,1.2575276663845065,0.14087666721281042,0.308421834982526,0.05606985389727539,4296.738349990717,-2.127058428344264,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
TP 2R fix | Boden 6p,fixed_r=2,122,43.442622950819676,1.1687927688789626,0.11218814262264537,0.24744622522641146,0.04372417488493661,3421.738349990684,-4.383978539314926,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
TP 2.5R fix | Boden 6p,fixed_r=2.5,122,40.98360655737705,1.3509034566451792,0.24333568360624735,0.23525110327517393,0.2474278785886426,7421.7383499905445,-3.296809949162971,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
TP 3R fix | Boden 6p,fixed_r=3,122,39.34426229508197,1.5357409792765513,0.38267994590133386,0.34500720083616754,0.40174886624296124,11671.738349990683,-2.6725350807535797,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
TP 4R fix | Boden 6p,fixed_r=4,122,30.327868852459016,1.395387190826308,0.3253028967210061,0.3693974447386066,0.3029834341441958,9921.738349990685,-4.729847154744116,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
TP adr 0.25 | kein Boden,adr_mult=0.25,207,49.27536231884058,1.1633260006741832,0.1133727363286704,0.08968129629837722,0.1295522563493585,5867.039105008693,-4.414486151149877,6.999999999999229,3.5599999999997856,3.571428571428964,7.023809523809906,9.99999999999666
TP adr 0.5 | kein Boden,adr_mult=0.5,207,29.468599033816425,1.011051393056892,0.010510755189646531,-0.15659269351057034,0.12463018357028247,543.9315810642079,-9.379020956014894,6.999999999999229,3.5599999999997856,3.571428571428964,7.023809523809906,9.99999999999666
