label,variant,mult,n,gesamt_total_pnl,gesamt_cagr_pct,gesamt_max_drawdown_pct,gesamt_sharpe,gesamt_calmar,is_total_pnl,is_cagr_pct,is_max_drawdown_pct,is_sharpe,is_calmar,oos_total_pnl,oos_cagr_pct,oos_max_drawdown_pct,oos_sharpe,oos_calmar
Flach 1% (keine Skalierung),,,203,73558.92772697631,5.066894523017851,-13.371207124514218,0.7501954398163688,0.37894069516942985,19806.30490661317,3.624575879773584,-13.371207124514218,0.5232184900167174,0.27107319825511017,53752.62282036314,7.327386319427709,-11.034542914836553,0.9592360271679699,0.6640407650756093
VIX>20 1.25x (38% d. Tage),VIX>20,1.25,203,83020.5704035176,5.568060349542137,-14.328818804961008,0.7597557248489334,0.38859172031782063,26375.420992008963,4.720203189359395,-14.328818804961008,0.5867080369160329,0.32942025812519443,56645.14941150864,7.656719687584634,-10.948622740964254,0.9519091948433619,0.6993317669935809
VIX>20 1.5x (38% d. Tage),VIX>20,1.5,203,92482.2130800589,6.0461718033418155,-15.213810965838759,0.7602062232175025,0.39741336453554926,32944.537077404755,5.771013399828018,-15.213810965838759,0.6302313240769913,0.37932727130541505,59537.67600265414,7.981010025619262,-10.864030259332702,0.9373974562759309,0.7346270062864753
VIX>20 1.75x (38% d. Tage),VIX>20,1.75,203,101943.85575660018,6.503347788415015,-16.034142376938988,0.7560545007125457,0.40559374087686895,39513.65316280055,6.780924257083076,-16.034142376938988,0.6615121952116572,0.42290532899568745,62430.20259379964,8.300423923752632,-10.780734931396474,0.9185066043346382,0.7699311759887081
FOMC/EZB +/-1d 1.25x (15% d. Tage),FOMC/EZB +/-1d,1.25,203,79651.67047880853,5.392378497433015,-14.050871212648165,0.7685263806263379,0.3837753841611587,22092.144640007784,4.011171776766509,-14.050871212648165,0.5428651285370362,0.28547495141481155,57559.52583880074,7.759770377246866,-9.900723996859274,0.9911731757345614,0.7837578726271367
FOMC/EZB +/-1d 1.5x (15% d. Tage),FOMC/EZB +/-1d,1.5,203,85744.41323064077,5.707964344279737,-14.721285140040052,0.778437926254491,0.3877354653470293,24377.9843734024,4.391998812243747,-14.721285140040052,0.5555308406730822,0.2983434374420247,61366.42885723837,8.183511001204646,-8.91641331630948,1.0148953723080238,0.9178030123654942
FOMC/EZB +/-1d 1.75x (15% d. Tage),FOMC/EZB +/-1d,1.75,203,91837.15598247299,6.014263358837768,-15.382636470977795,0.7818606422556769,0.39097740950875326,26663.824106797016,4.767246757067012,-15.382636470977795,0.5630814404775921,0.3099109028586426,65173.33187567598,8.598978900838162,-8.596801813400212,1.0316608477799984,1.0002532438789684
VIX>20 ODER FOMC/EZB 1.25x (46% d. Tage),VIX>20 ODER FOMC/EZB,1.25,203,86037.39338506124,5.722901167534089,-14.874935017190493,0.7664912037432379,0.38473453234722116,25619.697797257693,4.59652138815867,-14.874935017190493,0.565473033526326,0.3090111911646414,60417.695587803566,8.078696889202108,-9.826939369796317,0.9859122575022036,0.8220969505553748
VIX>20 ODER FOMC/EZB 1.5x (46% d. Tage),VIX>20 ODER FOMC/EZB,1.5,203,98515.8590431462,6.34000804128696,-16.266102901284384,0.771684464585326,0.3897681011710769,31433.090687902215,5.53299511234524,-16.266102901284384,0.5939984728395317,0.34015493114262485,67082.768355244,8.804360485638284,-8.784906335160647,0.9992269123938328,1.0022144971995632
VIX>20 ODER FOMC/EZB 1.75x (46% d. Tage),VIX>20 ODER FOMC/EZB,1.75,203,110994.32470123118,6.9227611674161915,-17.556893172369037,0.7712082567198872,0.3943044534958613,37246.483578546744,6.436777990198528,-17.556893172369037,0.614490819029898,0.36662397652044165,73747.84112268442,9.506225116402378,-8.408582548077137,1.0040077298525396,1.1305383591169298
