date,ref_pair,checked_currency,move_pct,vote_agrees
2026-06-22,AUDUSD,USD,0.000599,True
2026-06-22,EURAUD,EUR,0.001347,False
2026-06-22,EURCAD,EUR,0.001275,False
2026-06-22,EURCHF,EUR,0.000605,False
2026-06-22,EURGBP,EUR,-0.000783,True
2026-06-22,EURJPY,EUR,0.002397,False
2026-06-22,GBPUSD,USD,-0.001289,False
2026-06-22,USDCAD,USD,0.001603,True
2026-06-22,USDCHF,USD,0.001053,True
2026-06-22,USDJPY,USD,0.002269,True
2026-06-24,AUDUSD,USD,0.001518,True
2026-06-24,EURAUD,EUR,-0.000298,True
2026-06-24,EURCAD,EUR,-0.00065,True
2026-06-24,EURCHF,EUR,0.000282,False
2026-06-24,EURGBP,EUR,-0.000928,True
2026-06-24,EURJPY,EUR,-0.0008,True
2026-06-24,GBPUSD,USD,0.001038,True
2026-06-24,USDCAD,USD,0.001183,True
2026-06-24,USDCHF,USD,0.002706,True
2026-06-24,USDJPY,USD,0.001164,True
2026-06-26,AUDUSD,USD,0.001419,False
2026-06-26,EURAUD,EUR,0.001987,True
2026-06-26,EURCAD,EUR,8.1e-05,True
2026-06-26,EURCHF,EUR,-0.000597,False
2026-06-26,EURGBP,EUR,0.000418,True
2026-06-26,EURJPY,EUR,-0.00013,False
2026-06-26,GBPUSD,USD,-0.000341,True
2026-06-26,USDCAD,USD,-6.3e-05,True
2026-06-26,USDCHF,USD,-0.000358,True
2026-06-26,USDJPY,USD,-0.000278,True
2026-06-29,AUDUSD,USD,-0.002105,True
2026-06-29,EURAUD,EUR,0.001314,True
2026-06-29,EURCAD,EUR,0.001715,True
2026-06-29,EURCHF,EUR,0.000694,True
2026-06-29,EURGBP,EUR,0.001335,True
2026-06-29,EURJPY,EUR,0.002411,True
2026-06-29,GBPUSD,USD,-0.002091,True
2026-06-29,USDCAD,USD,-0.000796,True
2026-06-29,USDCHF,USD,-0.001926,True
2026-06-29,USDJPY,USD,-0.000241,True
2026-06-30,AUDUSD,USD,0.001669,True
2026-06-30,EURAUD,EUR,-0.000211,True
2026-06-30,EURCAD,EUR,-0.000203,True
2026-06-30,EURCHF,EUR,-0.000401,True
2026-06-30,EURGBP,EUR,-0.000522,True
2026-06-30,EURJPY,EUR,-5.9e-05,True
2026-06-30,GBPUSD,USD,0.00089,True
2026-06-30,USDCAD,USD,0.001478,True
2026-06-30,USDCHF,USD,0.001474,True
2026-06-30,USDJPY,USD,0.001847,True
2026-07-01,AUDUSD,USD,0.003946,True
2026-07-01,EURAUD,EUR,0.002472,False
2026-07-01,EURCAD,EUR,4.3e-05,False
2026-07-01,EURCHF,EUR,7.6e-05,False
2026-07-01,EURGBP,EUR,-0.000105,True
2026-07-01,EURJPY,EUR,-0.000867,True
2026-07-01,GBPUSD,USD,0.000785,True
2026-07-01,USDCAD,USD,0.001614,True
2026-07-01,USDCHF,USD,0.00203,True
2026-07-01,USDJPY,USD,0.000769,True
2026-07-02,AUDUSD,USD,-0.000218,True
2026-07-02,EURAUD,EUR,0.001358,True
2026-07-02,EURCAD,EUR,0.000773,True
2026-07-02,EURCHF,EUR,-0.000152,False
2026-07-02,EURGBP,EUR,-0.00077,False
2026-07-02,EURJPY,EUR,-0.002995,False
2026-07-02,GBPUSD,USD,-0.00257,True
2026-07-02,USDCAD,USD,-0.000802,True
2026-07-02,USDCHF,USD,-0.001174,True
2026-07-02,USDJPY,USD,-0.004387,True
2026-07-03,AUDUSD,USD,-0.003498,True
2026-07-03,EURAUD,EUR,-0.00129,False
2026-07-03,EURCAD,EUR,0.001506,True
2026-07-03,EURCHF,EUR,-0.000196,False
2026-07-03,EURGBP,EUR,0.000572,True
2026-07-03,EURJPY,EUR,0.000467,True
2026-07-03,GBPUSD,USD,-0.001626,True
2026-07-03,USDCAD,USD,-0.000395,True
2026-07-03,USDCHF,USD,-0.002091,True
2026-07-03,USDJPY,USD,-0.001341,True
2026-07-06,AUDUSD,USD,0.001729,True
2026-07-06,EURAUD,EUR,0.001142,False
2026-07-06,EURCAD,EUR,0.000481,False
2026-07-06,EURCHF,EUR,0.00184,False
2026-07-06,EURGBP,EUR,0.00014,False
2026-07-06,EURJPY,EUR,0.004836,False
