date,break_direction,n_confirm,n_total,confirm_ratio,confirmed,strong_confirmed
2026-06-22,short,5,10,0.5,True,False
2026-06-24,short,9,10,0.9,True,False
2026-06-26,long,7,10,0.7,True,False
2026-06-29,long,10,10,1.0,True,True
2026-06-30,short,10,10,1.0,True,True
2026-07-01,short,7,10,0.7,True,False
2026-07-02,long,7,10,0.7,True,False
2026-07-03,long,8,10,0.8,True,False
2026-07-06,short,5,10,0.5,True,False
2026-07-07,short,7,10,0.7,True,False
2026-07-08,long,7,10,0.7,True,False
2026-07-09,long,9,10,0.9,True,False
2026-07-13,long,5,10,0.5,True,False
2026-07-15,long,6,10,0.6,True,False
2026-07-17,long,8,10,0.8,True,False
2026-07-20,long,6,10,0.6,True,False
2026-07-21,long,6,10,0.6,True,False
2026-07-22,long,8,10,0.8,True,False
2026-07-23,long,9,10,0.9,True,False
2026-07-27,long,9,10,0.9,True,False
2026-07-28,short,5,10,0.5,True,False
2026-07-29,long,5,10,0.5,True,False
2026-07-30,short,6,10,0.6,True,False
2026-07-31,short,6,10,0.6,True,False
2026-08-03,short,5,10,0.5,True,False
2026-08-05,long,8,10,0.8,True,False
2026-08-06,short,6,10,0.6,True,False
2026-08-10,short,5,10,0.5,True,False
2026-08-11,short,7,10,0.7,True,False
2026-08-12,short,4,10,0.4,False,False
2026-08-13,short,5,10,0.5,True,False
2026-08-14,long,8,10,0.8,True,False
2026-08-17,long,8,10,0.8,True,False
2026-08-18,short,6,10,0.6,True,False
