ema_length,ema_smooth,rr,sl_buffer_atr,min_rejection_atr,require_htf_slope,invalidation_confirm_bars,score_R,EURUSD_trades,EURUSD_winrate,EURUSD_pf,EURUSD_R,GOLD_trades,GOLD_winrate,GOLD_pf,GOLD_R,SP500_trades,SP500_winrate,SP500_pf,SP500_R
40,20,2.5,0.1,0.0,False,1,0.16666666666666666,102,26.5,1.09,0.05,91,30.8,1.22,0.12,78,34.6,1.64,0.33
40,20,2.0,0.2,0.0,False,1,0.14,103,30.1,1.14,0.07,92,33.7,1.27,0.12,79,36.7,1.49,0.23
40,10,2.5,0.1,0.0,False,1,0.11666666666666665,105,29.5,1.22,0.11,88,34.1,1.29,0.15,98,28.6,1.17,0.09
40,20,2.5,0.2,0.0,False,1,0.11333333333333334,98,23.5,0.97,-0.02,88,31.8,1.44,0.2,77,29.9,1.32,0.16
40,15,2.5,0.2,0.0,False,1,0.10999999999999999,98,23.5,0.91,-0.04,87,31.0,1.47,0.21,91,29.7,1.32,0.16
40,10,2.5,0.2,0.0,False,1,0.10666666666666667,102,27.5,1.16,0.08,88,34.1,1.46,0.22,96,26.0,1.03,0.02
40,20,2.0,0.1,0.0,False,1,0.10666666666666667,104,29.8,1.08,0.04,96,33.3,1.11,0.06,81,37.0,1.45,0.22
40,10,2.0,0.2,0.0,False,1,0.10333333333333333,104,31.7,1.32,0.14,91,34.1,1.24,0.11,97,30.9,1.12,0.06
50,15,2.5,0.1,0.0,False,1,0.09999999999999999,98,26.5,1.09,0.05,93,28.0,1.05,0.03,78,30.8,1.42,0.22
50,10,2.0,0.2,0.0,False,1,0.09999999999999999,104,27.9,1.02,0.01,97,30.9,1.13,0.06,81,37.0,1.5,0.23
50,10,2.5,0.1,0.0,False,1,0.09333333333333334,102,26.5,0.99,-0.01,96,29.2,1.12,0.06,80,32.5,1.45,0.23
40,15,2.5,0.1,0.0,False,1,0.09000000000000001,101,25.7,1.0,-0.0,89,29.2,1.15,0.08,91,30.8,1.38,0.19
60,10,3.0,0.2,0.0,False,1,0.09000000000000001,92,20.7,0.9,-0.05,100,23.0,1.14,0.07,72,27.8,1.49,0.25
50,20,3.0,0.2,0.0,False,1,0.08666666666666667,78,20.5,0.75,-0.13,91,27.5,1.15,0.08,71,29.6,1.61,0.31
40,20,1.5,0.2,0.0,False,1,0.08666666666666667,104,31.7,0.93,-0.03,100,38.0,1.23,0.1,81,42.0,1.42,0.19
50,15,3.0,0.1,0.0,False,1,0.08666666666666667,96,24.0,1.12,0.07,92,27.2,1.16,0.08,76,25.0,1.2,0.11
40,20,3.0,0.1,0.0,False,1,0.08666666666666667,95,22.1,0.98,-0.01,89,28.1,1.22,0.12,75,26.7,1.28,0.15
50,20,2.5,0.1,0.0,False,1,0.08333333333333333,81,24.7,0.89,-0.06,97,27.8,0.96,-0.02,75,33.3,1.62,0.33
50,10,2.5,0.2,0.0,False,1,0.08333333333333333,99,23.2,0.82,-0.08,94,29.8,1.33,0.16,79,30.4,1.33,0.17
60,10,2.5,0.2,0.0,False,1,0.08333333333333333,95,23.2,0.99,-0.01,102,24.5,1.08,0.04,76,30.3,1.42,0.22
60,10,3.0,0.1,0.0,False,1,0.08333333333333333,95,23.2,1.1,0.05,104,21.2,0.9,-0.05,73,27.4,1.46,0.25
40,10,2.0,0.1,0.0,False,1,0.08,108,30.6,1.15,0.07,97,36.1,1.26,0.14,98,30.6,1.05,0.03
50,20,2.0,0.2,0.0,False,1,0.08,81,27.2,0.9,-0.05,97,29.9,0.94,-0.03,77,37.7,1.69,0.32
40,10,3.0,0.1,0.0,False,1,0.08,104,25.0,1.04,0.02,87,32.2,1.38,0.21,94,23.4,1.01,0.01
50,15,2.5,0.2,0.0,False,1,0.08,97,24.7,1.05,0.02,90,30.0,1.34,0.15,77,26.0,1.13,0.07
50,15,2.0,0.2,0.0,False,1,0.07666666666666667,98,29.6,1.11,0.06,93,30.1,1.09,0.04,80,32.5,1.27,0.13
40,10,3.0,0.2,0.0,False,1,0.07666666666666667,99,25.3,1.03,0.01,85,31.8,1.51,0.25,93,22.6,0.93,-0.03
60,20,3.0,0.2,0.0,False,1,0.07666666666666667,77,15.6,0.59,-0.2,91,26.4,1.17,0.09,71,31.0,1.64,0.34
60,10,2.0,0.2,0.0,False,1,0.07666666666666666,99,29.3,1.17,0.08,105,24.8,0.88,-0.06,78,34.6,1.44,0.21
60,10,2.5,0.1,0.0,False,1,0.07666666666666666,99,27.3,1.16,0.08,105,21.9,0.82,-0.1,77,31.2,1.47,0.25
40,15,3.0,0.1,0.0,False,1,0.07333333333333335,98,21.4,0.84,-0.08,87,28.7,1.31,0.16,87,26.4,1.28,0.14
50,10,2.0,0.1,0.0,False,1,0.07333333333333333,105,29.5,1.09,0.04,99,31.3,1.01,0.0,83,36.1,1.39,0.18
50,20,3.0,0.1,0.0,False,1,0.07333333333333332,79,21.5,0.85,-0.08,95,26.3,1.01,0.0,72,29.2,1.53,0.3
60,20,2.5,0.2,0.0,False,1,0.07333333333333332,83,19.3,0.77,-0.12,93,26.9,1.09,0.05,72,31.9,1.56,0.29
50,20,2.5,0.2,0.0,False,1,0.06999999999999999,79,21.5,0.76,-0.13,93,29.0,1.1,0.05,74,32.4,1.56,0.29
40,15,2.0,0.2,0.0,False,1,0.06999999999999999,102,28.4,1.09,0.04,90,31.1,1.18,0.08,91,31.9,1.19,0.09
40,15,2.0,0.1,0.0,False,1,0.06333333333333334,104,28.8,1.07,0.03,96,33.3,1.13,0.07,92,31.5,1.18,0.09
40,20,3.0,0.2,0.0,False,1,0.06333333333333334,92,20.7,0.86,-0.07,87,29.9,1.49,0.23,74,24.3,1.05,0.03
50,15,3.0,0.2,0.0,False,1,0.06333333333333334,93,22.6,1.02,0.01,88,28.4,1.42,0.19,75,22.7,0.99,-0.01
50,10,1.5,0.2,0.0,False,1,0.06,107,30.8,0.89,-0.05,102,33.3,1.03,0.01,83,43.4,1.53,0.22
60,20,3.0,0.1,0.0,False,1,0.05666666666666667,84,16.7,0.7,-0.17,96,22.9,0.89,-0.06,72,30.6,1.71,0.4
50,20,1.5,0.2,0.0,False,1,0.056666666666666664,84,28.6,0.78,-0.11,103,35.0,0.96,-0.02,81,44.4,1.7,0.3
50,10,3.0,0.2,0.0,False,1,0.05333333333333334,95,22.1,0.78,-0.11,91,28.6,1.46,0.22,75,25.3,1.09,0.05
40,10,1.5,0.2,0.0,False,1,0.05333333333333334,106,32.1,1.03,0.01,101,39.6,1.29,0.13,98,34.7,1.03,0.02
60,15,2.0,0.2,0.0,False,1,0.05000000000000001,86,30.2,1.14,0.06,104,25.0,0.89,-0.05,77,31.2,1.29,0.14
50,10,3.0,0.1,0.0,False,1,0.05000000000000001,99,22.2,0.88,-0.06,94,27.7,1.21,0.11,77,26.0,1.19,0.1
50,15,2.0,0.1,0.0,False,1,0.05000000000000001,99,29.3,1.06,0.03,96,29.2,0.95,-0.02,81,33.3,1.28,0.14
