ema_length,ema_smooth,rr,sl_buffer_atr,min_rejection_atr,require_htf_slope,invalidation_confirm_bars,score_R,EURUSD_trades,EURUSD_winrate,EURUSD_pf,EURUSD_R,GOLD_trades,GOLD_winrate,GOLD_pf,GOLD_R,SP500_trades,SP500_winrate,SP500_pf,SP500_R
40,20,2.5,0.1,0.0,True,1,0.18666666666666668,71,32.4,1.48,0.27,90,30.0,1.16,0.09,73,31.5,1.38,0.2
40,20,2.5,0.1,0.0,False,1,0.16666666666666666,102,26.5,1.09,0.05,91,30.8,1.22,0.12,78,34.6,1.64,0.33
40,20,2.5,0.1,0.1,False,1,0.16,86,25.6,1.02,0.01,78,33.3,1.28,0.15,71,35.2,1.61,0.32
40,20,2.5,0.1,0.1,False,3,0.15333333333333332,78,28.2,1.0,-0.0,69,30.4,1.14,0.09,62,37.1,1.61,0.37
40,20,2.5,0.1,0.1,True,1,0.15,59,28.8,1.22,0.12,78,33.3,1.28,0.15,66,31.8,1.33,0.18
40,20,2.5,0.1,0.0,True,2,0.15,69,33.3,1.4,0.24,80,30.0,1.07,0.04,64,32.8,1.28,0.17
40,20,2.5,0.1,0.1,True,3,0.13999999999999999,54,31.5,1.19,0.12,69,30.4,1.14,0.09,57,33.3,1.35,0.21
40,20,2.5,0.1,0.2,True,1,0.1366666666666667,50,30.0,1.34,0.17,69,34.8,1.27,0.15,58,31.0,1.16,0.09
40,20,2.5,0.1,0.1,False,2,0.13333333333333333,81,25.9,0.93,-0.04,73,31.5,1.13,0.08,64,37.5,1.62,0.36
40,20,2.5,0.1,0.0,False,2,0.13,95,27.4,1.02,0.01,81,30.9,1.12,0.07,69,36.2,1.52,0.31
40,20,2.5,0.1,0.1,True,2,0.13,57,29.8,1.16,0.1,73,31.5,1.13,0.08,59,33.9,1.35,0.21
40,20,2.5,0.1,0.0,True,3,0.12666666666666668,61,32.8,1.25,0.16,76,28.9,1.07,0.05,62,32.3,1.27,0.17
40,20,2.5,0.1,0.2,True,2,0.12,49,30.6,1.22,0.13,64,32.8,1.14,0.09,54,31.5,1.22,0.14
40,20,2.5,0.1,0.2,False,1,0.12,75,24.0,0.93,-0.04,69,34.8,1.27,0.15,63,34.9,1.44,0.25
40,20,2.5,0.1,0.0,False,3,0.11666666666666665,88,27.3,0.93,-0.04,77,29.9,1.13,0.08,67,35.8,1.51,0.31
40,20,2.5,0.1,0.2,True,3,0.11333333333333334,47,31.9,1.2,0.12,62,30.6,1.14,0.08,53,32.1,1.22,0.14
40,20,2.5,0.1,0.2,False,3,0.10666666666666667,71,26.8,0.91,-0.06,62,30.6,1.14,0.08,58,36.2,1.47,0.3
40,20,2.5,0.1,0.2,False,2,0.10333333333333333,73,24.7,0.86,-0.08,64,32.8,1.14,0.09,59,35.6,1.48,0.3
