window_end,date,range_high,range_low,adx_at_close,armed,direction,entry_price,sl,buy_ticket,sell_ticket,status
2026-08-11T01:00:00-04:00,2026-08-11,4433.9,4386.59,50.04,False,,,,,,Trend/Silber uneinig
2026-08-12T01:00:00-04:00,2026-08-12,4397.34,4362.5,24.18,False,,,,,,Trend/Silber uneinig
2026-08-13T01:00:00-04:00,2026-08-13,4449.69,4398.27,28.21,False,,,,,,Trend/Silber uneinig
2026-08-14T01:00:00-04:00,2026-08-14,4364.03,4312.21,43.84,False,,,,,,Trend/Silber uneinig
2026-08-17T01:00:00-04:00,2026-08-17,4416.4,4367.13,29.42,False,,,,,,Trend/Silber uneinig
2026-08-18T01:00:00-04:00,2026-08-18,4436.04,4404.19,22.82,False,,,,,,Trend/Silber uneinig
2026-08-19T01:00:00-04:00,2026-08-19,4357.56,4324.54,25.91,False,,,,,,Trend/Silber uneinig
2026-08-20T01:00:00-04:00,2026-08-20,4527.18,4484.35,34.52,False,,,,,,"OrderSendResult(retcode=10027, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='AutoTrading disabled by client', request_id=0, retcode_external=0, request=TradeRequest(action=5, magic=0, order=0, symbol='XAUUSD.gbe', volume=0.23, price=4484.35, stoplimit=0.0, sl=4527.18, tp=0.0, deviation=0, type=5, type_filling=1, type_time=0, expiration=0, comment='GoldASB auto', position=0, position_by=0))"
2026-08-21T01:00:00-04:00,2026-08-21,4543.77,4508.22,17.16,False,,,,,,Fenster bereits ueberlaufen
2026-08-25T01:00:00-04:00,2026-08-25,4696.68,4649.83,26.44,False,,,,,,Fenster bereits ueberlaufen
