max_hold_h,tp_mode,tp_r,stop_atr,be,max_concurrent,n_trades,n_skipped,win_rate,profit_factor,sharpe,cagr,max_drawdown,final_equity,total_return
24,h4_level,,0.5,,1.0,184,1627,0.1793478260869565,0.43962525512648576,-2.1270269056174227,-0.6652117863317423,-0.7974818670407282,21426.22733247048,-0.7857377266752952
24,h4_level,,0.5,,2.0,303,1508,0.19471947194719472,0.5071207370358641,-1.7380530245669514,-0.7814043433059236,-0.8909598056650361,11874.793228026003,-0.88125206771974
24,h4_level,,0.5,,3.0,403,1408,0.2109181141439206,0.5323583730491371,-1.50358370252918,-0.8462183671905038,-0.9345734200524678,7377.186109610682,-0.9262281389038932
24,h4_level,,0.5,,4.0,500,1311,0.216,0.5241991553418288,-1.4025396022218481,-0.9011857148589656,-0.9655829209689438,3952.987407294947,-0.9604701259270505
24,h4_level,,0.5,,5.0,601,1210,0.2129783693843594,0.5199662420208888,-1.3200609784565198,-0.93708556570989,-0.982134857153772,2049.3364681705275,-0.9795066353182947
24,h4_level,,0.5,,6.0,685,1126,0.21605839416058395,0.5102077566446342,-1.2553646575043638,-0.9573743694006729,-0.9898506395060325,1162.1847506181027,-0.988378152493819
24,h4_level,,0.5,,8.0,872,939,0.21330275229357798,0.49044095785570574,-1.0266615131462238,-0.9823201081643768,-0.9971728331482266,330.0482733555193,-0.9966995172664448
24,h4_level,,0.5,,12.0,1129,682,0.22232063773250665,0.47643116638246313,-0.7774987957247017,-0.9953562153139476,-0.999594409172627,50.57144479875751,-0.9994942855520125
24,h4_level,,0.5,,,1811,0,0.24903368304803974,0.43153748890885796,-0.2689595385716577,-0.9999459778135504,-0.9999993708593188,0.08390110466432292,-0.9999991609889534
24,h4_level,,0.5,0.5,1.0,253,1558,0.1225296442687747,0.3615828043887586,-2.3149618205624427,-0.7700788347913012,-0.88265945195255,12414.519238565947,-0.8758548076143405
24,h4_level,,0.5,0.5,2.0,409,1402,0.13202933985330073,0.3935096273566697,-2.051155388035575,-0.8673744716465284,-0.9472285492541991,5652.009607419112,-0.9434799039258088
24,h4_level,,0.5,0.5,3.0,547,1264,0.14076782449725778,0.3946444870539081,-1.8625417111320568,-0.918152855837915,-0.9738214423497354,2833.8527255595136,-0.9716614727444048
24,h4_level,,0.5,0.5,4.0,669,1142,0.14648729446935724,0.39510524373067074,-1.6364983160326723,-0.9457078793294287,-0.9855777001963242,1591.517044515876,-0.9840848295548412
24,h4_level,,0.5,0.5,5.0,781,1030,0.14980793854033292,0.3899498918329886,-1.580979554982651,-0.9662022472023633,-0.9927545830828458,801.399386847672,-0.9919860061315233
24,h4_level,,0.5,0.5,6.0,885,926,0.15141242937853108,0.38182923637391164,-1.4691550095171808,-0.9776088990938638,-0.9960156297481272,441.6868460248267,-0.9955831315397518
24,h4_level,,0.5,0.5,8.0,1059,752,0.1558073654390935,0.4183598460790731,-1.2360430012443777,-0.9887740596579175,-0.9985382964089012,164.62939427694974,-0.9983537060572305
24,h4_level,,0.5,0.5,12.0,1287,524,0.16783216783216784,0.4255492595673313,-0.8951529339442342,-0.9950469686164545,-0.9995545967866953,53.494706333383355,-0.9994650529366662
24,h4_level,,0.5,0.5,,1811,0,0.18111540585311983,0.3787839523215585,-0.7381807960213466,-0.9994841563887231,-0.9999833274309066,2.0840577828665894,-0.9999791594221713
24,h4_level,,0.5,1.0,1.0,226,1585,0.13716814159292035,0.4005251062838684,-2.1598126138088958,-0.721806931040327,-0.8452403137963388,16373.428739678846,-0.8362657126032116
24,h4_level,,0.5,1.0,2.0,369,1442,0.14634146341463414,0.4363120589082583,-1.8448718062891587,-0.8320333112300569,-0.9256283256891311,7965.47018860048,-0.9203452981139952
24,h4_level,,0.5,1.0,3.0,489,1322,0.1574642126789366,0.43882491828104914,-1.6655471782675595,-0.8907506275306326,-0.9601804192887327,4310.505904748408,-0.9568949409525159
24,h4_level,,0.5,1.0,4.0,605,1206,0.16198347107438016,0.42425372191072264,-1.538488171107912,-0.9330975459747827,-0.9804668139883538,2155.509100102795,-0.9784449089989721
24,h4_level,,0.5,1.0,5.0,704,1107,0.16619318181818182,0.4175193677391232,-1.439126988561753,-0.9551400269544181,-0.9890688869728445,1209.066003749841,-0.9879093399625016
24,h4_level,,0.5,1.0,6.0,794,1017,0.17002518891687657,0.41329265541552607,-1.4045344044463903,-0.9706740182277475,-0.9941041626211563,653.5822857609,-0.993464177142391
24,h4_level,,0.5,1.0,8.0,978,833,0.17177914110429449,0.4275920635539784,-1.2080620185734505,-0.9874013346219198,-0.9982716717435718,194.65891422872514,-0.9980534108577127
24,h4_level,,0.5,1.0,12.0,1212,599,0.1848184818481848,0.4271878195609179,-0.8393361787940707,-0.9953374953682599,-0.9995920323503797,48.998545493268104,-0.9995100145450673
24,h4_level,,0.5,1.0,,1811,0,0.2026504693539481,0.3815999958177982,-0.5616747188633422,-0.999773287881686,-0.9999949482760947,0.6314614420136346,-0.9999936853855799
24,h4_level,,1.0,,1.0,144,1667,0.22916666666666666,0.4584233544209145,-1.998477260893077,-0.4781267547630532,-0.6129899965939055,40294.17316577941,-0.5970582683422059
24,h4_level,,1.0,,2.0,239,1572,0.25523012552301255,0.5576550843860438,-1.5292487936962567,-0.5837203321030622,-0.7213059664144416,29668.17566878796,-0.7033182433121203
24,h4_level,,1.0,,3.0,322,1489,0.2732919254658385,0.5828423271674043,-1.3353465089702272,-0.6656579265438536,-0.7972926599089749,22119.080766303316,-0.7788091923369669
24,h4_level,,1.0,,4.0,406,1405,0.27586206896551724,0.587362599482035,-1.2581418735291499,-0.7473121957760953,-0.8650259909492891,14943.88338652817,-0.8505611661347183
24,h4_level,,1.0,,5.0,490,1321,0.2714285714285714,0.5697552921946714,-1.2837477790732579,-0.820088518046084,-0.9175886429211126,9131.133737978776,-0.9086886626202122
24,h4_level,,1.0,,6.0,572,1239,0.2692307692307692,0.567711157268238,-1.2157582795825541,-0.8669413977367685,-0.9468256691446233,5898.710533061019,-0.9410128946693899
24,h4_level,,1.0,,8.0,715,1096,0.26853146853146853,0.5617072714225911,-1.0535072005023156,-0.9197091700616434,-0.9744681054039442,2877.6709987967633,-0.9712232900120323
