sl_atr_mult,tp_variant,n_trades,win_rate,total_r,avg_r
0.5,rr_1_2,1110,0.1945945945945946,-762.6792790922472,-0.6870984496326551
0.5,rr_1_3,1110,0.15045045045045044,-742.6792790922448,-0.6690804316146349
0.5,adr_0.35,1099,0.048225659690627844,-758.3706143064904,-0.6900551540550414
1.0,rr_1_2,1110,0.2954954954954955,-282.7652166593319,-0.2547434384318305
1.0,rr_1_3,1110,0.21891891891891893,-294.7652166593358,-0.26555424924264487
1.0,adr_0.35,1098,0.10382513661202186,-355.6348411311666,-0.3238932979336672
1.5,rr_1_2,1109,0.34265103697024346,-75.59504276299961,-0.06816505208566241
1.5,rr_1_3,1109,0.25788999098286747,-71.59504276300555,-0.06455819906492836
1.5,adr_0.35,1097,0.16773017319963537,-109.888842824369,-0.1001721447806463
2.0,rr_1_2,1109,0.3408476104598738,-55.91011863922726,-0.05041489507594883
2.0,rr_1_3,1103,0.25203989120580234,-71.4777089921678,-0.0648029999928992
2.0,adr_0.35,1096,0.20072992700729927,-132.13288280176155,-0.12055919963664376
2.5,rr_1_2,1105,0.3384615384615385,-48.005062971764296,-0.043443495902049135
2.5,rr_1_3,1098,0.24681238615664844,-78.63466585378512,-0.07161627126938536
2.5,adr_0.35,1095,0.2319634703196347,-126.20801764346862,-0.1152584636013412
3.0,rr_1_2,1102,0.3339382940108893,-52.29472226705009,-0.04745437592291297
3.0,rr_1_3,1086,0.2550644567219153,-31.449635585801815,-0.028959148789872758
3.0,adr_0.35,1094,0.26416819012797077,-111.70730094513182,-0.10210905022406931
3.5,rr_1_2,1096,0.33667883211678834,-35.46318443487945,-0.03235692010481702
3.5,rr_1_3,1069,0.2591206735266604,-6.376329148308141,-0.005964760662589468
3.5,adr_0.35,1094,0.2979890310786106,-82.3818888490633,-0.07530337189128272
