range_day,range_high,range_low,breakout1_time,retest_time,bos_time,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,sl_dist,r_multiple,exit_reason,hold_bars
2016-08-12,1.11405,1.11353,2016-08-12 07:50:00+02:00,2016-08-12 08:25:00+02:00,2016-08-12 08:55:00+02:00,2016-08-12 09:00:00+02:00,2016-08-12 09:25:00+02:00,long,1.1142471932537477,1.1137316317523318,1.1152267364953365,1.115209543241589,0.0004983682476682741,1.9310018090916687,take_profit,5
2016-08-15,1.11613,1.11574,2016-08-15 07:35:00+02:00,2016-08-15 07:45:00+02:00,2016-08-15 07:50:00+02:00,2016-08-15 07:55:00+02:00,2016-08-15 08:00:00+02:00,long,1.1161771932537476,1.1158750636661947,1.1167298726676105,1.115857870412447,0.0002849363338052301,-1.1206813712947363,stop,1
2016-08-17,1.12758,1.12652,2016-08-17 07:00:00+02:00,2016-08-17 08:05:00+02:00,2016-08-17 08:35:00+02:00,2016-08-17 08:40:00+02:00,2016-08-17 09:55:00+02:00,short,1.1262928067462523,1.127032333872573,1.1248653322548536,1.1270495271263206,0.000722333872573144,-1.0476047279530245,stop,15
2016-08-18,1.13131,1.13016,2016-08-18 07:55:00+02:00,2016-08-18 08:45:00+02:00,2016-08-18 08:50:00+02:00,2016-08-18 08:55:00+02:00,2016-08-18 09:05:00+02:00,long,1.1313371932537477,1.1305188301284144,1.1329223397431716,1.132905146489424,0.0008011698715857516,1.9570796297829134,take_profit,2
2016-08-19,1.13373,1.13321,2016-08-19 07:30:00+02:00,2016-08-19 07:35:00+02:00,2016-08-19 08:15:00+02:00,2016-08-19 08:20:00+02:00,2016-08-19 08:25:00+02:00,long,1.1339771932537477,1.1334603163210435,1.1349593673579135,1.1334431230672959,0.000499683678956662,-1.0688165512368406,stop,1
2016-08-22,1.12844,1.12758,2016-08-22 07:50:00+02:00,2016-08-22 08:00:00+02:00,2016-08-22 08:20:00+02:00,2016-08-22 08:25:00+02:00,2016-08-22 08:40:00+02:00,short,1.1274828067462523,1.1281822425756738,1.1261355148486523,1.1281994358294214,0.0006822425756738071,-1.050402171780738,stop,3
2016-08-23,1.13388,1.13282,2016-08-23 07:05:00+02:00,2016-08-23 07:10:00+02:00,2016-08-23 07:15:00+02:00,2016-08-23 07:20:00+02:00,2016-08-23 07:25:00+02:00,long,1.1341271932537476,1.1336398423250775,1.1350503153498448,1.13362264907133,0.00047015767492238314,-1.0731382455916003,stop,1
2016-08-24,1.13003,1.12947,2016-08-24 07:20:00+02:00,2016-08-24 08:20:00+02:00,2016-08-24 08:25:00+02:00,2016-08-24 08:30:00+02:00,2016-08-24 09:40:00+02:00,short,1.1292228067462524,1.1297996579684886,1.1281206840630231,1.1298168512222362,0.0005596579684884488,-1.0614420046375683,stop,14
2016-08-25,1.12725,1.12698,2016-08-25 07:10:00+02:00,2016-08-25 08:30:00+02:00,2016-08-25 09:20:00+02:00,2016-08-25 09:25:00+02:00,2016-08-25 10:00:00+02:00,long,1.1274171932537476,1.126825784641277,1.128548430717446,1.1268085913875294,0.0005742153587230055,-1.0598843395126276,stop,7
2016-08-26,1.12918,1.12882,2016-08-26 07:50:00+02:00,2016-08-26 09:10:00+02:00,2016-08-26 09:20:00+02:00,2016-08-26 09:25:00+02:00,2016-08-26 10:00:00+02:00,long,1.1292071932537475,1.1284839002320812,1.1306021995358373,1.1284667069783336,0.0007060997679186701,-1.0486992193703555,stop,7
2016-08-29,1.12067,1.12005,2016-08-29 07:20:00+02:00,2016-08-29 07:25:00+02:00,2016-08-29 07:30:00+02:00,2016-08-29 07:35:00+02:00,2016-08-29 08:00:00+02:00,long,1.1207171932537476,1.1203046523986468,1.1214906952027062,1.1202874591448992,0.00039534760135311704,-1.08697790849769,stop,5
2016-08-30,1.11756,1.11711,2016-08-30 07:30:00+02:00,2016-08-30 07:35:00+02:00,2016-08-30 07:40:00+02:00,2016-08-30 07:45:00+02:00,2016-08-30 08:40:00+02:00,short,1.1168528067462524,1.1172425113102402,1.1161249773795194,1.1172597045639878,0.0003725113102402507,-1.092309968985823,stop,11
2016-08-31,1.11619,1.11534,2016-08-31 07:15:00+02:00,2016-08-31 18:10:00+02:00,2016-08-31 19:15:00+02:00,2016-08-31 19:20:00+02:00,2016-08-31 20:55:00+02:00,short,1.1152428067462523,1.1159996695877346,1.1137806608245306,1.1160168628414822,0.0007396695877346179,-1.0464890108575973,stop,19
2016-09-01,1.11567,1.1152,2016-09-01 07:10:00+02:00,2016-09-01 13:25:00+02:00,2016-09-01 13:30:00+02:00,2016-09-01 13:35:00+02:00,2016-09-01 15:20:00+02:00,short,1.1148828067462524,1.1155613797052273,1.1135772405895454,1.113594433843293,0.0006613797052273004,1.9480079185625647,take_profit,21
2016-09-02,1.12081,1.11991,2016-09-02 07:05:00+02:00,2016-09-02 07:15:00+02:00,2016-09-02 07:20:00+02:00,2016-09-02 07:25:00+02:00,2016-09-02 08:30:00+02:00,short,1.1198828067462523,1.1203325526660046,1.1190348946679902,1.1190520879217378,0.0004325526660048216,1.9205033046893876,take_profit,13
2016-09-05,1.11746,1.11625,2016-09-05 07:15:00+02:00,2016-09-05 07:25:00+02:00,2016-09-05 07:30:00+02:00,2016-09-05 07:35:00+02:00,2016-09-05 09:00:00+02:00,long,1.1179271932537476,1.117293565469006,1.1191428690619882,1.1172763722152583,0.0006164345309941267,-1.055782902751495,stop,17
2016-09-06,1.11559,1.11465,2016-09-06 07:00:00+02:00,2016-09-06 07:10:00+02:00,2016-09-06 07:30:00+02:00,2016-09-06 07:35:00+02:00,2016-09-06 08:30:00+02:00,short,1.1146228067462525,1.115042164594004,1.113835670811992,1.1150593578477517,0.00040216459400402467,-1.0855035674643114,stop,11
2016-09-07,1.12565,1.12487,2016-09-07 07:40:00+02:00,2016-09-07 07:45:00+02:00,2016-09-07 08:00:00+02:00,2016-09-07 08:05:00+02:00,2016-09-07 08:30:00+02:00,long,1.1258771932537477,1.1252948959862845,1.1269902080274314,1.125277702732537,0.0005651040137156556,-1.0608498730508464,stop,5
2016-09-08,1.12552,1.12475,2016-09-08 07:10:00+02:00,2016-09-08 07:20:00+02:00,2016-09-08 07:25:00+02:00,2016-09-08 07:30:00+02:00,2016-09-08 07:35:00+02:00,short,1.1246228067462525,1.1250486908950892,1.1238226182098217,1.1250658841488368,0.00040869089508918644,-1.08413817853129,stop,1
2016-09-12,1.12462,1.12406,2016-09-12 07:35:00+02:00,2016-09-12 07:45:00+02:00,2016-09-12 10:40:00+02:00,2016-09-12 10:45:00+02:00,2016-09-12 11:35:00+02:00,short,1.1239628067462524,1.1249062427874434,1.1221275144251128,1.1221447076788604,0.0009262427874435644,1.962875276373171,take_profit,10
2016-09-13,1.12355,1.12288,2016-09-13 07:05:00+02:00,2016-09-13 07:10:00+02:00,2016-09-13 10:35:00+02:00,2016-09-13 10:40:00+02:00,2016-09-13 11:15:00+02:00,long,1.1236471932537475,1.1227222672635766,1.1254454654728463,1.122705074009829,0.0009077327364232293,-1.037881753202799,stop,7
2016-09-14,1.12268,1.12225,2016-09-14 07:00:00+02:00,2016-09-14 07:15:00+02:00,2016-09-14 07:20:00+02:00,2016-09-14 07:25:00+02:00,2016-09-14 07:50:00+02:00,long,1.1227471932537476,1.1223868358819027,1.1234163282361946,1.122369642628155,0.0003431641180973678,-1.100204262863526,stop,5
2016-09-15,1.12464,1.12419,2016-09-15 07:20:00+02:00,2016-09-15 07:25:00+02:00,2016-09-15 08:35:00+02:00,2016-09-15 08:40:00+02:00,2016-09-15 09:00:00+02:00,short,1.1238228067462523,1.1244870882790778,1.1225458234418444,1.122563016695592,0.00064708827907783,1.9468596347559923,take_profit,4
