range_day,range_high,range_low,breakout1_time,retest_time,bos_time,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,sl_dist,r_multiple,exit_reason,hold_bars
2026-02-16,1.18663,1.18607,2026-02-16 07:40:00+01:00,2026-02-16 08:00:00+01:00,2026-02-16 09:00:00+01:00,2026-02-16 09:05:00+01:00,2026-02-16 09:10:00+01:00,long,1.186867395299535,1.1863255889963127,1.1878988220073745,1.1863081936967776,0.0005244110036873073,-1.0663422369580762,stop,1
2026-02-17,1.18418,1.18357,2026-02-17 07:00:00+01:00,2026-02-17 08:05:00+01:00,2026-02-17 10:15:00+01:00,2026-02-17 10:20:00+01:00,2026-02-17 12:30:00+01:00,long,1.184567395299535,1.1839230102286091,1.185803979542782,1.183905614929074,0.0006269897713909198,-1.055488304048152,stop,26
2026-02-18,1.18459,1.18415,2026-02-18 08:10:00+01:00,2026-02-18 13:30:00+01:00,2026-02-18 13:50:00+01:00,2026-02-18 13:55:00+01:00,2026-02-18 14:00:00+01:00,short,1.1838426047004649,1.1844401433687863,1.1826997132624268,1.1844575386683214,0.0005801433687865065,-1.0599689679169595,stop,1
2026-02-24,1.17806,1.17684,2026-02-24 09:20:00+01:00,2026-02-24 13:10:00+01:00,2026-02-24 17:10:00+01:00,2026-02-24 17:15:00+01:00,2026-02-24 21:15:00+01:00,long,1.178567395299535,1.1775609469507453,1.1805281060985096,1.1775435516512103,0.0009890530492547445,-1.035175665345981,stop,48
2026-02-27,1.18118,1.18061,2026-02-27 07:35:00+01:00,2026-02-27 08:40:00+01:00,2026-02-27 10:10:00+01:00,2026-02-27 10:15:00+01:00,2026-02-27 15:35:00+01:00,short,1.180362604700465,1.1810684781585343,1.1790030436829313,1.1810858734580694,0.0006884781585343563,-1.0505326111493927,stop,64
2026-03-04,1.15988,1.1587,2026-03-04 07:25:00+01:00,2026-03-04 10:00:00+01:00,2026-03-04 10:10:00+01:00,2026-03-04 10:15:00+01:00,2026-03-04 11:05:00+01:00,long,1.160727395299535,1.1594088031524425,1.1633123936951146,1.1632949983955796,0.001301196847557388,1.9732626165399656,take_profit,10
2026-03-05,1.16138,1.15938,2026-03-05 07:05:00+01:00,2026-03-05 07:30:00+01:00,2026-03-05 09:10:00+01:00,2026-03-05 09:15:00+01:00,2026-03-05 10:00:00+01:00,short,1.159102604700465,1.1603277994150016,1.1567044011699965,1.1603451947145367,0.0012077994150016588,-1.0288049477736174,stop,9
2026-03-10,1.16201,1.16114,2026-03-10 07:00:00+01:00,2026-03-10 19:15:00+01:00,2026-03-10 19:25:00+01:00,2026-03-10 19:30:00+01:00,2026-03-10 20:25:00+01:00,long,1.1633973952995351,1.1617495176907915,1.1666409646184175,1.1617321223912564,0.0016304823092086816,-1.0213376121123774,stop,11
2026-03-19,1.14709,1.14635,2026-03-19 07:15:00+01:00,2026-03-19 07:25:00+01:00,2026-03-19 10:20:00+01:00,2026-03-19 10:25:00+01:00,2026-03-19 10:25:00+01:00,long,1.147387395299535,1.145984831465382,1.1501403370692362,1.145967436165847,0.0013851685346180924,-1.025116509796829,stop,0
2026-03-20,1.1561,1.15523,2026-03-20 07:30:00+01:00,2026-03-20 07:55:00+01:00,2026-03-20 08:05:00+01:00,2026-03-20 08:10:00+01:00,2026-03-20 10:05:00+01:00,long,1.157107395299535,1.1563791569460637,1.1585116861078724,1.1563617616465287,0.0007108430539361561,-1.0489427291685292,stop,23
