range_day,range_width_pips,direction,trigger_kind,entry_time,exit_time,vix_at_entry,high_vix,entry_price,sl,tp,exit_price,sl_dist,r_multiple,exit_reason,hold_bars
2021-08-12,6.599999999998829,short,fractal,2021-08-12 08:40:00+02:00,2021-08-12 09:00:00+02:00,16.170000076293945,False,1.1737934791031475,1.1744583168113396,1.1734858415943301,1.1735023624911827,0.0006483168113396286,0.44903449497669645,take_profit,4
2021-08-13,2.80000000000058,short,choch,2021-08-13 07:20:00+02:00,2021-08-13 07:55:00+02:00,15.59000015258789,False,1.1737434791031474,1.1740543802843701,1.1736128098578147,1.1736293307546672,0.0002943802843703204,0.38775812967324774,take_profit,7
2021-08-16,4.20000000000087,short,fractal,2021-08-16 08:35:00+02:00,2021-08-16 08:35:00+02:00,15.449999809265137,False,1.1788834791031475,1.1794405967331631,1.1786297016334184,1.178646222530271,0.0005405967331631205,0.43887903555819835,take_profit,0
2021-08-17,3.1999999999987594,long,choch,2021-08-17 08:00:00+02:00,2021-08-17 08:05:00+02:00,16.1200008392334,False,1.1770765208968526,1.1766335426970316,1.1772732286514842,1.176617021800179,0.0004264573029683532,-1.0774797229996813,stop,1
2021-08-18,3.8000000000004697,short,choch,2021-08-18 07:30:00+02:00,2021-08-18 08:30:00+02:00,17.90999984741211,False,1.1714234791031475,1.1719037702410673,1.1712081148794664,1.1719202911379198,0.0004637702410673581,-1.07124604120558,stop,12
2021-08-19,4.299999999999304,short,choch,2021-08-19 08:05:00+02:00,2021-08-19 09:00:00+02:00,21.56999969482422,True,1.1670034791031474,1.1681440830577217,1.1665382501181192,1.1681606039545742,0.0011240830577217943,-1.0293944415210738,stop,11
2021-08-20,3.1999999999987594,short,fractal,2021-08-20 08:00:00+02:00,2021-08-20 08:30:00+02:00,21.670000076293945,True,1.1683934791031474,1.1689643533968128,1.1681724199727945,1.168188940869647,0.0005543533968128171,0.3689672232122551,take_profit,6
2021-08-23,4.299999999999304,long,fractal,2021-08-23 07:25:00+02:00,2021-08-23 08:05:00+02:00,18.559999465942383,False,1.1720265208968526,1.1714857172831368,1.1722721413584316,1.1714691963862842,0.0005242827168631609,-1.0630228551169247,stop,8
2021-08-24,3.8999999999989043,long,choch,2021-08-24 08:00:00+02:00,2021-08-24 08:20:00+02:00,17.149999618530273,False,1.1743265208968525,1.1738452174843,1.17454239125785,1.1745258703609975,0.0004647825157000986,0.42890912934781306,take_profit,4
2021-08-25,2.8999999999990145,long,fractal,2021-08-25 09:15:00+02:00,2021-08-25 09:20:00+02:00,17.219999313354492,False,1.1737265208968526,1.1730373901276732,1.1740463049361634,1.1740297840393108,0.0006726098723268338,0.4508752472054836,take_profit,1
