range_day,range_high,range_low,breakout1_time,retest_time,bos_time,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,sl_dist,r_multiple,exit_reason,hold_bars
2021-08-12,1.17457,1.17391,2021-08-12 08:15:00+02:00,2021-08-12 08:30:00+02:00,2021-08-12 08:35:00+02:00,2021-08-12 08:40:00+02:00,2021-08-12 09:55:00+02:00,short,1.1738034791031475,1.1742522112075597,1.1729555775848806,1.1742687321044123,0.0004322112075597524,-1.0764482575349332,stop,15
2021-08-13,1.17409,1.17381,2021-08-13 07:05:00+02:00,2021-08-13 07:15:00+02:00,2021-08-13 07:20:00+02:00,2021-08-13 07:25:00+02:00,2021-08-13 08:55:00+02:00,short,1.1737534791031474,1.1739679496998483,1.1733741006003033,1.173390621497156,0.00019794969984830133,1.8330798494243978,take_profit,18
2021-08-16,1.17941,1.17899,2021-08-16 07:35:00+02:00,2021-08-16 08:00:00+02:00,2021-08-16 08:05:00+02:00,2021-08-16 08:10:00+02:00,2021-08-16 08:25:00+02:00,short,1.1787934791031474,1.179105141675921,1.1782197166481576,1.1791216625727736,0.00029514167592118405,-1.1119523144332344,stop,3
2021-08-17,1.17702,1.1767,2021-08-17 07:25:00+02:00,2021-08-17 07:55:00+02:00,2021-08-17 09:25:00+02:00,2021-08-17 09:30:00+02:00,2021-08-17 11:20:00+02:00,long,1.1771565208968526,1.1764615303188777,1.1784969393622449,1.1764450094220251,0.0006784696811224266,-1.048700471995181,stop,22
2021-08-18,1.17187,1.17149,2021-08-18 07:15:00+02:00,2021-08-18 07:20:00+02:00,2021-08-18 07:25:00+02:00,2021-08-18 07:30:00+02:00,2021-08-18 07:40:00+02:00,short,1.1714434791031474,1.1717691801607115,1.1708416396785768,1.171785701057564,0.0003091801607115721,-1.1068690618087238,stop,2
2021-08-19,1.16781,1.16738,2021-08-19 07:50:00+02:00,2021-08-19 08:00:00+02:00,2021-08-19 08:05:00+02:00,2021-08-19 08:10:00+02:00,2021-08-19 08:10:00+02:00,short,1.1668634791031474,1.1675664522347096,1.1655070955305808,1.1675829731315621,0.0006864522347095421,-1.048134148356581,stop,0
2021-08-20,1.16872,1.1684,2021-08-20 07:05:00+02:00,2021-08-20 07:15:00+02:00,2021-08-20 08:15:00+02:00,2021-08-20 08:20:00+02:00,2021-08-20 10:30:00+02:00,short,1.1683634791031474,1.1688019784519303,1.1675360430961392,1.1675525639929918,0.0004219784519303397,1.9216979124078497,take_profit,26
2021-08-23,1.17204,1.17161,2021-08-23 07:05:00+02:00,2021-08-23 07:15:00+02:00,2021-08-23 07:25:00+02:00,2021-08-23 07:30:00+02:00,2021-08-23 07:55:00+02:00,long,1.1721265208968525,1.171762586889561,1.1728048262208781,1.1717460659927084,0.00034741311043909074,-1.0951080794369754,stop,5
2021-08-24,1.17411,1.17372,2021-08-24 07:05:00+02:00,2021-08-24 07:55:00+02:00,2021-08-24 08:00:00+02:00,2021-08-24 08:05:00+02:00,2021-08-24 08:55:00+02:00,long,1.1743365208968526,1.1739479917759952,1.1750640164480097,1.1739314708791426,0.0003720082240048042,-1.0888200624960689,stop,10
2021-08-25,1.17404,1.17375,2021-08-25 07:00:00+02:00,2021-08-25 08:40:00+02:00,2021-08-25 09:20:00+02:00,2021-08-25 09:25:00+02:00,2021-08-25 09:55:00+02:00,long,1.1743165208968525,1.1737788739169277,1.1753422521661443,1.1737623530200751,0.000521126083072225,-1.063404605484902,stop,6
2021-08-26,1.17673,1.17617,2021-08-26 07:30:00+02:00,2021-08-26 07:40:00+02:00,2021-08-26 07:45:00+02:00,2021-08-26 07:50:00+02:00,2021-08-26 07:55:00+02:00,long,1.1768065208968526,1.1765033999468906,1.1773632001062186,1.176486879050038,0.00028660005310933385,-1.1152888610687233,stop,1
2021-08-27,1.17636,1.17586,2021-08-27 08:00:00+02:00,2021-08-27 08:05:00+02:00,2021-08-27 08:25:00+02:00,2021-08-27 08:30:00+02:00,2021-08-27 09:25:00+02:00,long,1.1765665208968525,1.1761573597022688,1.1773352805954624,1.1761408388054162,0.0003926402977312802,-1.0841528337666313,stop,11
2021-08-30,1.18071,1.18025,2021-08-30 07:15:00+02:00,2021-08-30 07:20:00+02:00,2021-08-30 07:40:00+02:00,2021-08-30 07:45:00+02:00,2021-08-30 08:35:00+02:00,short,1.1801634791031475,1.180462579483388,1.179614841033224,1.1796313619300764,0.00028257948338801915,1.8830707972536458,take_profit,10
2021-08-31,1.18245,1.18165,2021-08-31 07:40:00+02:00,2021-08-31 08:50:00+02:00,2021-08-31 08:55:00+02:00,2021-08-31 09:00:00+02:00,2021-08-31 10:55:00+02:00,long,1.1825065208968526,1.182037298897046,1.183395402205908,1.1820207780001935,0.0004527011029540621,-1.0729881007346205,stop,23
2021-09-01,1.18045,1.17986,2021-09-01 07:00:00+02:00,2021-09-01 07:55:00+02:00,2021-09-01 08:10:00+02:00,2021-09-01 08:15:00+02:00,2021-09-01 08:55:00+02:00,short,1.1796934791031475,1.1801583662659874,1.1788132674680256,1.18017488716284,0.000448366265987263,-1.073693754886791,stop,8
2021-09-02,1.18383,1.18345,2021-09-02 07:20:00+02:00,2021-09-02 07:25:00+02:00,2021-09-02 07:30:00+02:00,2021-09-02 07:35:00+02:00,2021-09-02 07:55:00+02:00,long,1.1838565208968526,1.1835956393513702,1.1843287212972597,1.1843122004004072,0.00024436064862982243,1.8647826731092443,take_profit,4
2021-09-03,1.18793,1.18761,2021-09-03 07:05:00+02:00,2021-09-03 07:15:00+02:00,2021-09-03 07:20:00+02:00,2021-09-03 07:25:00+02:00,2021-09-03 07:25:00+02:00,short,1.1875534791031475,1.1877963780126224,1.1871172439747553,1.187812898909475,0.00022637801262239915,-1.1459584935936453,stop,0
2021-09-06,1.18702,1.18668,2021-09-06 07:25:00+02:00,2021-09-06 07:30:00+02:00,2021-09-06 09:20:00+02:00,2021-09-06 09:25:00+02:00,2021-09-06 11:20:00+02:00,short,1.1866234791031474,1.1870899606296903,1.1857400787406192,1.1857565996374717,0.0004499606296903916,1.9265673671763976,take_profit,23
2021-09-07,1.18822,1.18749,2021-09-07 07:00:00+02:00,2021-09-07 07:15:00+02:00,2021-09-07 07:20:00+02:00,2021-09-07 07:25:00+02:00,2021-09-07 08:30:00+02:00,short,1.1873534791031475,1.1877630255018856,1.1865839489962289,1.1866004698930814,0.00039302550188553565,1.9159296443958298,take_profit,13
2021-09-08,1.18436,1.18412,2021-09-08 07:05:00+02:00,2021-09-08 09:30:00+02:00,2021-09-08 09:35:00+02:00,2021-09-08 09:40:00+02:00,2021-09-08 10:00:00+02:00,short,1.1840834791031474,1.1847828663479003,1.1827342673041994,1.182750788201052,0.0006828663479002901,1.9516130882613338,take_profit,4
