universe,be_trigger_r,final_equity,sharpe,calmar,mdd,win_rate,n_trades
sp500,0.0,317362.96235609055,0.6776036747906524,0.4083271060241665,-44.03687911274271,54.8349739432542,1727
sp500,0.25,386279.9882836342,0.8154939135327454,0.5611802953825902,-38.04179913131968,46.733935209771644,1883
sp500,0.5,344661.5068626404,0.7295645370697389,0.4691526453170119,-41.31631035870076,52.72417707150965,1762
sp500,0.75,306716.99653720856,0.6577935525090918,0.41060637686983437,-42.39209433194333,54.094579008073815,1734
sp500,1.0,307860.65727996826,0.6572995387276265,0.40114967475562097,-43.54745110003652,54.59272097053726,1731
sp500,1.5,321273.41903162,0.684970328067103,0.41302902495421956,-44.03687911274271,54.80324074074075,1728
nasdaq100,0.0,307565.3788137436,0.6181550608441714,0.47218436808127845,-36.962060514852766,55.311355311355314,1638
nasdaq100,0.25,365920.6564464569,0.7405487028865037,0.6427125110464582,-31.757848740081982,47.79661016949153,1770
nasdaq100,0.5,382983.46230363846,0.7568001702414671,0.5817033981901906,-36.443805260877596,53.32541567695962,1684
nasdaq100,0.75,325180.4683408737,0.6517647053601068,0.5029147914962928,-36.573275450042786,54.74894131881428,1653
nasdaq100,1.0,308131.0650334358,0.620792972201193,0.4723832072690256,-37.011928615282685,55.02742230347349,1641
nasdaq100,1.5,307565.3788137436,0.6181550608441714,0.47218436808127845,-36.962060514852766,55.311355311355314,1638
