,BBfull,BBOU,DAX
2018-01-02,100000.0,100000.0,100000.0
2018-01-03,100302.33281707764,100243.29228973389,100829.90504846512
2018-01-04,100873.20181846619,100555.0517654419,102303.55857524672
2018-01-05,100509.52654457092,100778.49871826172,103482.52995397753
2018-01-08,100282.33990478516,101169.19609069824,103856.54259996906
2018-01-09,97318.281747818,100314.53380775452,103994.90815954686
2018-01-10,100649.29892921448,101967.76145744324,103184.97230298878
2018-01-11,101384.82049942017,101636.1794128418,102575.56294419029
2018-01-12,101335.87342357635,102051.35653686523,102902.87711898581
2018-01-15,102352.71615314484,102245.99531555176,102556.98977481778
2018-01-16,100302.55860328674,102310.32683372498,102912.97552112422
2018-01-17,101296.38824558258,101987.78322982788,102428.41154713971
2018-01-18,99228.79971981049,101618.71985816956,103185.67031425604
2018-01-19,96584.3191576004,101456.13286972046,104374.51248275551
2018-01-22,97495.45296478271,102437.52828407288,104601.68480193513
2018-01-23,97810.45547866821,102471.17104530334,105346.8194168222
2018-01-24,98977.8609867096,101782.23896980286,104221.3824674592
2018-01-25,100309.48160362244,102167.38015174866,103317.20750274103
2018-01-26,99658.55890655518,102114.4055967331,103642.03311562716
2018-01-29,99586.41275596619,101903.03796195984,103520.13910454107
2018-01-30,98925.47005653381,101472.40160560608,102535.2376193476
2018-01-31,98674.26954841614,101444.77338504791,102471.30130468169
2018-02-01,98859.5080242157,100852.77560138702,101029.49833550867
2018-02-02,97962.1773815155,100262.61107730865,99330.068512082
2018-02-05,96177.73685455322,98725.78734111786,98571.25439377228
2018-02-06,92456.23846530914,95673.22622489929,96280.66972360195
2018-02-07,96823.48375320435,98479.07260227203,97817.17461275359
2018-02-08,89828.03923988342,94485.42454433441,95252.26392746813
2018-02-09,86699.1778087616,93356.00743961334,94065.06056803094
2018-02-12,88667.78500366211,95235.98529529572,95426.91089878586
2018-02-13,87876.25209617615,94015.32477092743,94756.66834062918
2018-02-14,91346.3738937378,95775.86127376556,95865.01918810213
2018-02-15,94217.83183860779,96451.87085819244,95919.47924110698
