,p5,p25,p50,p75,p95
2018-01-02,99424.42995759612,100000.0,100000.0,100016.7983068385,100622.19724767611
2018-01-03,99196.59651170991,100000.0,100000.0,100065.77117890214,100979.20923492582
2018-01-04,99100.28306820503,100000.0,100000.0,100104.52188384686,101218.37434750711
2018-01-05,98928.5501409235,99985.76678865033,100000.0,100137.57060318069,101319.43906153165
2018-01-08,98869.80578083402,99991.50197879932,100000.0,100172.60117765832,101557.6588360265
2018-01-09,98764.5271419752,99976.42993979494,100000.0,100249.14671876452,101731.16942700733
2018-01-10,98621.60485444631,99984.8041554811,100000.0,100290.6481152287,102002.31409384513
2018-01-11,98442.27234381584,99958.8781729141,100000.0,100325.96285095767,101967.86085546478
2018-01-12,98390.79098979218,99929.37586249347,100000.0,100352.77482230737,102216.48866824002
2018-01-15,98281.56371804743,99959.19469812642,100000.0,100402.8734664666,102285.24444016592
2018-01-16,98132.03976968004,99954.65139086664,100000.0,100480.2101705882,102367.4592175131
2018-01-17,98132.18519203657,99928.377577934,100000.0,100539.46987274318,102388.31329753583
2018-01-18,97888.38983995709,99969.9964884717,100000.0,100599.59241937641,102533.66807914019
2018-01-19,98108.4833521538,99928.377577934,100000.0,100647.65105145659,102554.23935113754
2018-01-22,97918.47774682991,99906.53520197445,100000.0,100660.36103720528,102768.62410543075
2018-01-23,97799.44785749694,99911.37436816239,100000.0,100726.84434491681,102971.62005147524
2018-01-24,97546.31888022015,99898.04812040608,100000.0,100754.5412406459,103032.25818867488
2018-01-25,97429.85065706888,99898.18613625996,100000.0,100816.5931042941,103034.88166060943
2018-01-26,97338.22834989005,99895.8759194386,100000.0,100927.89898090392,103065.2498582703
2018-01-29,97130.50005793215,99882.041086883,100000.0,100968.21252721988,103310.48487969599
2018-01-30,97209.403768797,99726.96189975711,100000.0,100971.19519155413,103345.47545713275
2018-01-31,97097.70557752937,99684.77323110534,100011.35813462279,101049.66302366239,103423.05609069133
2018-02-01,97028.20604995578,99658.22798130677,100008.03362064311,101125.51584481979,103551.01173691692
2018-02-02,96882.41145401205,99635.99584065712,100057.76995219145,101209.72970047167,103505.75765294123
2018-02-05,96784.179361575,99634.49724483112,100065.74267409171,101221.52886849183,103593.1760533303
2018-02-06,96752.72758529939,99600.3055949979,100083.95124489538,101272.22341806008,103714.36823206868
2018-02-07,96785.22078869682,99583.91687925447,100096.03558655555,101350.44771386789,103832.29995209617
2018-02-08,96722.0774542198,99585.33360552491,100100.04361077871,101368.05270474548,103891.65257631465
2018-02-09,96472.64416821368,99578.85707538459,100142.18018167192,101383.04846319553,103951.28658561646
2018-02-12,96446.56769395359,99575.99962916826,100183.0416641247,101463.92806937963,104004.41352685835
2018-02-13,96375.52685123347,99549.98314077243,100204.7542185942,101508.58261840545,104006.34396410773
2018-02-14,96293.34597176359,99564.93912125692,100202.69320875287,101544.82166260498,104041.02631579245
2018-02-15,96143.10523304962,99559.95030445376,100229.62097198109,101556.11282853708,104160.3061748382
2018-02-16,96025.17855353314,99473.8867234154,100250.55167989043,101634.88390458882,104281.19919367298
2018-02-19,96025.17855353314,99536.64809145956,100296.71874041113,101666.48244003586,104348.45033312243
