,walk_forward_equity
2018-01-02,100000.0
2018-01-03,100243.29228973389
2018-01-04,100866.70252990723
2018-01-05,101141.7356338501
2018-01-08,101441.66998291016
2018-01-09,101331.18075942993
2018-01-10,101184.15919876099
2018-01-11,101070.7010269165
2018-01-12,101303.31361293793
2018-01-15,101133.61211299896
2018-01-16,101155.93734550476
2018-01-17,100852.26647090912
2018-01-18,101051.33062076569
2018-01-19,101317.79278278351
2018-01-22,101952.73406791687
2018-01-23,102078.99349021912
2018-01-24,101542.23299503326
2018-01-25,101362.22966003418
2018-01-26,101300.95084905624
2018-01-29,101091.97226142883
2018-01-30,100649.86672592163
2018-01-31,100578.45579767227
2018-02-01,99993.23300981522
2018-02-02,98944.67447662354
2018-02-05,98017.51790475845
2018-02-06,94943.53717136383
2018-02-07,97041.24101018906
2018-02-08,93319.71828889847
2018-02-09,92286.57713365555
2018-02-12,93638.2830824852
2018-02-13,92918.59444236755
2018-02-14,94244.36435031891
2018-02-15,94364.39022111893
2018-02-16,95469.08053302765
2018-02-19,95231.427775383
2018-02-20,95231.427775383
2018-02-21,95231.427775383
2018-02-22,95231.427775383
2018-02-23,95231.427775383
2018-02-26,95231.427775383
2018-02-27,95231.427775383
2018-02-28,95231.427775383
2018-03-01,95231.427775383
2018-03-02,95231.427775383
2018-03-05,95231.427775383
2018-03-06,95231.427775383
2018-03-07,95231.427775383
2018-03-08,95231.427775383
2018-03-09,95231.427775383
2018-03-12,95231.427775383
2018-03-13,95231.427775383
2018-03-14,95231.427775383
2018-03-15,95231.427775383
2018-03-16,95231.427775383
2018-03-19,95231.427775383
2018-03-20,95231.427775383
2018-03-21,95231.427775383
2018-03-22,95231.427775383
2018-03-23,95231.427775383
2018-03-26,95231.427775383
2018-03-27,95231.427775383
2018-03-28,95231.427775383
2018-03-29,95231.427775383
2018-04-03,95231.427775383
2018-04-04,95231.427775383
2018-04-05,95231.427775383
2018-04-06,95231.427775383
2018-04-09,95231.427775383
2018-04-10,95231.427775383
2018-04-11,95231.427775383
2018-04-12,95231.427775383
2018-04-13,95231.427775383
2018-04-16,95231.427775383
2018-04-17,95231.427775383
2018-04-18,95231.427775383
2018-04-19,95231.427775383
2018-04-20,95231.427775383
2018-04-23,95231.427775383
2018-04-24,95231.427775383
2018-04-25,95231.427775383
2018-04-26,95231.427775383
2018-04-27,95231.427775383
2018-04-30,95231.427775383
2018-05-02,95231.427775383
2018-05-03,95231.427775383
2018-05-04,95231.427775383
2018-05-07,95231.427775383
2018-05-08,95231.427775383
2018-05-09,95231.427775383
2018-05-10,95231.427775383
2018-05-11,95231.427775383
2018-05-14,95231.427775383
2018-05-15,95231.427775383
2018-05-16,95231.427775383
2018-05-17,95287.7294883728
2018-05-18,95025.80684280396
2018-05-21,95025.80684280396
2018-05-22,95214.29373836517
2018-05-23,95133.51482963562
2018-05-24,94494.61839294434
2018-05-25,94640.58795547485
2018-05-28,94524.30739974976
2018-05-29,93561.45301151276
2018-05-30,93452.68106555939
2018-05-31,92086.09691524506
2018-06-01,93661.12383747101
2018-06-04,94151.40073108673
2018-06-05,93797.24933719635
2018-06-06,93975.81202793121
2018-06-07,93951.02346515656
2018-06-08,93814.5146112442
2018-06-11,94266.81032657623
2018-06-12,94874.4548959732
2018-06-13,94874.4548959732
2018-06-14,94874.4548959732
2018-06-15,94874.4548959732
2018-06-18,94874.4548959732
2018-06-19,94874.4548959732
2018-06-20,95069.57182598114
2018-06-21,94587.87515926361
2018-06-22,94587.87515926361
2018-06-25,94587.87515926361
2018-06-26,94587.87515926361
2018-06-27,94587.87515926361
2018-06-28,94587.87515926361
2018-06-29,94587.87515926361
2018-07-02,94587.87515926361
2018-07-03,94587.87515926361
2018-07-04,94587.87515926361
2018-07-05,94587.87515926361
2018-07-06,94587.87515926361
2018-07-09,94587.87515926361
