R,reason,days,d0,ticker,market,year
-1.0190517913953867,SL,2,2018-01-10,AMT,sp500,2018
-0.3977639831021234,MaxHold,10,2018-01-03,D,sp500,2018
1.4272352678607392,TP,5,2018-01-11,PEP,sp500,2018
-0.3516101355593704,MaxHold,10,2018-01-09,REG,sp500,2018
1.0079796884491579,MaxHold,10,2018-01-12,AFL,sp500,2018
0.48687348482275933,MaxHold,10,2018-01-17,CF,sp500,2018
-1.3344053930201814,SL,7,2018-01-24,PG,sp500,2018
-1.08986971135553,SL,5,2018-01-29,DHI,sp500,2018
-1.6182993137644588,SL,3,2018-01-31,IVZ,sp500,2018
-1.0166121501792622,SL,3,2018-01-31,LLY,sp500,2018
0.04147545126954336,BE,3,2018-02-05,ACN,sp500,2018
-0.18344137437134675,BE,3,2018-02-05,APD,sp500,2018
-0.3639348695456183,BE,3,2018-02-05,AXP,sp500,2018
-0.1371113988260952,MaxHold,10,2018-01-31,LEN,sp500,2018
-0.014814205411015448,MaxHold,10,2018-02-06,COF,sp500,2018
1.0006209432215738,MaxHold,10,2018-02-08,ACN,sp500,2018
0.794600856552836,MaxHold,10,2018-02-08,AFL,sp500,2018
0.07277346021654373,MaxHold,10,2018-02-14,EXPE,sp500,2018
0.043266295074879904,MaxHold,10,2018-02-26,GIS,sp500,2018
0.47115951447953647,MaxHold,10,2018-02-28,DHI,sp500,2018
0.4463326679150949,MaxHold,10,2018-03-02,CCL,sp500,2018
-1.30035083839105,SL,4,2018-03-15,D,sp500,2018
0.31675184612410257,MaxHold,10,2018-03-08,OXY,sp500,2018
-1.1455078561411676,SL,8,2018-03-13,QCOM,sp500,2018
-0.31360235039854517,MaxHold,10,2018-03-15,CF,sp500,2018
1.0111095527595575,TP,1,2018-04-03,LEN,sp500,2018
-0.16907427564630526,MaxHold,10,2018-03-21,CAH,sp500,2018
-0.3665796250426363,MaxHold,10,2018-03-22,ACN,sp500,2018
0.1979008808636652,MaxHold,10,2018-03-27,C,sp500,2018
0.04839475636767317,BE,8,2018-04-10,AMT,sp500,2018
-0.47974631942835094,BE,6,2018-04-12,SPG,sp500,2018
0.5629024844950509,MaxHold,10,2018-04-10,CCL,sp500,2018
-0.23943572211416544,MaxHold,10,2018-04-11,FAST,sp500,2018
0.5297839971185422,MaxHold,10,2018-04-11,UAL,sp500,2018
-0.1764551140769325,BE,5,2018-04-25,KO,sp500,2018
-1.0786813557795736,SL,6,2018-04-25,COF,sp500,2018
-0.09391837275680318,MaxHold,10,2018-04-20,IBM,sp500,2018
-0.6148837202120512,MaxHold,10,2018-04-20,PEP,sp500,2018
-0.26157247521183025,MaxHold,10,2018-05-02,KO,sp500,2018
1.032319578706105,MaxHold,10,2018-05-03,AIG,sp500,2018
0.02791995378668834,MaxHold,10,2018-05-04,CAH,sp500,2018
-0.5686752141830262,MaxHold,10,2018-05-07,CTSH,sp500,2018
0.36941342030956287,MaxHold,10,2018-05-16,DHI,sp500,2018
0.14648520446965346,MaxHold,10,2018-05-29,C,sp500,2018
0.3634868768507794,MaxHold,10,2018-05-29,IVZ,sp500,2018
0.27845295434129325,MaxHold,10,2018-05-29,JPM,sp500,2018
0.4762266256076749,MaxHold,10,2018-05-29,STT,sp500,2018
1.7773540012917377,TP,10,2018-05-31,WBD,sp500,2018
-0.849608803867174,MaxHold,10,2018-06-15,DE,sp500,2018
-0.4656483041968525,MaxHold,10,2018-06-19,APD,sp500,2018
-0.047149652700438256,MaxHold,10,2018-06-20,DHR,sp500,2018
0.5521302354574523,MaxHold,10,2018-06-20,ORCL,sp500,2018
-0.4966286003692833,MaxHold,10,2018-06-22,AFL,sp500,2018
0.4651361133126985,MaxHold,10,2018-07-03,ADI,sp500,2018
-0.04170362639229683,MaxHold,10,2018-07-12,IVZ,sp500,2018
0.0916043171911602,MaxHold,10,2018-07-17,WBD,sp500,2018
-0.3891109381945087,MaxHold,10,2018-07-19,EBAY,sp500,2018
0.3093045930869824,MaxHold,10,2018-07-20,STT,sp500,2018
-0.26990214771209853,BE,5,2018-08-02,CTSH,sp500,2018
-0.2843876772641164,MaxHold,10,2018-07-27,ACN,sp500,2018
-0.18411233998609428,BE,7,2018-08-02,XOM,sp500,2018
1.7255313220270874,TP,10,2018-07-31,SYY,sp500,2018
-1.3071868019406487,SL,2,2018-08-13,NEM,sp500,2018
1.0796212653922916,MaxHold,10,2018-08-03,MSI,sp500,2018
0.40644457737563167,MaxHold,10,2018-08-09,AIG,sp500,2018
0.991759295623796,MaxHold,10,2018-08-10,ADI,sp500,2018
0.24071585034415272,MaxHold,10,2018-08-15,EOG,sp500,2018
-0.1335895323212781,MaxHold,10,2018-08-16,NEM,sp500,2018
-2.337023909624105,SL,1,2018-09-06,TROW,sp500,2018
0.9673902589832253,MaxHold,10,2018-08-28,KO,sp500,2018
0.9590072758744694,MaxHold,10,2018-09-04,EXPE,sp500,2018
1.5191201375262928,TP,5,2018-09-12,JPM,sp500,2018
0.42104878454971373,MaxHold,10,2018-09-06,FLEX,sp500,2018
0.2931503646213894,MaxHold,10,2018-09-07,AMT,sp500,2018
-1.1252443843397233,SL,10,2018-09-12,WFC,sp500,2018
-1.351553603074694,SL,4,2018-09-21,LEN,sp500,2018
-0.4507739332746366,BE,7,2018-09-24,REG,sp500,2018
-1.2145690894260097,SL,8,2018-09-24,SPG,sp500,2018
0.3827375081160356,MaxHold,10,2018-09-26,AMT,sp500,2018
-0.4291969273390247,BE,9,2018-09-27,COF,sp500,2018
-1.6733006253852605,SL,4,2018-10-04,ADI,sp500,2018
0.25658229299102037,MaxHold,10,2018-10-03,PEP,sp500,2018
-1.1014000065829546,SL,8,2018-10-10,APD,sp500,2018
-0.8572896007161339,MaxHold,10,2018-10-10,ACN,sp500,2018
-0.30061782771016754,BE,10,2018-10-10,AXP,sp500,2018
-1.148648288745613,SL,9,2018-10-17,IBM,sp500,2018
-0.4663288354300557,MaxHold,10,2018-11-08,QCOM,sp500,2018
-0.3527856986816376,MaxHold,10,2018-12-03,WBD,sp500,2018
0.6032579163450301,MaxHold,10,2019-02-07,EOG,sp500,2019
0.8122555169434609,MaxHold,10,2019-02-14,AIG,sp500,2019
-0.1395910833818221,MaxHold,10,2019-02-14,KO,sp500,2019
-1.0717136424819524,SL,1,2019-03-01,UAL,sp500,2019
-1.1917721082140105,SL,6,2019-03-04,UAL,sp500,2019
-0.15029844975574758,MaxHold,10,2019-03-01,SPG,sp500,2019
0.2026354620092022,MaxHold,10,2019-03-06,CAH,sp500,2019
1.4671296512093654,MaxHold,10,2019-03-07,AMGN,sp500,2019
0.22824514564911913,MaxHold,10,2019-03-12,EXPE,sp500,2019
0.27556064203940595,MaxHold,10,2019-03-13,WBD,sp500,2019
1.8353840163545807,TP,9,2019-03-22,COF,sp500,2019
1.2397814245882255,MaxHold,10,2019-03-22,CF,sp500,2019
1.1817894683045818,MaxHold,10,2019-03-22,C,sp500,2019
0.02136165285278972,MaxHold,10,2019-03-26,CCL,sp500,2019
1.1028329095919638,TP,9,2019-03-28,ADI,sp500,2019
6.161329537022111,TP,3,2019-04-11,QCOM,sp500,2019
-1.9554941808005548,SL,4,2019-04-11,MRK,sp500,2019
-1.1284415625317068,SL,3,2019-04-12,LLY,sp500,2019
-1.3020877542747826,SL,10,2019-04-15,OXY,sp500,2019
0.5651200888156176,MaxHold,10,2019-04-16,DHR,sp500,2019
-0.6241005525539742,MaxHold,10,2019-04-17,AMGN,sp500,2019
1.2816195552049292,MaxHold,10,2019-04-17,CAH,sp500,2019
-0.5552301376256132,MaxHold,10,2019-04-23,NEM,sp500,2019
-1.0163212824806882,SL,4,2019-05-02,DD,sp500,2019
-1.308163680782218,SL,3,2019-05-08,ADI,sp500,2019
-0.3433486271049462,MaxHold,10,2019-05-01,XOM,sp500,2019
0.0891372938260776,MaxHold,10,2019-05-03,CTSH,sp500,2019
-0.4404498476457202,BE,4,2019-05-13,ADI,sp500,2019
0.8559337903212585,MaxHold,10,2019-05-07,ACN,sp500,2019
-0.18628763341428828,MaxHold,10,2019-05-15,DE,sp500,2019
