,BBfull,BBOU,Nasdaq-100
2018-01-02,100000.0,100000.0,100000.0
2018-01-03,98745.54400634766,100000.0,100989.96462301647
2018-01-04,96852.33940696716,99697.13035583496,101124.81050187083
2018-01-05,95822.12243270874,98952.3048286438,102180.04586949569
2018-01-08,93769.44332885742,98741.89775466919,102538.49504140313
2018-01-09,93708.40351295471,98697.1357421875,102558.61468843718
2018-01-10,94663.83072471619,99665.6649017334,102323.95046382424
2018-01-11,93183.87918281555,99296.93700790405,103027.80065786673
2018-01-12,90427.01811981201,98408.96286010742,103796.45666244526
2018-01-16,92022.24626159668,98086.82285022736,103467.8007658514
2018-01-17,88489.36645889282,96826.69936656952,104591.06648677216
2018-01-18,88162.76059150696,96938.71885299683,104607.96159104639
2018-01-19,87161.58772087097,96031.75122451782,104960.42661150648
2018-01-22,86181.74843788147,95237.41030406952,106065.41742380931
2018-01-23,85702.02730178833,95899.64900016785,106943.58040029924
2018-01-24,87452.41416358948,97980.86832046509,106266.14896007747
2018-01-25,88049.67119598389,99648.23427391052,106219.30310282002
2018-01-26,86069.28427505493,97818.5161485672,107857.52830248671
2018-01-29,87072.05850219727,99269.02514362335,107325.37376200056
2018-01-30,88935.77961540222,99884.06438350677,106440.9191776606
2018-01-31,90839.46285438538,101533.48256587982,106736.71473385073
2018-02-01,91709.3558101654,102171.3050775528,105992.01033293479
2018-02-02,92847.0122013092,102735.27948284149,103823.33285140166
2018-02-05,90171.04363632202,102843.75433635712,99763.18358056826
2018-02-06,92284.47776031494,105007.38633155823,102374.93573411289
2018-02-07,92112.74702072144,103908.46536827087,101085.49357701077
2018-02-08,87102.60820007324,97352.34087085724,96847.96445863976
2018-02-09,88018.29362106323,100106.93743419647,98484.80235502606
2018-02-12,90612.8727645874,103489.51747131348,100192.1302559297
2018-02-13,91954.3320274353,103093.5324678421,100653.01490248684
2018-02-14,93725.4294128418,105275.03709506989,102513.92102599853
2018-02-15,96385.39973831177,109276.63679218292,104355.1724365485
2018-02-16,96885.37495040894,109185.61244297028,103982.59526799101
2018-02-20,97279.16423225403,109776.74719333649,104121.27310347393
2018-02-21,96866.71988677979,109450.5161447525,103807.51009506852
2018-02-22,96816.27441978455,109609.28324604034,103847.29195400093
2018-02-23,96713.3924407959,109673.12960529327,105916.75850364419
2018-02-26,95885.60461807251,109673.12960529327,107337.3570627685
2018-02-27,95904.56482315063,109673.12960529327,105974.35033712219
2018-02-28,96628.07791900635,110698.25033283234,105268.9628610663
2018-03-01,96861.62988090515,110142.59103393555,103673.59408435883
2018-03-02,95335.23309326172,110048.75490760803,104602.74233113744
2018-03-05,95937.65836906433,111632.19225978851,105681.47186728922
2018-03-06,94729.41801452637,111055.8451089859,106168.93274533672
2018-03-07,94146.95565986633,112279.5772562027,106420.34209549085
2018-03-08,93663.66152191162,111896.64647769928,106989.19643194595
2018-03-09,90477.05710411072,111402.97480487823,109058.66298158922
2018-03-12,87289.38565254211,110708.86141681671,109518.47528020527
2018-03-13,87846.3041009903,111156.23396778107,108219.0445394843
2018-03-14,88313.91714954376,112603.76080989838,108134.11908191419
2018-03-15,87824.54184818268,113091.75746059418,107980.39088057313
2018-03-16,87642.23863315582,113152.32692432404,107811.14737930162
2018-03-19,89731.64680194855,113967.52991771698,105429.60508199937
2018-03-20,90012.62071228027,114081.01512050629,105752.7342622816
2018-03-21,89264.71426677704,113383.45268344879,105254.06997287786
2018-03-22,90757.83307743073,112874.95011425018,102624.95778098666
2018-03-23,89421.78042888641,111220.36258411407,99950.0870776524
2018-03-26,94447.76281833649,113881.86168766022,103724.12191951182
2018-03-27,88415.7462682724,112441.76971912384,100284.11971182487
2018-03-28,87111.20852088928,112154.0225276947,99223.97254069372
2018-03-29,90514.06299209595,113752.29043769836,101071.8230154964
2018-04-02,85446.4145078659,111409.9080991745,98149.38241757319
2018-04-03,87933.76639938354,113658.13126564026,99193.5643525748
2018-04-04,90670.53298187256,115848.33343982697,100748.23640007846
2018-04-05,91134.9443101883,116166.66423606873,101282.37815877708
2018-04-06,87508.73921775818,113480.52580070496,98800.09514650823
2018-04-09,88664.58411979675,113389.7423171997,99401.04493182867
2018-04-10,90723.41604232788,114638.75856781006,101605.35736032629
2018-04-11,88923.335272789,113520.91589164734,101107.30048479127
2018-04-12,88697.12995052338,113779.56994819641,102225.65440220576
2018-04-13,88649.45770931244,113195.9675540924,101796.865204514
2018-04-16,88244.87406635284,113389.50042533875,102516.23069848696
2018-04-17,87973.86212348938,113347.19354057312,104684.60072361738
2018-04-18,86495.8413066864,113922.80596256256,104943.22405082958
2018-04-19,87539.80849647522,115682.34120845795,104047.55855619675
2018-04-20,89116.19358253479,115392.31843185425,102402.11937947199
2018-04-23,88709.1353559494,114291.43784236908,102111.08564805512
2018-04-24,91368.16644382477,114339.8729391098,99964.82998710783
2018-04-25,91575.33793640137,114345.38824272156,100039.93183766541
2018-04-26,92527.97667598724,114197.47073459625,102124.14129676412
2018-04-27,92695.96569633484,114678.62135505676,102227.04170548616
2018-04-30,92300.17653942108,114199.11490821838,101447.16729167804
2018-05-01,92046.67686080933,112725.23758888245,102620.35343388307
2018-05-02,88485.47389602661,111308.40516853333,102044.74255550563
2018-05-03,87096.81681251526,111225.06223297119,102029.38473324483
2018-05-04,89967.4697303772,113096.2421875,103958.94362179443
2018-05-07,90320.01279258728,112909.36396980286,104769.06874605181
2018-05-08,89963.00882530212,113375.14249038696,104670.930162103
2018-05-09,84423.22608137131,114175.15513420105,105864.6933864778
2018-05-10,84029.30895090103,115896.20884513855,106944.960204643
2018-05-11,83950.28465938568,116404.84599304199,106776.1816374438
2018-05-14,84626.16328001022,116606.5924320221,106957.5584182163
2018-05-15,86644.42036628723,116870.13053131104,105792.97355634971
2018-05-16,87747.60995388031,117392.09454154968,106429.25083223198
2018-05-17,87452.91875171661,117726.00543785095,105994.0050500839
2018-05-18,87810.12657880783,117669.35230541229,105450.64709824148
2018-05-21,86826.95169496536,116940.98202419281,106053.89905711371
2018-05-22,87238.1931681633,117384.45764350891,105870.99249326446
2018-05-23,87593.8731751442,117115.33704471588,106792.61180764568
2018-05-24,87183.42818784714,116938.66885566711,106732.26036548018
2018-05-25,87344.98355722427,116915.53090763092,106904.57093184187
2018-05-29,87626.4122376442,117265.20366001129,106376.57080226023
2018-05-30,87307.13130044937,116667.65145969391,107141.85228534594
2018-05-31,87046.80982255936,116251.53635120392,107009.15860131032
2018-06-01,86657.53368425369,115840.22768115997,108793.74054759035
2018-06-04,84333.37309122086,115207.03371524811,109709.67566799028
2018-06-05,83699.86612558365,115313.42323970795,110065.6726876129
2018-06-06,82130.47069597244,114996.89653873444,110731.12832600338
2018-06-07,84956.7996096611,116104.9456949234,109851.89300157239
2018-06-08,84119.04822587967,115709.51664066315,109848.66845881254
2018-06-11,82926.27309465408,115198.81195926666,110092.24142016663
2018-06-12,80418.71426820755,114486.68773365021,110717.30778575597
2018-06-13,79859.86956453323,114289.18518543243,110657.09882338684
2018-06-14,78108.64350938797,113582.29419994354,111798.64695186223
2018-06-15,77946.11851358414,111709.48495101929,111432.66884755742
2018-06-18,78987.81431055069,112977.75653266907,111365.86831987226
2018-06-19,79585.15628290176,113574.12300682068,111006.95421389246
2018-06-20,78828.07567071915,113039.30626678467,111815.6995338061
2018-06-21,78927.87343454361,113161.90912055969,110844.93218861567
2018-06-22,77414.0061841011,112182.61148548126,110538.07570086562
2018-06-25,77825.61983060837,111579.73556900024,108090.96270148893
2018-06-26,78253.68989992142,111695.99956798553,108552.16230338538
2018-06-27,75977.04014348984,109969.94382190704,107038.95187662389
2018-06-28,76200.08928346634,111372.80381202698,107990.06450885265
2018-06-29,76888.54175710678,111574.6010684967,108131.35197429005
2018-07-02,77090.23611211777,112329.98103809357,109007.05529955852
2018-07-03,75768.52629423141,111267.4012184143,107728.20913994397
2018-07-05,77727.47008275986,113829.79832744598,109056.66076550345
2018-07-06,78545.95733118057,114300.01566505432,110688.89431478617
2018-07-09,78501.5455737114,114469.16875267029,111743.51476960567
2018-07-10,77083.53223371506,112046.8645811081,111844.8778963143
2018-07-11,75973.74787569046,112528.23120117188,111251.75700085728
2018-07-12,72039.92134141922,111732.8579044342,113129.55822864317
2018-07-13,70868.95652627945,111514.89002799988,113276.52988806188
2018-07-16,70957.98313760757,111688.86034965515,113001.31891297814
2018-07-17,69844.24850511551,110709.30905723572,113707.62875824208
2018-07-18,70713.72024202347,111766.77466392517,113496.30122448638
2018-07-19,70147.59106302261,112606.59455299377,112916.23597773837
2018-07-20,69365.74647951126,111956.7860622406,112883.52561606765
2018-07-23,69984.14901781082,112525.74729919434,113214.4836862133
2018-07-24,70151.24683046341,112177.55067253113,113743.87111907531
2018-07-25,68997.50478601456,110452.17583656311,115315.5882495862
2018-07-26,68798.26536989212,110531.4945602417,113659.40309664089
2018-07-27,70217.02751779556,110695.20206260681,112062.64701665303
2018-07-30,71571.1208767891,111363.82668876648,110470.35280397239
2018-07-31,71146.12056398392,111450.5254650116,111067.46313372764
2018-08-01,71604.4243721962,111730.08434486389,111695.75404207683
2018-08-02,71614.23099184036,112236.72255134583,113220.16788019458
2018-08-03,71660.25884866714,112168.83204078674,113578.62455103867
2018-08-06,70869.24611711502,111977.82139778137,114246.68981938362
2018-08-07,70280.61349344254,112540.6776714325,114610.0507947973
2018-08-08,70618.0610871315,113188.70952033997,114716.0182686095
2018-08-09,71429.01436853409,114802.95201683044,114676.24390861375
2018-08-10,73237.51243448257,117063.55408477783,113775.35165513531
2018-08-13,72624.03463220596,116848.17847251892,113665.85218216057
2018-08-14,71729.59133005142,115939.64398765564,114372.31200615752
2018-08-15,71961.4803071022,114934.71303367615,112951.5634683002
