,p5,p25,p50,p75,p95
2018-01-02,99068.32029002147,99886.02600144137,100000.0,100127.92542641038,101150.11808012078
2018-01-03,98682.6993494076,99895.51159714043,100000.0,100283.15696117711,101506.24616846099
2018-01-04,98507.7631343767,99884.16712132348,100000.0,100398.39172901798,101945.00935339082
2018-01-05,98296.8359257129,99829.43757504578,100000.0,100529.11593492451,102083.49651127629
2018-01-08,98127.36519066892,99840.48102344607,100000.0,100575.30114039403,102395.9605156085
2018-01-09,97903.04267785423,99870.71102927251,100000.0,100678.18755090909,102776.65521616065
2018-01-10,97730.78953076073,99871.55558382551,100000.0,100736.17043162281,103124.98849606478
2018-01-11,97623.63653868962,99788.59142637462,100000.0,100883.14819026814,103517.25206050566
2018-01-12,97603.66061781865,99772.15878022055,100000.0,100980.49648145984,103641.26791055819
2018-01-16,97579.17199115096,99773.74221369356,100000.0,101062.91277914426,103717.99483492949
2018-01-17,97077.16413599404,99772.4125350047,100021.94580754949,101225.81872809194,104123.0595340497
2018-01-18,96765.75769190157,99750.32333926947,100008.98535085692,101325.781900067,104634.49831924798
2018-01-19,96630.92036484362,99742.03991473946,100068.60345680163,101410.08270615061,104899.07333505033
2018-01-22,96421.12660177617,99767.03981376631,100121.97543843473,101484.65843077948,105034.52372157396
2018-01-23,96210.33968132363,99731.6502019356,100079.08268641501,101556.3964212173,105071.44949186084
2018-01-24,96076.62160682354,99713.17567808734,100135.53524536236,101707.30344067553,105109.06284271182
2018-01-25,95759.21520238032,99726.96996936205,100261.11189770218,101777.87407525396,105172.51854129345
2018-01-26,95671.9227548821,99800.02540456016,100344.17295954158,101838.72035130544,105375.63067420913
2018-01-29,95555.02509880159,99832.08397276798,100352.29919788003,102052.07330857479,105475.8204037823
2018-01-30,95279.15085038252,99737.13169915223,100359.91472660033,102131.41073362037,105528.74926569346
2018-01-31,95496.94667893517,99651.01540260296,100555.32046127421,102239.35032559733,105724.75256979141
2018-02-01,95301.25836794857,99604.9053942796,100609.17915297329,102285.31933886858,106245.64919151373
2018-02-02,95278.84509995434,99622.80122693743,100645.84660835742,102289.60947061288,106520.09849191383
2018-02-05,95113.75442222036,99517.63066679714,100660.41876403894,102369.62595215859,106768.11919773695
2018-02-06,94864.17997849513,99461.12773244284,100671.31762204028,102449.31749801306,106899.7816221652
2018-02-07,94995.46850194881,99430.83475825218,100667.68110127823,102514.60077583443,107112.56403994934
2018-02-08,94786.55928869161,99425.72406100662,100734.8215454166,102583.66161568201,107014.9796783502
2018-02-09,94769.52449284495,99478.8944272804,100789.99236975395,102689.91449368752,107147.49651685245
2018-02-12,94543.29273156945,99465.16310589762,100812.28724804324,102717.25492341394,107527.37318712148
2018-02-13,94685.02596436861,99455.24892336599,100890.22472027552,102777.22479018179,107543.26155077052
2018-02-14,94597.6351353385,99471.18234181218,100922.102151872,102842.45330096522,107708.63227255862
2018-02-15,94408.44863007277,99474.47364638292,100930.97193928169,102960.11634626093,108127.32888723628
2018-02-16,94397.33964898581,99479.15266940436,100964.81713428578,102949.00067301333,108364.85946207524
2018-02-20,94306.27785319713,99384.63410679175,101019.17718287269,103034.22087597517,108554.98814298456
2018-02-21,94337.45334995874,99390.17123120258,101122.36503719703,103181.64528773486,108675.48300054157
2018-02-22,94158.54894561807,99461.36054417174,101122.01143401433,103179.56969071926,109119.26835710971
2018-02-23,94181.34392207151,99433.83970968195,101137.27697117333,103326.4717666414,109145.26954889373
2018-02-26,94072.36395863324,99308.673958299,101151.9923535141,103361.85645387058,109033.75444223908
2018-02-27,94077.27842645576,99390.17123120258,101200.61946771646,103503.5766758035,109120.87366938977
2018-02-28,94069.3061439452,99399.77472024187,101221.3351789481,103578.93911162819,109413.35089395789
2018-03-01,94064.34342027671,99359.85102300713,101314.01036073494,103692.15752486442,109441.30788893865
2018-03-02,93902.48966888803,99399.77472024187,101363.56612643134,103778.24324492237,109695.60616411686
2018-03-05,93741.0142510714,99329.66597534003,101378.85208627618,103867.36643470908,109667.61930436955
2018-03-06,93677.6862137901,99329.66597534003,101388.20185385895,103920.45294590238,109766.62983214168
2018-03-07,93640.29780854817,99301.13547581862,101502.46326697627,103924.434379169,110021.01381151927
2018-03-08,93724.73527581444,99335.0296581155,101492.8064047162,104005.02300163308,110142.88808072876
2018-03-09,93638.5598665108,99359.83046563427,101492.8064047162,104070.09236773904,110514.50730793746
2018-03-12,93593.6736978689,99348.30619576613,101549.41132476844,104137.8218277343,110739.02692088624
2018-03-13,93570.81092037234,99301.80203342768,101570.77263444016,104213.86267073505,110893.94661936836
2018-03-14,93562.86027246734,99276.21354915414,101603.13751404427,104328.38777906749,110993.3944285956
2018-03-15,93486.1212692253,99279.35591108912,101617.02335468793,104316.11206311692,111089.22503983843
2018-03-16,93352.86213551172,99261.02289101944,101603.20275033629,104315.10867911423,111285.1089292794
2018-03-19,93051.65730343263,99197.06252990857,101609.16530608907,104392.89834705087,111382.98127311311
2018-03-20,93078.13504306848,99200.202691103,101599.43008028419,104383.3697186927,111578.86890623183
2018-03-21,92834.41551229662,99194.37523522237,101717.28232542495,104483.63847037678,111879.24685182542
2018-03-22,92912.59377354862,99233.89062215744,101709.72104939935,104586.16481031333,111775.03789163727
2018-03-23,92948.70325712903,99165.53126475005,101777.96909551516,104613.29351505286,111766.0736117939
2018-03-26,92993.2058660193,99199.01007424128,101813.13596402778,104668.8465676243,111767.72607063607
