ticker,direction,entry_date,exit_date,entry_price,exit_price,shares,days_held,pnl_dollars,pnl_pct,reason
AMGN,short,2018-01-03,2018-01-09,139.3228759765625,141.6715087890625,143.0,4,-335.8544921875,-0.016857481558843913,stop_loss
LIN,short,2018-01-03,2018-01-09,137.98727416992188,142.70082092285156,144.0,4,-678.750732421875,-0.034159285928971085,stop_loss
QCOM,short,2018-01-03,2018-01-16,53.0153694152832,54.87260055541992,377.0,8,-700.176139831543,-0.0350319381081464,stop_loss
MCHP,short,2018-01-03,2018-01-17,39.121482849121094,40.93326187133789,511.0,9,-925.8190803527832,-0.046311614240294584,stop_loss
AMGN,short,2018-01-09,2018-01-17,141.6715087890625,145.2484130859375,139.0,5,-497.189697265625,-0.02524787324881761,stop_loss
CCEP,long,2018-01-11,2018-01-17,30.35498046875,31.070056915283203,654.0,3,467.65999603271484,0.023557137428217544,mean_revert
PEP,long,2018-01-11,2018-01-17,89.74303436279297,91.50904846191406,221.0,3,390.2891159057617,0.019678564600143215,mean_revert
INTU,short,2018-01-04,2018-01-19,151.8269500732422,157.5710906982422,131.0,10,-752.482421875,-0.03783347174022131,stop_loss
TER,short,2018-01-05,2018-01-22,43.7059326171875,45.7757568359375,348.0,10,-720.298828125,-0.04735796938322361,max_holding
LIN,short,2018-01-09,2018-01-23,142.70082092285156,139.5029754638672,138.0,9,441.30267333984375,0.022409439821745862,mean_revert
FAST,long,2018-01-17,2018-01-24,10.420395851135254,11.350646018981934,1858.0,5,1728.4048118591309,0.08927205656446661,mean_revert
MDLZ,short,2018-01-17,2018-01-24,35.58700942993164,36.17930221557617,544.0,5,-322.207275390625,-0.01664351107700451,stop_loss
ADI,short,2018-01-17,2018-01-25,81.925048828125,78.84758758544922,236.0,6,726.2808532714844,0.03756435042391191,mean_revert
MCHP,short,2018-01-17,2018-01-25,40.93326187133789,39.42416000366211,473.0,6,713.8051834106445,0.036867373834492234,mean_revert
MSTR,short,2018-01-11,2018-01-26,13.836000442504883,13.779000282287598,1435.0,10,81.7952299118042,0.004119699219015477,max_holding
AMGN,short,2018-01-17,2018-01-26,145.2484130859375,151.42886352539062,133.0,7,-821.9999084472656,-0.04255089820359281,stop_loss
QCOM,short,2018-01-16,2018-01-30,54.87260055541992,53.859561920166016,357.0,10,361.65479278564453,0.018461647980958423,max_holding
TRI,short,2018-01-30,2018-01-31,39.42816925048828,36.7075309753418,506.0,1,1376.642967224121,0.06900239922026792,mean_revert
WBD,short,2018-01-18,2018-02-01,25.59000015258789,25.280000686645508,456.0,10,141.35975646972656,0.012114086131063696,max_holding
INTU,short,2018-01-19,2018-02-01,157.5710906982422,155.6077117919922,121.0,9,237.56884765625,0.012460273629824553,mean_revert
FAST,short,2018-01-24,2018-02-01,11.350646018981934,10.95128345489502,1726.0,6,689.2997856140137,0.03518412638532215,mean_revert
CCEP,short,2018-01-25,2018-02-01,32.03657150268555,30.92074203491211,622.0,5,694.0459289550781,0.03482986522699223,mean_revert
PEP,short,2018-01-22,2018-02-02,93.29805755615234,91.11744689941406,204.0,9,444.8445739746094,0.023372519362751573,mean_revert
MDLZ,short,2018-02-01,2018-02-05,37.21786880493164,35.65190887451172,549.0,2,859.7120018005371,0.042075486337692196,mean_revert
LIN,long,2018-02-02,2018-02-05,135.84085083007812,131.69686889648438,151.0,1,-625.7412719726562,-0.030506154137516502,stop_loss
EXC,long,2018-02-05,2018-02-08,19.57071876525879,19.072437286376953,1050.0,3,-523.1955528259277,-0.025460560997195802,stop_loss
PEP,long,2018-02-05,2018-02-08,87.8849105834961,84.57559204101562,234.0,3,-774.3805389404297,-0.037655139210005927,stop_loss
TER,long,2018-02-05,2018-02-08,41.1761474609375,38.013919830322266,377.0,3,-1192.1598167419434,-0.07679755940293198,stop_loss
