,static_equity
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100167.95600128174
2018-01-16,100254.95063018799
2018-01-17,100862.57543182373
2018-01-18,100904.68930625916
2018-01-19,101681.75072193146
2018-01-22,102191.07647800446
2018-01-23,101989.69637680054
2018-01-24,103146.64649772644
2018-01-25,103684.45826625824
2018-01-26,104120.99608135223
2018-01-29,103649.74285793304
2018-01-30,103544.76772022247
2018-01-31,103206.49112415314
2018-02-01,103206.49112415314
2018-02-02,103206.49112415314
2018-02-05,102580.74985218048
2018-02-06,104217.80099105835
2018-02-07,103240.61780357361
2018-02-08,98023.28771686554
2018-02-09,99953.7887392044
2018-02-12,102278.47539234161
2018-02-13,101898.39862537384
2018-02-14,103225.82631397247
2018-02-15,106058.59610462189
2018-02-16,106294.19062519073
2018-02-20,106263.51162052155
2018-02-21,105933.1057062149
2018-02-22,105921.2030916214
2018-02-23,106168.94547748566
2018-02-26,106535.57671451569
2018-02-27,106535.57671451569
2018-02-28,106535.57671451569
2018-03-01,106057.58342170715
2018-03-02,106239.0115814209
2018-03-05,107251.98380947113
2018-03-06,107142.66196918488
2018-03-07,107148.47710227966
2018-03-08,107260.12477397919
2018-03-09,107499.70315551758
2018-03-12,107476.44373226166
2018-03-13,107356.65398693085
2018-03-14,107255.23603725433
2018-03-15,107208.23886013031
2018-03-16,107357.41012477875
2018-03-19,106897.6320180893
2018-03-20,106875.15193080902
2018-03-21,106490.79917049408
2018-03-22,105468.40217494965
2018-03-23,104137.60036373138
2018-03-26,106080.92209529877
2018-03-27,104977.13992595673
2018-03-28,104846.00795078278
2018-03-29,106121.21459293365
2018-04-02,104302.8728017807
2018-04-03,106109.21216106415
2018-04-04,107913.96823883057
2018-04-05,108210.27407360077
2018-04-06,105865.8136138916
2018-04-09,106020.14284420013
2018-04-10,106646.46216106415
2018-04-11,105560.71676540375
2018-04-12,105695.59453010559
2018-04-13,105611.87502288818
2018-04-16,106146.81091880798
2018-04-17,106120.59415245056
2018-04-18,106148.68456077576
2018-04-19,106129.95880699158
2018-04-20,105061.56530189514
2018-04-23,104710.82718849182
2018-04-24,104088.72494697571
2018-04-25,104092.72735786438
2018-04-26,104739.14373970032
2018-04-27,104409.20772743225
2018-04-30,103684.77823066711
2018-05-01,103166.40236282349
2018-05-02,102270.27787017822
2018-05-03,102336.70841217041
2018-05-04,104143.01313400269
2018-05-07,104005.74957084656
2018-05-08,104029.25777244568
2018-05-09,104309.36077690125
2018-05-10,105547.67417907715
2018-05-11,106076.68713188171
2018-05-14,106583.32531547546
2018-05-15,105549.35626983643
2018-05-16,106916.63659095764
2018-05-17,106597.42301177979
2018-05-18,106113.78918838501
2018-05-21,106134.35982322693
2018-05-22,106446.3381729126
2018-05-23,105990.99829101562
2018-05-24,105873.78285217285
2018-05-25,106046.80964279175
2018-05-29,106046.80964279175
2018-05-30,106046.80964279175
2018-05-31,105886.53991889954
2018-06-01,105814.1602344513
2018-06-04,105886.53991889954
2018-06-05,106222.58972167969
2018-06-06,106543.13015556335
2018-06-07,106755.10007667542
2018-06-08,106884.35007667542
2018-06-11,107334.13952445984
2018-06-12,107401.35007667542
2018-06-13,107602.97976112366
2018-06-14,107602.97976112366
2018-06-15,107602.97976112366
2018-06-18,107602.97976112366
2018-06-19,107602.97976112366
2018-06-20,107602.97976112366
2018-06-21,107602.97976112366
2018-06-22,107480.34034252167
2018-06-25,107167.42345237732
2018-06-26,106963.95643138885
2018-06-27,105386.48767566681
2018-06-28,106656.57038021088
2018-06-29,106967.29331684113
2018-07-02,107604.64224720001
2018-07-03,106622.24182319641
2018-07-05,109241.55910587311
2018-07-06,110359.38732147217
2018-07-09,111155.3195514679
2018-07-10,111693.906291008
2018-07-11,111661.48928833008
2018-07-12,113059.81017112732
2018-07-13,113059.81017112732
2018-07-16,113059.81017112732
2018-07-17,113059.81017112732
2018-07-18,113213.8107585907
2018-07-19,113298.5112285614
2018-07-20,113213.8107585907
2018-07-23,113306.21140480042
2018-07-24,112821.11058235168
2018-07-25,112667.11146354675
2018-07-26,112959.71081733704
2018-07-27,112790.31134605408
2018-07-30,112882.71052360535
2018-07-31,113534.15693473816
2018-08-01,113845.84436225891
2018-08-02,114457.67605400085
2018-08-03,114417.17482089996
2018-08-06,114740.4882144928
2018-08-07,114716.52814674377
2018-08-08,114911.59187698364
2018-08-09,116172.41202640533
2018-08-10,115843.68109798431
2018-08-13,115526.65795707703
2018-08-14,115081.57489967346
2018-08-15,114854.04408454895
2018-08-16,115107.2065410614
2018-08-17,115655.80291366577
2018-08-20,115449.79294395447
2018-08-21,116600.62734794617
2018-08-22,117291.03337669373
2018-08-23,117370.63713645935
2018-08-24,118243.70539855957
2018-08-27,118183.93730163574
2018-08-28,118026.75678443909
2018-08-29,117982.40522193909
2018-08-30,117883.85346412659
2018-08-31,117901.09760475159
2018-09-04,117901.09760475159
2018-09-05,117901.09760475159
2018-09-06,117901.09760475159
2018-09-07,117901.09760475159
2018-09-10,117901.09760475159
2018-09-11,117901.09760475159
2018-09-12,117901.09760475159
2018-09-13,118143.07142448425
2018-09-14,118185.57962226868
2018-09-17,118080.93918418884
2018-09-18,118062.29655647278
2018-09-19,118155.17313575745
2018-09-20,118871.56997489929
2018-09-21,119024.18162727356
2018-09-24,118761.68976020813
2018-09-25,117694.46808815002
2018-09-26,117347.3887500763
2018-09-27,117508.32917404175
2018-09-28,118044.49938488007
2018-10-01,116908.06587028503
2018-10-02,116666.12802505493
2018-10-03,115542.91116428375
2018-10-04,114620.46074199677
2018-10-05,113781.474817276
2018-10-08,113787.31757068634
2018-10-09,113176.82684898376
2018-10-10,109251.1116027832
2018-10-11,107940.6770811081
2018-10-12,109551.38869571686
2018-10-15,109683.15825653076
2018-10-16,113445.14572429657
2018-10-17,113641.16411495209
2018-10-18,111832.54683971405
