Symbol,Name,ttp_tradable,base_symbol_tradable
ADBE,Adobe Inc.,True,
AMD,Advanced Micro Devices,True,
ABNB,Airbnb,True,
ALNY,Alnylam Pharmaceuticals,False,
GOOGL,Alphabet Inc. (Class A),True,
GOOG,Alphabet Inc. (Class C),False,
AMZN,Amazon,True,
AEP,American Electric Power,False,
AMGN,Amgen,True,
ADI,Analog Devices,True,
AAPL,Apple Inc.,True,
AMAT,Applied Materials,True,
APP,AppLovin,True,
ARM,Arm Holdings,True,
ASML,ASML Holding,False,
ALAB,Astera Labs,False,
ADSK,Autodesk,True,
ADP,Automatic Data Processing,True,
AXON,Axon Enterprise,False,
BKR,Baker Hughes,False,
BKNG,Booking Holdings,True,
AVGO,Broadcom,True,
CDNS,Cadence Design Systems,True,
CTAS,Cintas,True,
CSCO,Cisco,True,
CCEP,Coca-Cola Europacific Partners,False,
CMCSA,Comcast,True,
CEG,Constellation Energy,True,
CPRT,Copart,False,
CRWV,CoreWeave,False,
COST,Costco,True,
CRWD,CrowdStrike,True,
CSX,CSX Corporation,False,
DDOG,Datadog,True,
DXCM,DexCom,False,
FANG,Diamondback Energy,True,
DASH,DoorDash,True,
EA,Electronic Arts,True,
EXC,Exelon,False,
FAST,Fastenal,True,
FER,Ferrovial,False,
FTNT,Fortinet,True,
GEHC,GE HealthCare,False,
GILD,Gilead Sciences,True,
HONA,Honeywell Aerospace,False,
HON,Honeywell Technologies,True,
IDXX,Idexx Laboratories,False,
INTC,Intel,True,
INTU,Intuit,False,
ISRG,Intuitive Surgical,True,
KDP,Keurig Dr Pepper,False,
KLAC,KLA Corporation,False,
KHC,Kraft Heinz,False,
LRCX,Lam Research,True,
LIN,Linde plc,False,
LITE,Lumentum,True,
MAR,Marriott International,True,
MRVL,Marvell Technology,True,
MELI,Mercado Libre,False,
META,Meta Platforms,True,
MCHP,Microchip Technology,False,
MU,Micron Technology,True,
MSFT,Microsoft,True,
MSTR,MicroStrategy,True,
MDLZ,Mondelez International,True,
MPWR,Monolithic Power Systems,True,
MNST,Monster Beverage,True,
NBIS,Nebius Group,False,
NFLX,"Netflix, Inc.",True,
NVDA,Nvidia,True,
NXPI,NXP Semiconductors,False,
ORLY,O'Reilly Automotive,True,
ODFL,Old Dominion Freight Line,False,
PCAR,Paccar,False,
PLTR,Palantir Technologies,True,
PANW,Palo Alto Networks,False,
PAYX,Paychex,True,
PYPL,PayPal,True,
PDD,PDD Holdings,True,
PEP,PepsiCo,True,
QCOM,Qualcomm,True,
REGN,Regeneron Pharmaceuticals,True,
RKLB,Rocket Lab,False,
ROP,Roper Technologies,False,
ROST,Ross Stores,False,
SNDK,Sandisk,False,
STX,Seagate Technology,True,
SHOP,Shopify,True,
SPCX,SpaceX,True,
SBUX,Starbucks,True,
SNPS,Synopsys,False,
TMUS,T-Mobile US,True,
TTWO,Take-Two Interactive,True,
TER,Teradyne,False,
TSLA,"Tesla, Inc.",True,
TXN,Texas Instruments,False,
TRI,Thomson Reuters,False,
VRTX,Vertex Pharmaceuticals,True,
WMT,Walmart,True,
WBD,Warner Bros. Discovery,True,
WDC,Western Digital,True,
WDAY,"Workday, Inc.",False,
XEL,Xcel Energy,False,
