ticker,market,scan_date,bar_age_days,close,ma20,exit_now,scanned_at
ACN,sp500,2026-09-21,1,186.11,186.48,False,2026-09-23T22:50:54
AFL,sp500,2026-09-21,1,115.18,116.44,False,2026-09-23T22:50:54
APD,sp500,2026-09-21,1,279.46,297.63,False,2026-09-23T22:50:54
AXP,sp500,2026-09-21,1,313.59,325.57,False,2026-09-23T22:50:54
AIG,sp500,2026-09-21,1,74.54,75.58,False,2026-09-23T22:50:54
AMT,sp500,2026-09-21,1,174.6,175.93,False,2026-09-23T22:50:54
AMGN,sp500,2026-09-21,1,393.16,411.22,False,2026-09-23T22:50:54
ADI,sp500,2026-09-21,1,383.0,365.57,True,2026-09-23T22:50:54
COF,sp500,2026-09-21,1,204.92,211.55,False,2026-09-23T22:50:54
CAH,sp500,2026-09-21,1,225.75,236.11,False,2026-09-23T22:50:54
CCL,sp500,2026-09-22,0,22.28,23.3,False,2026-09-23T22:50:54
CF,sp500,2026-09-21,1,123.27,131.7,False,2026-09-23T22:50:54
C,sp500,2026-09-21,1,135.05,134.76,True,2026-09-23T22:50:54
KO,sp500,2026-09-21,1,87.12,88.38,False,2026-09-23T22:50:54
CTSH,sp500,2026-09-21,1,59.38,62.01,False,2026-09-23T22:50:54
DHR,sp500,2026-09-21,1,215.84,209.96,True,2026-09-23T22:50:54
DE,sp500,2026-09-21,1,684.73,669.25,True,2026-09-23T22:50:54
D,sp500,2026-09-21,1,62.82,65.04,False,2026-09-23T22:50:54
DHI,sp500,2026-09-21,1,139.25,142.17,False,2026-09-23T22:50:54
DD,sp500,2026-09-21,1,129.79,131.33,False,2026-09-23T22:50:54
EBAY,sp500,2026-09-21,1,108.3,106.43,True,2026-09-23T22:50:54
EOG,sp500,2026-09-21,1,141.38,146.43,False,2026-09-23T22:50:54
EXPE,sp500,2026-09-21,1,281.02,300.29,False,2026-09-23T22:50:54
EXPD,sp500,2026-09-21,1,192.15,189.66,True,2026-09-23T22:50:54
XOM,sp500,2026-09-21,1,158.3,162.32,False,2026-09-23T22:50:54
FAST,sp500,2026-09-21,1,49.65,49.53,True,2026-09-23T22:50:54
FLEX,sp500,2026-09-21,1,111.61,109.86,True,2026-09-23T22:50:54
GRMN,sp500,2026-09-21,1,280.31,279.4,True,2026-09-23T22:50:54
GIS,sp500,2026-09-22,0,35.45,38.13,False,2026-09-23T22:50:54
IBM,sp500,2026-09-21,1,231.93,235.98,False,2026-09-23T22:50:54
IVZ,sp500,2026-09-21,1,31.38,31.99,False,2026-09-23T22:50:54
JPM,sp500,2026-09-22,0,340.0,353.67,False,2026-09-23T22:50:54
LEN,sp500,2026-09-21,1,78.08,82.21,False,2026-09-23T22:50:54
LLY,sp500,2026-09-21,1,1164.89,1158.79,True,2026-09-23T22:50:54
MRK,sp500,2026-09-21,1,149.5,147.93,True,2026-09-23T22:50:54
MDLZ,sp500,2026-09-21,1,60.17,62.16,False,2026-09-23T22:50:54
MSI,sp500,2026-09-21,1,461.36,471.96,False,2026-09-23T22:50:54
NEM,sp500,2026-09-21,1,123.05,126.88,False,2026-09-23T22:50:54
NUE,sp500,2026-09-21,1,242.4,254.81,False,2026-09-23T22:50:54
OXY,sp500,2026-09-21,1,57.25,59.97,False,2026-09-23T22:50:54
ORCL,sp500,2026-09-22,0,149.2,149.85,False,2026-09-23T22:50:54
PEP,sp500,2026-09-21,1,129.59,137.1,False,2026-09-23T22:50:54
PG,sp500,2026-09-21,1,146.08,145.63,True,2026-09-23T22:50:54
QCOM,sp500,2026-09-22,0,198.27,175.62,True,2026-09-23T22:50:54
RL,sp500,2026-09-21,1,339.82,345.15,False,2026-09-23T22:50:54
REG,sp500,2026-09-21,1,72.92,74.54,False,2026-09-23T22:50:54
CRM,sp500,2026-09-21,1,236.42,244.21,False,2026-09-23T22:50:54
SPG,sp500,2026-09-21,1,204.98,208.47,False,2026-09-23T22:50:54
STT,sp500,2026-09-21,1,184.4,189.83,False,2026-09-23T22:50:54
SYY,sp500,2026-09-21,1,78.43,81.32,False,2026-09-23T22:50:54
TROW,sp500,2026-09-21,1,104.63,107.32,False,2026-09-23T22:50:54
TXT,sp500,2026-09-21,1,79.41,80.6,False,2026-09-23T22:50:54
TJX,sp500,2026-09-21,1,130.96,130.74,True,2026-09-23T22:50:54
UAL,sp500,2026-09-21,1,114.39,109.72,True,2026-09-23T22:50:54
UPS,sp500,2026-09-22,0,95.87,101.54,False,2026-09-23T22:50:54
VRSK,sp500,2026-09-21,1,172.02,183.61,False,2026-09-23T22:50:54
WBD,sp500,2026-09-21,1,30.8,28.46,True,2026-09-23T22:50:54
WFC,sp500,2026-09-21,1,86.54,87.53,False,2026-09-23T22:50:54
ADI,nasdaq100,2026-09-21,1,383.0,365.57,True,2026-09-23T22:50:54
AMGN,nasdaq100,2026-09-21,1,393.16,411.22,False,2026-09-23T22:50:54
FAST,nasdaq100,2026-09-21,1,49.65,49.53,True,2026-09-23T22:50:54
MDLZ,nasdaq100,2026-09-21,1,60.17,62.16,False,2026-09-23T22:50:54
MSTR,nasdaq100,2026-09-22,0,167.33,136.34,True,2026-09-23T22:50:54
PEP,nasdaq100,2026-09-21,1,129.59,137.1,False,2026-09-23T22:50:54
QCOM,nasdaq100,2026-09-22,0,198.27,175.62,True,2026-09-23T22:50:54
WBD,nasdaq100,2026-09-21,1,30.8,28.46,True,2026-09-23T22:50:54
