market,ticker,scan_date,close,lower_band,entry,sl,tp,tp_price,risk_pct_price,position_size_pct,regime_ok,tradeable,position_size_concentrated_pct,scanned_at
"S&P 500 (volles Universum, 420 Ticker)",AVB,2026-08-10,183.84,184.28,183.84,175.81,195.88,195.88,4.37,20.0,True,True,10.0,2026-08-11T15:37:45
"S&P 500 (volles Universum, 420 Ticker)",CPT,2026-08-10,109.08,109.14,109.08,104.06,116.6,116.6,4.6,20.0,True,True,10.0,2026-08-11T15:37:45
"S&P 500 (volles Universum, 420 Ticker)",DTE,2026-08-10,136.78,136.8,136.78,125.21,154.14,154.14,8.46,11.82,True,True,10.0,2026-08-11T15:37:45
"S&P 500 (volles Universum, 420 Ticker)",EQR,2026-08-10,65.83,65.93,65.83,62.88,70.25,70.25,4.48,20.0,True,True,10.0,2026-08-11T15:37:45
"S&P 500 (volles Universum, 420 Ticker)",EXC,2026-08-10,44.5,44.61,44.5,42.08,48.14,48.14,5.45,18.35,True,True,10.0,2026-08-11T15:37:45
"S&P 500 (volles Universum, 420 Ticker)",FRT,2026-08-10,117.13,117.86,117.13,108.51,130.06,130.06,7.36,13.59,True,True,10.0,2026-08-11T15:37:45
"S&P 500 (volles Universum, 420 Ticker)",DOC,2026-08-10,20.9,20.95,20.9,19.36,23.2,23.2,7.35,13.61,True,True,10.0,2026-08-11T15:37:45
"S&P 500 (volles Universum, 420 Ticker)",HST,2026-08-10,22.67,22.71,22.67,20.21,26.37,26.37,10.87,9.2,True,True,10.0,2026-08-11T15:37:45
"S&P 500 (volles Universum, 420 Ticker)",MGM,2026-08-10,43.36,43.63,43.36,40.53,47.61,47.61,6.53,15.3,True,True,10.0,2026-08-11T15:37:45
"S&P 500 (volles Universum, 420 Ticker)",REG,2026-08-10,76.11,76.61,76.11,70.34,84.77,84.77,7.59,13.18,True,True,10.0,2026-08-11T15:37:45
Nasdaq-100 (alle ~103 Ticker),EXC,2026-08-10,44.5,44.61,44.5,42.08,kein TP (finale Config),0.0,5.45,18.35,True,True,12.5,2026-08-11T15:37:45
