,BBfull,BBOU,S&P 500
2018-01-02,100000.0,100000.0,100000.0
2018-01-03,99688.23149871826,100000.0,100639.88187687816
2018-01-04,98681.84607696533,99497.39256286621,101045.32333614503
2018-01-05,98112.4725112915,98821.84112548828,101756.05264173153
2018-01-08,96548.8429031372,98144.36907577515,101925.20619834853
2018-01-09,95715.0877609253,97734.94547653198,102058.00776994247
2018-01-10,95534.18408584595,98496.73808670044,101944.4961156627
2018-01-11,91782.12814712524,98268.83458328247,102661.53766179757
2018-01-12,90060.61655426025,97057.95970153809,103354.4622831401
2018-01-16,93782.70902252197,97765.38674545288,102990.19076007527
2018-01-17,92686.58081626892,95340.4038028717,103959.848716333
2018-01-18,92548.85338401794,95101.43680381775,103791.80908451864
2018-01-19,89523.83441734314,93475.5137348175,104246.96057014113
2018-01-22,89176.40079879761,93025.3429069519,105087.89228944875
2018-01-23,89755.43541526794,93583.66355895996,105316.39177477924
2018-01-24,90078.82818984985,93570.15162849426,105257.41715433328
2018-01-25,88602.8862028122,93295.5963754654,105320.84747398987
2018-01-26,87027.73262500763,91718.93130588531,106567.97232539863
2018-01-29,88378.50581741333,92650.1264591217,105850.5594709962
2018-01-30,90651.86538696289,95848.77793693542,104696.91374001793
2018-01-31,92082.4516210556,96721.49400043488,104748.10899944375
2018-02-01,93647.98089885712,97892.90530490875,104680.2229805766
2018-02-02,94857.55250167847,97654.00060367584,102460.10745480136
2018-02-05,92484.10220527649,90133.03445339203,98261.37167794569
2018-02-06,96966.2127571106,94378.49505901337,99975.14045867257
2018-02-07,95938.45905685425,92954.0047006607,99475.1059541726
2018-02-08,87459.49390029907,84380.1783285141,95741.16662159648
2018-02-09,89945.89927911758,87818.37809467316,97171.16532292317
2018-02-12,91684.13400125504,89434.1417016983,98523.26173845807
2018-02-13,94209.36105394363,90618.169880867,98780.69609975985
2018-02-14,96063.31169366837,93855.31918048859,100104.60025585856
2018-02-15,96995.83101844788,97096.75300121307,101312.77396437144
2018-02-16,97778.00392103195,97027.01639652252,101350.6111824647
2018-02-20,98428.32146453857,96485.77870464325,100758.58279060441
2018-02-21,98069.22104692459,96251.7284708023,100204.76292510494
2018-02-22,99034.55804872513,96383.36120700836,100302.31738017927
2018-02-23,97789.56124162674,96936.47271060944,101910.0006719774
2018-02-26,97144.94205904007,96947.08053684235,103108.15811356565
2018-02-27,97711.8320813179,96697.50692462921,101797.97425076785
2018-02-28,99263.69160890579,96828.81010913849,100668.44544458188
2018-03-01,99650.24370622635,97070.50549411774,99327.09885620752
2018-03-02,98601.56605958939,97257.84698200226,99830.84644338301
2018-03-05,97973.89114046097,96543.65184497833,100932.1829901328
2018-03-06,97844.5785908699,96885.89139652252,101198.52874985577
2018-03-07,97311.85377550125,97027.27962589264,101149.56134003523
2018-03-08,95025.82906770706,97330.50040531158,101600.99974298223
2018-03-09,94023.72216844559,96977.2190027237,103366.70639967007
2018-03-12,93018.33383798599,97684.28757572174,103235.01875287876
2018-03-13,93270.42309236526,98617.44075489044,102578.07480829173
2018-03-14,93728.59876298904,99030.82345676422,101990.8643676104
2018-03-15,93161.38253831863,99054.11420917511,101911.11459678005
2018-03-16,91908.02672433853,98483.75126171112,102084.71479630843
2018-03-19,93150.34693002701,98632.89266300201,100634.68356113245
2018-03-20,92740.81523561478,98818.0868730545,100783.80458390017
2018-03-21,93545.25505304337,100198.54142856598,100597.96026784187
2018-03-22,93215.99948358536,100578.04710102081,98066.62501976537
2018-03-23,91046.60676813126,99379.17368221283,96010.47379116065
2018-03-26,93865.63186693192,104162.6329908371,98617.85478369119
2018-03-27,92071.42029428482,102660.50403118134,96914.10226988894
2018-03-28,92751.553129673,103383.03922748566,96631.43705899219
2018-03-29,96442.91574144363,106500.02132701874,97962.02476390681
2018-04-02,90573.67982339859,103176.0263376236,95773.80552394404
2018-04-03,92907.79166078568,105905.3326997757,96981.9792324569
2018-04-04,93903.0564455986,107964.98416233063,98103.71962132353
2018-04-05,93903.81942224503,107338.46859645844,98776.99207338355
2018-04-06,90795.25975942612,103385.0126504898,96611.77583341046
2018-04-09,91326.16200399399,102823.36402606964,96934.12574743901
2018-04-10,92530.04015302658,103176.1008348465,98555.53838883729
2018-04-11,92026.42029333115,103105.95921421051,98010.98311742814
2018-04-12,93811.11294698715,104170.1870470047,98819.64724265574
2018-04-13,93409.25579690933,104150.53062534332,98534.39193018535
2018-04-16,92862.42462587357,104787.85745716095,99333.41109675588
2018-04-17,91683.2518696785,104272.77487659454,100392.45472620182
2018-04-18,91100.565056324,106255.4394159317,100475.91757970766
2018-04-19,91581.6730465889,107892.94579410553,99900.57994728872
2018-04-20,92519.69611406326,107796.7821855545,99047.77541971872
2018-04-23,91441.67768144608,106629.69665050507,99053.34504373197
2018-04-24,94409.06525468826,107687.18312358856,97727.95565456305
2018-04-25,92626.02778291702,107281.18157672882,97907.48773007301
2018-04-26,91149.74976301193,108159.19491291046,98929.07450599247
2018-04-27,90491.8172507286,106179.50244045258,99039.24438586428
2018-04-30,92697.99947214127,107436.43325901031,98228.36146733059
2018-05-01,92364.91375017166,107864.67453479767,98478.75002784812
2018-05-02,90916.58613061905,106710.56041622162,97769.12559076503
2018-05-03,92241.81937074661,106079.22654056549,97548.7858310214
2018-05-04,91854.00339365005,107891.06219387054,98798.50078400382
2018-05-07,91365.8313612938,107764.67871189117,99140.14061534655
2018-05-08,94005.00226545334,107753.74187374115,99113.80489724813
2018-05-09,93598.68202543259,108336.06001186371,100073.44658658121
2018-05-10,93030.87556409836,107751.82821369171,101011.19920072725
2018-05-11,92284.4558672905,107859.61468982697,101183.685475453
