,p5,p25,p50,p75,p95
2018-01-02,97524.49864086477,99398.99506439382,100000.0,100650.83147222543,102635.777930883
2018-01-03,96434.54098851528,99318.29497940844,100000.0,101074.92945387946,103612.94271162857
2018-01-04,95746.81241712782,99186.20485287777,100000.0,101371.77478490643,104637.3983792014
2018-01-05,94395.95534518022,99209.43207007821,100047.88189387304,101705.89354167401,104845.65161938049
2018-01-08,94416.15027195077,99188.86741625873,100090.28262558283,101992.45187976245,105840.20518225263
2018-01-09,93765.12757065399,99005.66641939347,100231.13186545655,102150.7071745269,106508.36365107293
2018-01-10,93178.06039445875,98937.01616779754,100250.73208884869,102464.98907597971,107065.44154724895
2018-01-11,92878.36629805095,98858.38152126563,100178.18708838156,102849.49725890311,107292.7450603098
2018-01-12,92303.04798939325,98735.5126145682,100260.47652734135,103046.38768558532,108011.25917371799
2018-01-16,92080.06487347918,98949.60189140588,100385.88024781318,103424.10378133705,108437.29884796219
2018-01-17,91903.96919250392,98704.73487070712,100370.9378598005,103687.85710385707,109009.0007554
2018-01-18,91797.48614862964,98779.32433174536,100493.47396316122,104009.11706564784,109367.29668693218
2018-01-19,91288.05394525519,98680.56477318401,100586.34285545416,104239.46405678082,110341.8411521288
2018-01-22,91138.84439987438,98607.64343327774,100597.52966487592,104342.96842591673,110493.81577708616
2018-01-23,90543.65697547338,98557.46960643187,100656.15955795841,104439.68975682398,111384.80399467474
2018-01-24,90348.09172057992,98491.41963013605,100719.51781879464,104821.72279885014,112245.11054117724
2018-01-25,90779.60170993558,98349.86697778068,100743.98386356016,104946.6698523155,112644.9578908278
2018-01-26,90022.02201986295,98392.95549351265,100785.03729746271,105143.78643929692,112638.31896765846
2018-01-29,89943.80096573976,98431.45653354457,100785.03729746271,105386.75986780899,113333.05176575162
2018-01-30,89962.96605087133,98233.13519976332,100742.47014038502,105808.75623326526,113622.91704952798
2018-01-31,89837.71701414727,98046.56281178872,101454.82813490173,106089.47986415168,114231.51010665874
2018-02-01,89540.46047054192,97804.61833729575,101467.41643112991,106393.84438756587,114875.15483231109
2018-02-02,89408.30498347107,97712.43510921305,101580.98903713515,106446.12283226021,115247.8131767163
2018-02-05,89421.93448563507,97624.37118061348,101747.69593999241,106789.94196765641,115767.60017669133
2018-02-06,89349.21048037133,97478.8093418295,101819.63169008173,106844.48319918066,115790.64729792956
2018-02-07,88838.24891831029,97303.94651489577,101881.48968199555,107122.50476319384,116471.18491325172
2018-02-08,89098.29462780443,97212.56011942966,102000.87328328114,107222.17233729552,116715.09414314038
2018-02-09,88862.12439464418,97212.56011942966,102070.20968743661,107363.57087788358,116628.05638671882
2018-02-12,88675.67122880006,97177.2236824891,102233.1600656126,107436.75609805567,117242.85338438455
2018-02-13,88362.92287690136,97328.7850147788,102290.71914284758,107503.99490410498,117433.48207753169
2018-02-14,88217.62811090308,97208.33733806381,102176.36914445998,107810.3866256175,117868.17869331736
2018-02-15,88161.0860350306,97142.24987066044,102453.00874765342,108024.75398631036,118373.73637485036
2018-02-16,88082.76422037181,97151.72670926232,102517.20239954363,108337.78102760899,118563.31099060152
2018-02-20,87848.1303825963,97025.9615982785,102528.84386563287,108411.0220925389,118803.08497070307
2018-02-21,87723.07393133626,97028.81485743981,102583.12304429943,108490.19596539321,118958.7365354665
2018-02-22,87937.51245824216,96908.11874843776,102711.43120819211,108779.2286611322,119757.6138827629
2018-02-23,88161.17407934496,96902.95330166105,102625.27063464283,109012.65995648809,120005.15946032455
2018-02-26,88145.68306100948,96772.04619384134,102569.47981596823,109255.07257995356,120395.96693441404
2018-02-27,87872.425334179,96806.4498374901,102702.90597927295,109490.03159494454,121213.50251432478
2018-02-28,87600.20648205663,96887.36167151826,102798.013027082,109550.782673466,121398.28030556937
2018-03-01,87769.18138697845,97032.89613913366,102992.854423557,109889.60118241812,121668.18535958222
2018-03-02,87453.1173591066,96999.43950891704,103120.47866605007,110099.37516331102,122141.19690463676
2018-03-05,87446.14210911184,96927.95816755002,103199.72979386756,110425.31431971845,122141.36847265731
2018-03-06,87056.29169647864,96822.99343695502,103270.05885862361,110423.98822741577,122586.22292368782
2018-03-07,86884.52348438783,96807.19877931853,103355.22771534236,110681.55724055218,123182.92678535297
2018-03-08,87041.49320061643,96982.3940484145,103556.3300623718,110684.88971677235,122920.30210784622
2018-03-09,86625.25272077956,97099.59371713143,103510.34192345238,110840.8885281423,122972.75706424763
2018-03-12,86061.39147939104,97024.15607725507,103674.33341859985,111222.04515550955,123212.00449491825
2018-03-13,86719.14123391184,97056.4080612601,103605.02322953168,111077.67786721955,124687.36166114415
2018-03-14,86795.31458695946,96906.58646379114,103907.3042769984,111121.02164500387,124219.29314922659
2018-03-15,86823.39617000839,96778.86038453446,103956.56228246546,111489.69747453128,124999.23074575224
2018-03-16,86416.02144143054,96829.75666534057,103950.19447590962,111617.91303020947,125807.0647074705
2018-03-19,86205.17418740911,96896.1090801197,103859.8989264497,111893.120351942,126430.6081472442
2018-03-20,86395.4295967825,96869.89518631734,103900.77070802219,111976.52512121409,126421.84833374094
2018-03-21,85965.58193764514,96723.10659362152,104018.3139723278,112271.7974547648,125981.10215789605
2018-03-22,85824.08412390211,96669.63149308975,104032.68594157505,112422.64869793812,126537.14877697022
2018-03-23,85700.93948985818,96908.9493440045,104227.97163193424,112506.50665163802,126587.51346756861
2018-03-26,85361.40573150679,97037.65555837865,104286.39861559159,112628.65276011577,126777.31813045328
2018-03-27,85641.26039401641,96977.26989303189,104261.68880801578,112775.88546068614,127814.08910911008
2018-03-28,85714.17906584904,96871.37812216816,104328.1986174546,112949.86445163593,127883.06288034875
2018-03-29,85589.86007659392,96949.24837847051,104418.86373457906,112938.58951142259,127717.9538519002
2018-04-02,85015.01040924307,97095.76152209053,104557.84313837517,112963.57905989015,128666.92845603536
2018-04-03,85013.7933254491,96987.66496194137,104690.4615786561,113087.79379246819,128285.20731129375
2018-04-04,84930.9991547832,96855.03265119337,104600.92115841099,113246.00488007512,129030.47097592309
