ticker,direction,entry_date,exit_date,entry_price,exit_price,shares,days_held,pnl_dollars,pnl_pct,reason
TECH,short,2018-01-02,2018-01-03,31.46306610107422,32.188255310058594,635.0,1,-460.4951477050781,-0.023048904599911685,stop_loss
XOM,short,2018-01-02,2018-01-03,58.18548583984375,59.3282585144043,343.0,1,-391.9710273742676,-0.01964016726965282,stop_loss
UPS,short,2018-01-02,2018-01-04,88.35179138183594,90.89509582519531,226.0,2,-574.7868041992188,-0.028786110655841753,stop_loss
DD,short,2018-01-03,2018-01-04,110.21733093261719,112.32960510253906,178.0,1,-375.98480224609375,-0.01916462821271948,stop_loss
IP,short,2018-01-02,2018-01-05,38.835506439208984,40.089515686035156,514.0,3,-644.5607528686523,-0.032290276651577354,stop_loss
APD,short,2018-01-02,2018-01-09,134.55667114257812,137.44271850585938,148.0,5,-427.135009765625,-0.02144856393053269,stop_loss
CB,long,2018-01-02,2018-01-09,123.22247314453125,126.29652404785156,162.0,5,497.9962463378906,0.024947161218836018,mean_revert
A,short,2018-01-03,2018-01-09,65.01396179199219,67.3117904663086,303.0,4,-696.2420883178711,-0.03534361867791037,stop_loss
AMGN,short,2018-01-03,2018-01-09,139.3228759765625,141.6715087890625,141.0,4,-331.1572265625,-0.016857481558843913,stop_loss
TECH,short,2018-01-03,2018-01-09,32.188255310058594,32.96371841430664,612.0,4,-474.5834197998047,-0.024091492278108046,stop_loss
WTW,long,2018-01-02,2018-01-10,130.758544921875,136.6475372314453,152.0,6,895.1268310546875,0.04503715082703651,mean_revert
DHI,short,2018-01-03,2018-01-10,48.11726760864258,46.39684295654297,409.0,5,703.6536827087402,0.0357548285179559,mean_revert
EBAY,short,2018-01-03,2018-01-10,34.691871643066406,33.347354888916016,567.0,5,762.3409996032715,0.03875595897458904,mean_revert
EXPE,short,2018-01-03,2018-01-11,120.51756286621094,124.59996032714844,163.0,6,-665.4307861328125,-0.03387387998767827,stop_loss
AFL,short,2018-01-05,2018-01-11,36.81293869018555,37.617042541503906,527.0,4,-423.7627296447754,-0.021842968258677382,stop_loss
CAH,short,2018-01-09,2018-01-12,52.7409553527832,56.19151306152344,339.0,3,-1169.7390632629395,-0.06542463415119279,stop_loss
AMT,long,2018-01-10,2018-01-12,109.94577026367188,106.26251983642578,177.0,2,-651.9353256225586,-0.03350061051382809,stop_loss
AFL,short,2018-01-11,2018-01-12,37.617042541503906,34.84776306152344,506.0,1,1401.2554168701172,0.07361768211642496,mean_revert
VMC,short,2018-01-02,2018-01-17,122.41094970703125,124.92658233642578,160.0,10,-402.501220703125,-0.02055071572776168,max_holding
AMGN,short,2018-01-09,2018-01-17,141.6715087890625,145.2484130859375,134.0,5,-479.30517578125,-0.02524787324881761,stop_loss
D,long,2018-01-03,2018-01-18,52.984535217285156,51.40576934814453,361.0,10,-569.9344787597656,-0.029796729605463895,max_holding
ACN,short,2018-01-04,2018-01-18,136.15916442871094,140.12957763671875,144.0,9,-571.739501953125,-0.029160087935811384,stop_loss
AXP,short,2018-01-04,2018-01-19,90.0678482055664,87.54934692382812,218.0,10,549.0332794189453,0.027962267689466483,mean_revert
AMT,long,2018-01-12,2018-01-22,106.26251983642578,111.24806213378906,177.0,5,882.4409866333008,0.04691722260151302,mean_revert
A,short,2018-01-09,2018-01-24,67.3117904663086,69.00936126708984,284.0,10,-482.110107421875,-0.02521951635844438,max_holding
TECH,short,2018-01-09,2018-01-24,32.96371841430664,33.83248519897461,579.0,10,-503.0159683227539,-0.026355242262077867,max_holding
DHR,short,2018-01-09,2018-01-24,83.87025451660156,86.22624206542969,227.0,10,-534.8091735839844,-0.02809085965467975,stop_loss
AFL,long,2018-01-12,2018-01-24,34.84776306152344,36.27958679199219,541.0,7,774.6166381835938,0.041087966763917586,mean_revert
CB,short,2018-01-22,2018-01-24,129.70831298828125,134.20252990722656,145.0,2,-651.6614532470703,-0.034648642137157015,stop_loss
AIZ,long,2018-01-10,2018-01-25,82.20074462890625,80.95696258544922,237.0,10,-294.7763442993164,-0.015131031343719115,max_holding
AVB,long,2018-01-10,2018-01-25,127.39716339111328,126.81586456298828,152.0,10,-88.357421875,-0.00456288674450619,max_holding
CPT,long,2018-01-10,2018-01-25,64.84211730957031,65.17156219482422,300.0,10,98.83346557617188,0.0050807237475152915,max_holding
ADI,short,2018-01-18,2018-01-25,83.35659790039062,78.84758758544922,224.0,5,1010.018310546875,0.05409302237034168,mean_revert
AMGN,short,2018-01-17,2018-01-26,145.2484130859375,151.42886352539062,130.0,7,-803.4585571289062,-0.04255089820359281,stop_loss
