,walk_forward_equity
2018-01-02,100000.0
2018-01-03,100511.8374786377
2018-01-04,100928.04747390747
2018-01-05,101513.26077270508
2018-01-08,102359.0177268982
2018-01-09,102178.69582366943
2018-01-10,101209.99987602234
2018-01-11,100617.91533374786
2018-01-12,100302.53957271576
2018-01-16,99314.16159915924
2018-01-17,101827.28792285919
2018-01-18,100715.07128429413
2018-01-19,101434.28698635101
2018-01-22,104920.5219669342
2018-01-23,106464.4847946167
2018-01-24,106853.41521644592
2018-01-25,108524.7869758606
2018-01-26,109675.38991165161
2018-01-29,108437.6876487732
2018-01-30,107969.66216278076
2018-01-31,108261.37516784668
2018-02-01,107843.61856269836
2018-02-02,101427.2371044159
2018-02-05,91068.83810424805
2018-02-06,93977.20179367065
2018-02-07,94295.3069229126
2018-02-08,87809.28199005127
2018-02-09,91551.18629646301
2018-02-12,92778.05087089539
2018-02-13,93868.5907535553
2018-02-14,95544.69041252136
2018-02-15,98583.76174926758
2018-02-16,99641.36171531677
2018-02-20,97929.30222702026
2018-02-21,97543.78046226501
2018-02-22,97778.21959495544
2018-02-23,98782.71037483215
2018-02-26,98970.93410682678
2018-02-27,98590.70965766907
2018-02-28,98594.7517490387
2018-03-01,98476.9969959259
2018-03-02,98278.54662513733
2018-03-05,98561.6256351471
2018-03-06,98935.52789115906
2018-03-07,99101.62595558167
2018-03-08,99163.94234275818
2018-03-09,100126.986951828
2018-03-12,100748.27634239197
2018-03-13,100948.54880714417
2018-03-14,100898.99285316467
2018-03-15,101271.81869697571
2018-03-16,101724.90569496155
2018-03-19,100125.9488658905
2018-03-20,99678.27446365356
2018-03-21,100471.53709411621
2018-03-22,95859.09879875183
2018-03-23,92920.17211532593
2018-03-26,96040.9062423706
2018-03-27,94653.81146240234
2018-03-28,94343.57130813599
2018-03-29,96710.89277648926
2018-04-02,93621.35890007019
2018-04-03,94954.18116760254
2018-04-04,98629.63327789307
2018-04-05,98839.90280532837
2018-04-06,97060.25902175903
2018-04-09,97075.76444625854
2018-04-10,97779.9721031189
2018-04-11,97248.57006454468
2018-04-12,97117.99397945404
2018-04-13,97118.11298084259
2018-04-16,98706.2176361084
2018-04-17,99678.84496307373
2018-04-18,100851.00262069702
2018-04-19,99316.62744903564
2018-04-20,97429.40745830536
2018-04-23,96060.70807743073
2018-04-24,95059.99643707275
2018-04-25,94976.94734859467
2018-04-26,95803.57207393646
2018-04-27,98298.98208522797
2018-04-30,95990.52344417572
2018-05-01,96048.81337165833
2018-05-02,94117.08961677551
2018-05-03,94446.83543014526
2018-05-04,97231.69381523132
2018-05-07,97677.17175292969
2018-05-08,97266.1684551239
2018-05-09,98002.98906517029
2018-05-10,100620.7912349701
2018-05-11,101822.30397605896
2018-05-14,101277.0539150238
2018-05-15,101220.60488510132
2018-05-16,102783.18348312378
2018-05-17,103217.33126449585
2018-05-18,103711.72196388245
2018-05-21,104740.86297416687
2018-05-22,104653.04268074036
2018-05-23,106177.0894165039
2018-05-24,107740.75966072083
2018-05-25,108482.73721122742
2018-05-29,106695.59662628174
2018-05-30,111026.75779914856
2018-05-31,109229.77651405334
2018-06-01,110700.14254188538
2018-06-04,113878.13512611389
2018-06-05,115305.88652801514
2018-06-06,118841.48917388916
2018-06-07,118924.54963302612
2018-06-08,120280.56602668762
2018-06-11,120430.01854324341
2018-06-12,121744.72373771667
2018-06-13,121998.66787528992
2018-06-14,122927.80793762207
2018-06-15,123332.30438995361
2018-06-18,122990.05079460144
2018-06-19,122308.91196250916
2018-06-20,121549.33095169067
2018-06-21,119751.52308654785
2018-06-22,122946.79672050476
2018-06-25,119013.26609039307
2018-06-26,118923.39348602295
2018-06-27,116631.66487503052
2018-06-28,117781.03406715393
2018-06-29,118077.56739234924
2018-07-02,119202.55247879028
2018-07-03,118185.90960884094
2018-07-05,120055.45226287842
2018-07-06,120589.4459323883
2018-07-09,123164.99291801453
2018-07-10,123794.67454719543
2018-07-11,124828.34586524963
2018-07-12,125180.88854598999
2018-07-13,124712.01911640167
2018-07-16,124571.84539699554
2018-07-17,124059.9785451889
2018-07-18,125129.06238079071
2018-07-19,125552.00803565979
2018-07-20,124536.15633010864
2018-07-23,125276.0824842453
2018-07-24,124348.0752210617
2018-07-25,126614.30262851715
2018-07-26,126941.74044704437
2018-07-27,125783.93312358856
