,static_equity
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,99867.87549591064
2018-01-12,99696.87312316895
2018-01-16,99921.37149810791
2018-01-17,100237.02540588379
2018-01-18,100075.0453491211
2018-01-19,100463.38069915771
2018-01-22,100930.11769104004
2018-01-23,100936.25855255127
2018-01-24,100664.28619766235
2018-01-25,100280.88918304443
2018-01-26,100462.64307022095
2018-01-29,100049.04649353027
2018-01-30,100041.16544342041
2018-01-31,99887.98538208008
2018-02-01,99845.55815124512
2018-02-02,98727.94506072998
2018-02-05,91581.32832336426
2018-02-06,95164.50173568726
2018-02-07,93623.35270881653
2018-02-08,86619.346200943
2018-02-09,88952.05621957779
2018-02-12,90259.06073236465
2018-02-13,90902.77777338028
2018-02-14,92682.03470277786
2018-02-15,94542.23948669434
2018-02-16,94924.70201063156
2018-02-20,94466.31266975403
2018-02-21,94154.12859201431
2018-02-22,94154.93427324295
2018-02-23,95153.65590906143
2018-02-26,95153.65590906143
2018-02-27,95051.7170624733
2018-02-28,95015.07903528214
2018-03-01,95018.2657570839
2018-03-02,95077.2024064064
2018-03-05,95026.23171854019
2018-03-06,95096.31599283218
2018-03-07,95096.31599283218
2018-03-08,95198.2573685646
2018-03-09,95586.85624551773
2018-03-12,95885.36121988297
2018-03-13,95868.83858346939
2018-03-14,95870.97029733658
2018-03-15,95696.02820444107
2018-03-16,95714.23636293411
2018-03-19,95668.57896280289
2018-03-20,95405.6485543251
2018-03-21,96071.9285492897
2018-03-22,94957.62082147598
2018-03-23,93649.23113489151
2018-03-26,96024.77290201187
2018-03-27,95256.09669160843
2018-03-28,95758.62599229813
2018-03-29,97274.78613138199
2018-04-02,95050.29638338089
2018-04-03,95756.57090234756
2018-04-04,96670.80781793594
2018-04-05,95912.72120904922
2018-04-06,95221.07212305069
2018-04-09,95354.08653497696
2018-04-10,95973.36543512344
2018-04-11,96094.4140496254
2018-04-12,96611.50171899796
2018-04-13,96773.57033014297
2018-04-16,97746.39978265762
2018-04-17,98014.64782190323
2018-04-18,98229.2534737587
2018-04-19,97716.99702692032
2018-04-20,96453.30600976944
2018-04-23,95913.14393091202
2018-04-24,95705.76945734024
2018-04-25,95943.85944604874
2018-04-26,96440.1973977089
2018-04-27,96875.86025094986
2018-04-30,96573.18475198746
2018-05-01,97219.27226877213
2018-05-02,96510.77645349503
2018-05-03,96044.74985170364
2018-05-04,97261.16745042801
2018-05-07,97225.32192087173
2018-05-08,97184.44154787064
2018-05-09,97871.10716676712
2018-05-10,98175.7963051796
2018-05-11,98330.32520151138
2018-05-14,98246.12509202957
2018-05-15,98043.57786035538
2018-05-16,98048.37048959732
2018-05-17,97870.91377878189
2018-05-18,97848.28575754166
2018-05-21,97920.4807343483
2018-05-22,98005.60417795181
2018-05-23,98445.54960107803
2018-05-24,98472.6713013649
2018-05-25,98510.96196603775
2018-05-29,97732.16539239883
2018-05-30,98383.83757257462
2018-05-31,97975.88175821304
2018-06-01,98036.14641046524
2018-06-04,98601.64160013199
2018-06-05,98721.59632730484
2018-06-06,98624.73817300797
2018-06-07,98779.33700799942
2018-06-08,99004.69840478897
2018-06-11,101747.18458795547
2018-06-12,101647.529276371
2018-06-13,101077.20638132095
2018-06-14,100951.07436990738
2018-06-15,100693.33816385269
2018-06-18,100832.25913858414
2018-06-19,100941.93473672867
2018-06-20,101237.12040376663
2018-06-21,101081.97164964676
2018-06-22,101107.02234888077
2018-06-25,100110.470764637
2018-06-26,100432.7986664772
2018-06-27,98550.56595849991
2018-06-28,99764.21608018875
2018-06-29,100605.43120622635
2018-07-02,100414.48490381241
2018-07-03,99416.82757997513
2018-07-05,101730.27439928055
2018-07-06,103704.766644001
2018-07-09,106406.51070451736
2018-07-10,107071.54046487808
2018-07-11,105983.05026102066
2018-07-12,107455.33597612381
2018-07-13,107759.80788564682
2018-07-16,107780.49149656296
2018-07-17,107423.61321592331
2018-07-18,107538.59608411789
2018-07-19,108043.98140192032
2018-07-20,108043.98140192032
2018-07-23,108111.3584113121
2018-07-24,108111.3584113121
2018-07-25,108442.55431890488
2018-07-26,108429.67326116562
2018-07-27,108437.03451299667
2018-07-30,108293.83796072006
2018-07-31,109178.29000806808
2018-08-01,108641.572204113
2018-08-02,109373.5025191307
2018-08-03,109489.8006606102
2018-08-06,110467.46558523178
2018-08-07,111074.28412008286
2018-08-08,111015.6015753746
2018-08-09,109746.26337194443
2018-08-10,108853.56191778183
2018-08-13,109683.35753965378
2018-08-14,110405.31755590439
2018-08-15,109065.06907987595
2018-08-16,109177.45492124557
2018-08-17,109254.2530093193
2018-08-20,109302.55025053024
2018-08-21,109453.297809124
2018-08-22,109535.64940977097
2018-08-23,109558.59186124802
2018-08-24,109723.58564329147
2018-08-27,110084.66128110886
2018-08-28,110073.2450594902
2018-08-29,110050.60618925095
2018-08-30,109957.44398069382
2018-08-31,109973.74508237839
2018-09-04,109973.74508237839
2018-09-05,110204.80192136765
2018-09-06,108769.15694761276
2018-09-07,108351.37647390366
2018-09-10,109198.76695775986
2018-09-11,109113.39461278915
2018-09-12,109513.24496030807
2018-09-13,109905.5594382286
2018-09-14,110458.30599355698
2018-09-17,110077.51240873337
2018-09-18,109834.1317076683
2018-09-19,109462.7028670311
2018-09-20,109922.8165717125
2018-09-21,109934.32013845444
2018-09-24,109916.73507070541
2018-09-25,109995.48423147202
2018-09-26,108662.76616048813
2018-09-27,108887.98693990707
2018-09-28,109796.15336751938
2018-10-01,109065.61201047897
2018-10-02,109776.92155218124
2018-10-03,109081.7249045372
2018-10-04,108473.04281949997
2018-10-05,108576.63245725632
2018-10-08,108377.42464017868
2018-10-09,108273.39872312546
2018-10-10,101724.48861646652
2018-10-11,98117.39729070663
2018-10-12,100129.14633131027
2018-10-15,100366.02099752426
2018-10-16,105352.59143018723
2018-10-17,102256.32120466232
2018-10-18,97860.52397680283
