Symbol,Name,ttp_tradable,base_symbol_tradable
MMM,3M,True,
AOS,A. O. Smith,False,
ABT,Abbott Laboratories,True,
ABBV,AbbVie,True,
ACN,Accenture,True,
ADBE,Adobe Inc.,True,
AMD,Advanced Micro Devices,True,
AES,AES Corporation,False,
AFL,Aflac,True,
A,Agilent Technologies,False,
APD,Air Products,True,
ABNB,Airbnb,True,
AKAM,Akamai Technologies,True,
ALB,Albemarle Corporation,True,
ARE,Alexandria Real Estate Equities,False,
ALGN,Align Technology,True,
ALLE,Allegion,False,
LNT,Alliant Energy,True,
ALL,Allstate,False,
GOOGL,Alphabet Inc. (Class A),True,
GOOG,Alphabet Inc. (Class C),False,
MO,Altria,False,
AMZN,Amazon,True,
AMCR,Amcor,False,
AEE,Ameren,False,
AEP,American Electric Power,False,
AXP,American Express,True,
AIG,American International Group,True,
AMT,American Tower,True,
AWK,American Water Works,False,
AMP,Ameriprise Financial,False,
AME,Ametek,False,
AMGN,Amgen,True,
APH,Amphenol,False,
ADI,Analog Devices,True,
AON,Aon plc,False,
APA,APA Corporation,False,
APO,Apollo Global Management,False,
AAPL,Apple Inc.,True,
AMAT,Applied Materials,True,
APP,AppLovin,True,
APTV,Aptiv,False,
ACGL,Arch Capital Group,True,
ADM,Archer Daniels Midland,False,
ARES,Ares Management,False,
ANET,Arista Networks,True,
AJG,Arthur J. Gallagher & Co.,False,
AIZ,Assurant,False,
T,AT&T,True,
ATO,Atmos Energy,False,
ADSK,Autodesk,True,
ADP,Automatic Data Processing,True,
AZO,AutoZone,False,
AVB,AvalonBay Communities,False,
AVY,Avery Dennison,True,
AXON,Axon Enterprise,False,
BKR,Baker Hughes,False,
BALL,Ball Corporation,False,
BAC,Bank of America,True,
BAX,Baxter International,False,
BDX,Becton Dickinson,False,
BRK.B,Berkshire Hathaway,False,False
BBY,Best Buy,False,
TECH,Bio-Techne,False,
BIIB,Biogen,False,
BLK,BlackRock,True,
BX,Blackstone Inc.,False,
XYZ,"Block, Inc.",True,
BNY,BNY Mellon,False,
BA,Boeing,True,
BKNG,Booking Holdings,True,
BSX,Boston Scientific,False,
BMY,Bristol Myers Squibb,True,
AVGO,Broadcom,True,
BR,Broadridge Financial Solutions,True,
BRO,Brown & Brown,False,
BF.B,Brown–Forman,False,False
BLDR,Builders FirstSource,False,
BG,Bunge Global,False,
BXP,"BXP, Inc.",False,
CHRW,C.H. Robinson,False,
CDNS,Cadence Design Systems,True,
CPT,Camden Property Trust,False,
COF,Capital One,True,
CAH,Cardinal Health,True,
CCL,Carnival Corporation,True,
CARR,Carrier Global,False,
CVNA,Carvana,False,
CASY,Casey's,False,
CAT,Caterpillar Inc.,True,
CBOE,Cboe Global Markets,True,
CBRE,CBRE Group,False,
CDW,CDW Corporation,True,
COR,Cencora,True,
CNC,Centene Corporation,False,
CNP,CenterPoint Energy,False,
CF,CF Industries,True,
CRL,Charles River Laboratories,False,
SCHW,Charles Schwab Corporation,True,
CHTR,Charter Communications,False,
CVX,Chevron Corporation,True,
CMG,Chipotle Mexican Grill,False,
CB,Chubb Limited,False,
CHD,Church & Dwight,False,
CIEN,Ciena,False,
CI,Cigna,False,
CINF,Cincinnati Financial,False,
CTAS,Cintas,True,
CSCO,Cisco,True,
C,Citigroup,True,
CFG,Citizens Financial Group,False,
CLX,Clorox,False,
CME,CME Group,True,
CMS,CMS Energy,False,
KO,Coca-Cola Company (The),True,
CTSH,Cognizant,True,
COHR,Coherent Corp.,False,
COIN,Coinbase,True,
CL,Colgate-Palmolive,False,
CMCSA,Comcast,True,
FIX,Comfort Systems USA,False,
COP,ConocoPhillips,True,
ED,Consolidated Edison,False,
STZ,Constellation Brands,False,
CEG,Constellation Energy,True,
COO,Cooper Companies (The),False,
CPRT,Copart,False,
GLW,Corning Inc.,False,
CPAY,Corpay,False,
CTVA,Corteva,True,
CSGP,CoStar Group,False,
COST,Costco,True,
CRH,CRH plc,False,
CRWD,CrowdStrike,True,
CCI,Crown Castle,False,
CSX,CSX Corporation,False,
CMI,Cummins,True,
CVS,CVS Health,True,
DHR,Danaher Corporation,True,
DRI,Darden Restaurants,False,
DDOG,Datadog,True,
DVA,DaVita,False,
DECK,Deckers Brands,False,
DE,Deere & Company,True,
DELL,Dell Technologies,True,
DAL,Delta Air Lines,True,
DVN,Devon Energy,False,
DXCM,Dexcom,False,
FANG,Diamondback Energy,True,
DLR,Digital Realty,False,
DG,Dollar General,False,
DLTR,Dollar Tree,True,
D,Dominion Energy,True,
DPZ,Domino's,False,
DASH,DoorDash,True,
DOV,Dover Corporation,True,
DOW,Dow Inc.,False,
DHI,D. R. Horton,True,
DTE,DTE Energy,False,
DUK,Duke Energy,False,
DD,DuPont,True,
ETN,Eaton Corporation,False,
EBAY,eBay Inc.,True,
ECHO,EchoStar,False,
ECL,Ecolab,False,
EIX,Edison International,False,
EW,Edwards Lifesciences,False,
EA,Electronic Arts,True,
ELV,Elevance Health,False,
EME,Emcor,False,
EMR,Emerson Electric,False,
ETR,Entergy,False,
EOG,EOG Resources,True,
EQT,EQT Corporation,False,
EFX,Equifax,False,
EQIX,Equinix,False,
EQR,Equity Residential,False,
ERIE,Erie Indemnity,False,
ESS,Essex Property Trust,False,
EL,Estée Lauder Companies (The),True,
EG,Everest Group,False,
EVRG,Evergy,False,
ES,Eversource Energy,False,
EXC,Exelon,False,
EXE,Expand Energy,False,
EXPE,Expedia Group,True,
EXPD,Expeditors International,True,
EXR,Extra Space Storage,False,
XOM,ExxonMobil,True,
FFIV,"F5, Inc.",False,
FDS,FactSet,False,
FICO,Fair Isaac,False,
FAST,Fastenal,True,
FRT,Federal Realty Investment Trust,False,
FDX,FedEx,True,
FDXF,FedEx Freight,False,
FIS,Fidelity National Information Services,False,
FITB,Fifth Third Bancorp,False,
FSLR,First Solar,True,
FE,FirstEnergy,False,
FISV,Fiserv,False,
FLEX,Flex Ltd.,True,
F,Ford Motor Company,True,
FTNT,Fortinet,True,
FTV,Fortive,False,
FOXA,Fox Corporation (Class A),False,
FOX,Fox Corporation (Class B),True,
BEN,Franklin Resources,False,
FCX,Freeport-McMoRan,True,
GRMN,Garmin,True,
IT,Gartner,False,
GE,GE Aerospace,True,
GEHC,GE HealthCare,False,
GEV,GE Vernova,True,
GEN,Gen Digital,False,
GNRC,Generac,False,
GD,General Dynamics,False,
GIS,General Mills,True,
GM,General Motors,True,
GPC,Genuine Parts Company,False,
GILD,Gilead Sciences,True,
GPN,Global Payments,False,
GL,Globe Life,False,
GDDY,GoDaddy,False,
GS,Goldman Sachs,True,
HAL,Halliburton,True,
HIG,Hartford (The),False,
HAS,Hasbro,False,
HCA,HCA Healthcare,False,
DOC,Healthpeak Properties,False,
HSIC,Henry Schein,False,
HSY,Hershey Company (The),False,
HPE,Hewlett Packard Enterprise,False,
HLT,Hilton Worldwide,False,
HD,Home Depot (The),True,
HONA,Honeywell Aerospace,False,
HON,Honeywell Technologies,True,
HRL,Hormel Foods,True,
HST,Host Hotels & Resorts,False,
HWM,Howmet Aerospace,False,
HPQ,HP Inc.,False,
HUBB,Hubbell Incorporated,False,
HUM,Humana,False,
HBAN,Huntington Bancshares,False,
HII,Huntington Ingalls Industries,False,
IBM,IBM,True,
IEX,IDEX Corporation,False,
IDXX,Idexx Laboratories,False,
ITW,Illinois Tool Works,True,
INCY,Incyte,True,
IR,Ingersoll Rand,False,
PODD,Insulet Corporation,False,
INTC,Intel,True,
IBKR,Interactive Brokers,True,
ICE,Intercontinental Exchange,False,
IFF,International Flavors & Fragrances,True,
IP,International Paper,False,
INTU,Intuit,False,
ISRG,Intuitive Surgical,True,
IVZ,Invesco,True,
INVH,Invitation Homes,True,
IQV,IQVIA,True,
IRM,Iron Mountain,True,
JBHT,J.B. Hunt,False,
JBL,Jabil,False,
JKHY,Jack Henry & Associates,False,
J,Jacobs Solutions,False,
JNJ,Johnson & Johnson,True,
JCI,Johnson Controls,False,
JPM,JPMorgan Chase,True,
KVUE,Kenvue,False,
KDP,Keurig Dr Pepper,False,
KEY,KeyCorp,False,
KEYS,Keysight Technologies,False,
KMB,Kimberly-Clark,False,
KIM,Kimco Realty,False,
KMI,Kinder Morgan,False,
KKR,KKR & Co.,False,
KLAC,KLA Corporation,False,
KHC,Kraft Heinz,False,
KR,Kroger,False,
LHX,L3Harris,False,
LH,Labcorp,False,
LRCX,Lam Research,True,
LVS,Las Vegas Sands,True,
LDOS,Leidos,True,
LEN,Lennar,True,
LII,Lennox International,False,
LLY,Lilly (Eli),True,
LIN,Linde plc,False,
LYV,Live Nation Entertainment,False,
LMT,Lockheed Martin,True,
L,Loews Corporation,False,
LOW,Lowe's,True,
LULU,Lululemon Athletica,False,
LITE,Lumentum,True,
LYB,LyondellBasell,False,
MTB,M&T Bank,False,
MPC,Marathon Petroleum,True,
MAR,Marriott International,True,
MRSH,Marsh McLennan,False,
MLM,Martin Marietta Materials,False,
MRVL,Marvell Technology,True,
MAS,Masco,False,
MA,Mastercard,True,
MKC,McCormick & Company,False,
MCD,McDonald's,True,
MCK,McKesson Corporation,False,
MDT,Medtronic,False,
MRK,Merck & Co.,True,
META,Meta Platforms,True,
MET,MetLife,False,
MTD,Mettler Toledo,False,
MGM,MGM Resorts,False,
MCHP,Microchip Technology,False,
MU,Micron Technology,True,
