date,equity
2018-01-02,100000.0
2018-01-03,100528.96192932129
2018-01-04,100924.24002075195
2018-01-05,101502.44402313232
2018-01-06,101502.44402313232
2018-01-07,101502.44402313232
2018-01-08,102452.790184021
2018-01-09,102159.28100585938
2018-01-10,101214.74516296387
2018-01-11,101384.28697395325
2018-01-12,101585.16478157043
2018-01-13,101585.16478157043
2018-01-14,101585.16478157043
2018-01-15,101585.16478157043
2018-01-16,100823.0286769867
2018-01-17,102690.57263755798
2018-01-18,102008.16996955872
2018-01-19,102724.93286514282
2018-01-20,102724.93286514282
2018-01-21,102724.93286514282
2018-01-22,106164.5233707428
2018-01-23,107339.97912788391
2018-01-24,107732.57878684998
2018-01-25,109371.67248344421
2018-01-26,110763.07216453552
2018-01-27,110763.07216453552
2018-01-28,110763.07216453552
2018-01-29,109430.3174533844
2018-01-30,108940.82287025452
2018-01-31,110098.41556739807
2018-02-01,108564.70407485962
2018-02-02,103384.46444702148
2018-02-03,103384.46444702148
2018-02-04,103384.46444702148
2018-02-05,96174.57207489014
2018-02-06,98223.95125579834
2018-02-07,97231.94623565674
2018-02-08,91651.7043838501
2018-02-09,95688.14667034149
2018-02-10,95688.14667034149
2018-02-11,95688.14667034149
2018-02-12,97030.37567806244
2018-02-13,98097.8722410202
2018-02-14,99797.37006282806
2018-02-15,102812.86922836304
2018-02-16,103520.93310260773
2018-02-17,103520.93310260773
2018-02-18,103520.93310260773
2018-02-19,103520.93310260773
2018-02-20,101712.27201843262
2018-02-21,101152.2921667099
2018-02-22,101438.48118114471
2018-02-23,102659.75588130951
2018-02-24,102659.75588130951
2018-02-25,102659.75588130951
2018-02-26,102924.33477687836
2018-02-27,102462.07574748993
2018-02-28,102402.55967617035
2018-03-01,102273.53935527802
2018-03-02,101964.37766170502
2018-03-03,101964.37766170502
2018-03-04,101964.37766170502
2018-03-05,102386.4185667038
2018-03-06,102886.30779361725
2018-03-07,103157.10027599335
2018-03-08,103224.36975574493
2018-03-09,104489.8311624527
2018-03-10,104489.8311624527
2018-03-11,104489.8311624527
2018-03-12,105359.24127292633
2018-03-13,105684.05060100555
2018-03-14,105647.98477268219
2018-03-15,106291.74304866791
2018-03-16,107011.18076229095
2018-03-17,107011.18076229095
2018-03-18,107011.18076229095
2018-03-19,104607.45392513275
2018-03-20,104269.64565944672
2018-03-21,105107.44558238983
2018-03-22,101733.14174938202
2018-03-23,98618.17932033539
2018-03-24,98618.17932033539
2018-03-25,98618.17932033539
2018-03-26,101076.8838300705
2018-03-27,100061.37528896332
2018-03-28,99251.14438533783
2018-03-29,101031.93277645111
2018-03-30,101031.93277645111
2018-03-31,101031.93277645111
2018-04-01,101031.93277645111
2018-04-02,99045.86858463287
2018-04-03,99779.09176921844
2018-04-04,103174.53606700897
2018-04-05,103669.47517681122
2018-04-06,102416.1282377243
2018-04-07,102416.1282377243
2018-04-08,102416.1282377243
2018-04-09,102474.3154706955
2018-04-10,103266.96463298798
2018-04-11,103486.58173274994
2018-04-12,103513.14922142029
2018-04-13,103370.67198562622
2018-04-14,103370.67198562622
2018-04-15,103370.67198562622
2018-04-16,105654.03485774994
2018-04-17,106650.05905056
2018-04-18,108446.15730571747
2018-04-19,106850.46604061127
2018-04-20,105647.17505073547
2018-04-21,105647.17505073547
2018-04-22,105647.17505073547
2018-04-23,104792.07306671143
2018-04-24,103799.25489807129
2018-04-25,104192.15495967865
2018-04-26,104368.80776500702
2018-04-27,105969.36151409149
2018-04-28,105969.36151409149
2018-04-29,105969.36151409149
2018-04-30,103887.2412443161
2018-05-01,104124.86180400848
2018-05-02,102570.64296245575
2018-05-03,102286.64280223846
2018-05-04,105271.29633617401
2018-05-05,105271.29633617401
2018-05-06,105271.29633617401
2018-05-07,105635.07134532928
2018-05-08,105764.63191890717
2018-05-09,105820.90641307831
2018-05-10,107830.769698143
2018-05-11,109078.15005016327
2018-05-12,109078.15005016327
2018-05-13,109078.15005016327
2018-05-14,108676.35548305511
2018-05-15,108468.60763263702
2018-05-16,110100.88058185577
2018-05-17,111466.12221240997
2018-05-18,111700.83575344086
2018-05-19,111700.83575344086
2018-05-20,111700.83575344086
2018-05-21,112402.71736812592
2018-05-22,112598.52928829193
2018-05-23,113482.95651340485
2018-05-24,115256.43820095062
2018-05-25,115723.20296382904
2018-05-26,115723.20296382904
2018-05-27,115723.20296382904
2018-05-28,115723.20296382904
2018-05-29,113542.20209217072
2018-05-30,117342.55480098724
2018-05-31,115901.7886018753
2018-06-01,116949.66956043243
2018-06-02,116949.66956043243
2018-06-03,116949.66956043243
2018-06-04,120444.04284000397
2018-06-05,121951.83091259003
2018-06-06,124172.99655246735
2018-06-07,124178.07921695709
2018-06-08,125984.16448307037
2018-06-09,125984.16448307037
2018-06-10,125984.16448307037
2018-06-11,125728.78641223907
2018-06-12,126530.69326496124
2018-06-13,126138.22451877594
2018-06-14,126772.47037601471
2018-06-15,127333.32575321198
2018-06-16,127333.32575321198
2018-06-17,127333.32575321198
2018-06-18,127105.48553180695
2018-06-19,126451.41515254974
2018-06-20,125565.36432743073
2018-06-21,124092.20383930206
2018-06-22,127223.67398738861
2018-06-23,127223.67398738861
2018-06-24,127223.67398738861
2018-06-25,123741.03863430023
2018-06-26,123980.46987628937
2018-06-27,122387.07408237457
2018-06-28,122951.05847644806
2018-06-29,123222.88708400726
2018-06-30,123222.88708400726
2018-07-01,123222.88708400726
2018-07-02,124503.5566034317
2018-07-03,123401.7507944107
2018-07-04,123401.7507944107
2018-07-05,124809.94268894196
2018-07-06,125355.05426120758
2018-07-07,125355.05426120758
2018-07-08,125355.05426120758
2018-07-09,127797.55657291412
2018-07-10,128504.35032558441
2018-07-11,127775.35070514679
2018-07-12,128288.0272321701
2018-07-13,127853.50415992737
2018-07-14,127853.50415992737
2018-07-15,127853.50415992737
2018-07-16,127700.06309700012
2018-07-17,127086.77637863159
2018-07-18,128219.29935073853
2018-07-19,128583.8483915329
2018-07-20,127376.83984279633
2018-07-21,127376.83984279633
2018-07-22,127376.83984279633
2018-07-23,128166.56089019775
2018-07-24,127061.89568901062
2018-07-25,128186.74234580994
2018-07-26,128624.19088935852
2018-07-27,128527.43007469177
2018-07-28,128527.43007469177
2018-07-29,128527.43007469177
2018-07-30,127549.61678695679
2018-07-31,129482.71182823181
2018-08-01,128954.23374938965
2018-08-02,130223.52668190002
2018-08-03,131009.97647285461
2018-08-04,131009.97647285461
2018-08-05,131009.97647285461
2018-08-06,132459.10926246643
2018-08-07,133190.87860488892
2018-08-08,132429.27186012268
2018-08-09,130170.63916015625
2018-08-10,129040.1612071991
2018-08-11,129040.1612071991
