entry_date,exit_date
2016-01-27,2016-01-28
2016-02-09,2016-02-11
2016-03-07,2016-03-10
2016-03-18,2016-03-23
2016-04-07,2016-04-14
2016-06-09,2016-06-13
2016-06-24,2016-06-24
2016-07-05,2016-07-14
2016-07-28,2016-08-02
2016-09-07,2016-09-08
2016-09-22,2016-09-27
2016-11-03,2016-11-03
2017-01-04,2017-01-11
2017-01-18,2017-01-25
2017-01-30,2017-01-31
2017-02-02,2017-02-09
2017-03-02,2017-03-03
2017-03-16,2017-03-26
2017-03-29,2017-03-30
2017-07-31,2017-08-04
2017-08-11,2017-08-14
2017-09-05,2017-09-13
2017-12-28,2018-01-02
2018-01-25,2018-02-02
2018-02-14,2018-02-15
2018-03-26,2018-03-28
2018-04-02,2018-04-06
2018-04-11,2018-04-23
2018-09-13,2018-09-14
2018-09-20,2018-09-26
2018-10-24,2018-10-30
2018-11-05,2018-11-08
2018-11-18,2018-12-07
2018-12-13,2018-12-20
2018-12-27,2019-01-03
2019-01-25,2019-01-28
2019-02-21,2019-02-21
2019-02-25,2019-02-27
2019-05-08,2019-05-17
2019-06-06,2019-06-10
2019-06-19,2019-06-20
2019-07-19,2019-07-23
2019-08-08,2019-09-03
2019-09-20,2019-09-30
2019-10-25,2019-10-28
2019-12-13,2019-12-24
2019-12-26,2020-01-02
2020-01-13,2020-01-31
2020-02-05,2020-02-18
2020-02-19,2020-02-21
2020-03-06,2020-03-10
2020-03-25,2020-04-13
2020-05-11,2020-05-15
2020-05-17,2020-05-26
2020-06-19,2020-06-30
2020-07-01,2020-07-08
2020-07-09,2020-07-21
2020-07-23,2020-07-27
2020-08-07,2020-08-10
2020-08-31,2020-09-03
2020-10-12,2020-10-13
2020-11-03,2020-11-05
2020-11-06,2020-11-09
2020-12-16,2021-01-03
2021-04-07,2021-04-16
2021-04-16,2021-05-06
2021-05-07,2021-05-17
2021-06-09,2021-06-13
2021-09-07,2021-09-07
2021-10-20,2021-10-25
2021-11-09,2021-11-11
2021-11-12,2021-11-22
2021-12-16,2021-12-31
2022-01-13,2022-01-25
2022-02-07,2022-02-11
2022-02-23,2022-02-24
2022-02-24,2022-02-24
2022-03-03,2022-03-07
2022-04-11,2022-04-17
2022-08-01,2022-08-12
2022-10-04,2022-10-07
2022-11-07,2022-11-10
2022-11-24,2022-12-01
2022-12-02,2022-12-05
2022-12-27,2023-01-04
2023-01-16,2023-02-02
2023-03-14,2023-03-17
2023-04-03,2023-04-04
2023-04-05,2023-04-10
2023-07-17,2023-07-20
2023-09-22,2023-09-25
2023-10-31,2023-11-07
2023-11-09,2023-11-10
2023-11-15,2023-11-21
2024-03-05,2024-03-08
2024-03-18,2024-03-20
2024-04-04,2024-04-08
2024-05-07,2024-05-10
2024-05-16,2024-05-20
2024-05-21,2024-05-22
2024-06-20,2024-06-21
2024-07-04,2024-07-11
2024-08-01,2024-08-05
2024-08-12,2024-08-16
2024-08-19,2024-09-13
2024-09-16,2024-09-18
2024-10-04,2024-10-08
2024-10-21,2024-10-29
2025-01-07,2025-01-16
2025-01-30,2025-01-31
2025-03-03,2025-03-13
2025-03-28,2025-04-01
2025-04-11,2025-04-21
2025-04-24,2025-05-01
2025-05-11,2025-05-12
2025-06-03,2025-06-06
2025-06-09,2025-06-13
2025-07-14,2025-07-22
2025-08-06,2025-08-14
2025-09-02,2025-09-03
2025-09-15,2025-09-22
2025-09-28,2025-09-30
2025-10-14,2025-10-16
2025-10-30,2025-11-13
2025-11-13,2025-11-13
2025-11-28,2025-12-12
2025-12-29,2025-12-29
2026-01-13,2026-01-20
2026-01-27,2026-01-28
2026-02-12,2026-02-12
2026-02-23,2026-03-01
2026-04-15,2026-04-21
2026-05-07,2026-05-15
