leg,label,n,wins,win_rate,sum_r,avg_r,pnl_usd
gold_asb,Gold ASB,1,0,0.0,-1.0140498770635633,-1.0140498770635633,-1038.4038192777944
trend_pullback,Trend Pullback,2,1,0.5,1.0910755082481474,0.5455377541240737,685.8725494103927
btc_ema_cross,BTC EMA9/21,1,0,0.0,-0.5184352139772554,-0.5184352139772554,-528.9777856198617
gold_silver,Gold-Silber-Divergenz,1,1,1.0,2.152099207759092,2.152099207759092,2153.3439272354753
cls_practical,CLS Practical,5,1,0.2,-0.4487246953898669,-0.08974493907797339,-84.39435592782053
ctnl_continuation,CTNL Continuation,2,1,0.5,-1.324236435815242,-0.662118217907621,-83.96018853719013
ctnl_reversal,CTNL Reversal,14,0,0.0,-17.426027787208543,-1.244716270514896,-328.11638028547947
orb_sp500,NY-Open ORB (SP500),1,0,0.0,-1.0467502485177314,-1.0467502485177314,-44.320083384946095
orb_us30,NY-Open ORB (US30),6,2,0.3333333333333333,-2.264080505940613,-0.3773467509901021,-95.59258810309997
orb_nasdaq,NY-Open ORB (NASDAQ),17,5,0.29411764705882354,-2.714636950425777,-0.15968452649563392,-119.29327661945274
ou_modell,OU-Modell,19,9,0.47368421052631576,,,41.38014373869287
